fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair,1,22.34235873287671,65,18.988682432432434,14,21.664293032786887,79,160
1,fair,5,8.434636866737266,123,8.65889330727236,32,8.479978332856383,155,802
1,fair,10,5.037069517347331,147,5.138014650164183,38,5.057479189009754,185,1605
1,fair,20,2.9973219199412977,175,2.9061292684774465,43,2.9788840614486065,218,3211
1,fair,30,2.2377680645886002,196,2.34268272839998,52,2.2589803190204094,248,4817
2,fair,1,23.636326791808873,69,13.749143835616438,10,21.664293032786887,79,160
2,fair,5,8.337509468649197,122,6.308834079185598,23,7.932882956543069,145,802
2,fair,10,5.054026984785175,148,4.248956599667136,31,4.893452836933762,179,1605
2,fair,20,2.9529539562702016,173,2.877429043143646,42,2.937890244089222,215,3211
2,fair,30,2.2756435009398595,200,1.9637556485165268,43,2.213436360975643,243,4817
3,fair,1,20.210772184300343,59,20.62371575342466,15,20.293135245901638,74,160
3,fair,5,7.927468019371367,116,9.600399685717214,35,8.261140182331058,151,802
3,fair,10,4.985729322828618,146,5.6195877608500835,41,5.112154639701751,187,1605
3,fair,20,3.0724376423620594,180,3.4255107656471973,50,3.1428593308861443,230,3211
3,fair,30,2.3097781534539576,203,2.511780480660674,55,2.350068235109942,258,4817
4,fair,1,22.608660409556315,66,15.124058219178082,11,21.115829918032787,77,160
4,fair,5,7.449086328547232,109,6.583131213063233,24,7.27636850496709,133,802
4,fair,10,4.678389844024114,137,4.111893483548841,30,4.565400132781778,167,1605
4,fair,20,2.799332074152099,164,2.671898397204814,39,2.773914974651684,203,3211
4,fair,30,2.1618613258928665,190,1.8724181764925023,41,2.104130861668204,231,4817
5,fair,1,19.868216723549487,58,27.498287671232877,20,21.390061475409837,78,160
5,fair,5,8.337509468649197,122,9.326102551839579,34,8.534687870487716,156,802
5,fair,10,4.95158049185034,145,5.6195877608500835,41,5.084816914355753,186,1605
5,fair,20,2.9529539562702016,173,3.2884903350213093,48,3.019877878807991,221,3211
5,fair,30,2.26426528343516,199,2.4204430086366493,53,2.2954154854562225,252,4817
