smiles,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,drugban_affinity,moltrans_affinity,tankbind_affinity,unimol_similarity
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C2CCC(C(C)(C)O)O2)CC(O)CC1O,newRef_137,reference,2.956980705,4.232544899,4.559066296,3.471660376,-2.9,0.315781176,0.86389029,-8.570837,-7.462746,-8.846646,0.4736842105263157
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(OCCCC#N)C1O,newRef_137,reference,4.704435349,4.826075554,3.894430876,5.344607353,-5.5,1.557615995,0.911508858,-8.383406,-7.186978,-9.409723,0.5789473684210527
C=C1C(O)CC(O)CC1O,G2,gmdldr_reinvent,4.057937622,5.388158798,4.629034996,4.62310648,-6.6,1.68231833,0.897661507,-6.610855705,-7.475937979,-9.766216,0.81245697
C=C1C(=CC=C2CCCC3(C)C2CCC3C2(C)CC(CC(C)(C)O)CO2)CC(O)C(C)C1O,newRef_137,reference,4.526618481,4.96825552,4.095891476,6.423974991,-6.6,2.368908167,0.913235784,-8.074417,-7.719244,-9.511983,0.3614457831325301
CCCC(CCC)(c1ccc(OCC(O)CO)cc1)c1ccc(OCC(O)C(C)(C)C)cc1,newRef_137,reference,4.51529789,5.52785778,4.140286446,5.560749054,-6.8,1.636184454,0.909807026,-8.229062,-7.2697,-9.093033,0.0987654320987654
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)OCCCC(O)(CC)CC)CC(O)CC1O,newRef_137,reference,4.960401535,5.259534836,3.845005751,5.906134605,-6.8,2.179151058,0.900185227,-7.966913,-7.825538,-9.726212,0.4805194805194805
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(CCC)C1O,newRef_137,reference,4.663741112,4.968169212,4.515765667,5.889692307,-7.6,1.960825562,0.881988227,-7.861588117,-7.184236877,-9.749995,0.966751
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)C)CC(O)C(=CCCO)C1O,newRef_137,reference,4.806027889,5.027086735,4.313057899,5.358451843,-8.2,1.58110857,0.925586164,-7.770118,-7.644081,-9.774044,0.4285714285714285
CCN(CC)CCCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC,G3,transmol-reinvent-gmdldr,6.318788528,6.497165203,6.987641335,7.996265411,-8.352,-0.631650388,0.919133365,-9.026272557,-7.15891619,-9.744023,0.9406897
C=C1C(O)CC(CCCCCCCC(C)(C)O)CC1O,G2,gmdldr_reinvent,5.425546646,5.677295208,4.20518589,5.945461273,-8.6,0.727076352,0.914960504,-7.049272221,-7.381367092,-9.759014,0.9394485
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CCCC)CC(C)(C)O)CC1O,initial_370,reference,5.905930519,5.322422981,4.655658722,8.812618256,-8.9,-1.212702751,0.920670152,-8.338377599,-6.847169577,-9.747506,0.9734535
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(C)C1O,G3,transmol-reinvent-gmdldr,8.085056305,8.400465965,7.68940258,9.661903381,-9.119,-2.577069283,0.93301785,-8.341628821,-7.088164144,-9.757232,0.9739107
C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(CC)CC(C)(C)O)CC1O,initial_370,reference,5.919378281,5.553974152,4.619962692,8.322469711,-9.2,-0.268093556,0.919560611,-8.297252,-7.533907,-9.052506,0.5507246376811594
CCn1c(C(=O)N(CCC#N)CCC#N)ccc1C(CC)(CC)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,initial_370,reference,4.612951279,5.758737564,4.466044426,8.43751812,-9.2,-0.306732327,0.927729547,-8.509581,-6.937767,-8.822517,0.0686274509803921
