source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,smiles,unimol_similarity,moltrans,drugban,tankbind
G2,gmdldr_transmol,7.049849987,6.510340214,4.867858887,8.681260109,-10.3,-1.188944578,0.928448856,C#CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC,0.9135869145393372,0.7715314030647278,0.4610989391803741,
G2,gmdldr_transmol,8.636537552,8.610342979,7.39586544,9.65712738,-11.6,-2.410215378,0.929768384,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C(CC)CCC(C)(C)O)CC(O)CC1O,0.9788949489593506,0.9022334814071656,0.3757634460926056,
G2,gmdldr_transmol,7.661627769,6.319753647,6.45316124,9.390909195,-10.8,-1.865439534,0.931427121,CC(O)CCCC(C)C1CCC2C(=CC=C3CC(O)C(C)C(O)C3)CCCC21C,0.975006341934204,0.8288335800170898,0.0182400550693273,
G2,gmdldr_reinvent,8.128055573,7.76767683,6.507923603,9.585787773,-10.9,-2.220741749,0.929291904,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(C)CCCC(C)(C)O)CC1O,0.9487044215202332,0.8692805171012878,0.7147549986839294,
G2,gmdldr_reinvent,8.295736313,7.907877922,5.651575089,9.564033508,-11.3,-1.397017241,0.930586934,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(O)CC(C)(C)O)CC1O,0.9124887585639954,0.9568780064582824,0.4077245593070984,
G2,gmdldr_reinvent,8.449114799,6.782324791,6.784894943,9.483369827,-10.8,-1.295207739,0.922784925,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C)CC1O,0.94705331325531,0.945450723171234,0.0566653572022914,
G2,gmdldr_reinvent,7.739290237,6.991429329,6.860901833,9.35234642,-12.3,-1.538686514,0.925805986,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C2CCC(O)CC2)CC1O,0.9446274042129515,0.8464659452438354,0.1023228392004966,
G2,gmdldr_reinvent,8.497812271,7.637043953,6.4211483,9.515161514,-11.6,-1.536302924,0.922231495,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)O)CC1O,0.9449146389961244,0.8821853399276733,0.6400889754295349,
G2,gmdldr_reinvent,8.229234695,8.162086487,6.483257771,9.490831375,-11.0,-1.636808157,0.924878716,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)CCCC(C)(C)O)CC1O,0.9491504430770874,0.9138590097427368,0.5446462035179138,
G2,gmdldr_reinvent,8.40735817,7.64669466,7.562771797,9.749459267,-12.3,-1.677074909,0.923989236,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC(O)C(C)(C)O)CC1O,0.9453556537628174,0.8877363801002502,0.4842190444469452,
G2,gmdldr_reinvent,8.205044746,8.542333603,7.321166992,9.495731354,-13.3,-2.179706335,0.923602283,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CC)CC1O,0.9751628637313844,0.923307716846466,0.5324374437332153,
G2,gmdldr_reinvent,8.422679901,8.237817764,7.485581875,9.594732285,-10.6,-1.96176815,0.919541955,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCC)CC1O,0.9362154006958008,0.8425048589706421,0.5939081311225891,
G2,gmdldr_reinvent,8.221031189,6.931063652,7.520580292,9.659029007,-11.1,-1.733950377,0.925217807,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCC(C)(C)O)C1O,0.9715734720230104,0.9391257166862488,0.5893312096595764,
G2,gmdldr_transmol,5.782940865,6.67043972,5.063607216,8.869571686,-11.2,-2.234111547,0.924127281,CCC(CC)(c1ccc(OCC(O)CO)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9152591228485109,0.867810070514679,0.0142175666987895,
G2,gmdldr_reinvent,8.369978905,7.313835144,7.551535606,9.780267715,-11.4,-2.306513786,0.923167646,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCC(O)C(C)(C)O)CC1O,0.9534238576889038,0.8906332850456238,0.5877485871315002,
G2,gmdldr_reinvent,8.401830673,6.96065712,5.967736721,8.738635063,-11.2,-2.494161129,0.911640823,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)C)CC1O,0.959924578666687,0.9667743444442748,0.8504788279533386,
G2,gmdldr_reinvent,7.621212006,7.043720245,7.474319458,9.690040588,-11.3,-2.048700333,0.926484108,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C(O)C1O,0.9547008275985718,0.9551674127578736,0.6484952569007874,
G2,gmdldr_reinvent,8.189970016,7.191864014,7.544669151,9.700202942,-11.7,-2.182883263,0.925981522,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)C1O,0.972941756248474,0.9043667912483216,0.6221085786819458,
G2,gmdldr_reinvent,7.599087715,8.069581985,6.945237637,9.174864769,-11.3,-2.170460463,0.928444386,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)(CC)CC)CC1O,0.9620345830917358,0.9426919221878052,0.448953628540039,
G2,gmdldr_reinvent,7.69244194,8.058312416,6.703287601,9.684159279,-12.2,-1.848002195,0.91752702,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(O)CC(C)(C)O)CC1O,0.9490283131599426,0.9357955455780028,0.422336995601654,
G2,gmdldr_reinvent,7.43123579,7.180195808,6.042626381,9.508356094,-11.9,-0.728410482,0.924142361,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(=O)O)CC1O,0.9629761576652528,0.8991368412971497,0.3246965706348419,
G2,gmdldr_reinvent,8.336514473,8.283073425,6.651508808,9.544487,-11.4,-2.026478052,0.92422241,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(C)(C)O)CC1O,0.9763357043266296,0.8346201777458191,0.669503390789032,
G2,gmdldr_reinvent,7.766752243,8.46586132,7.057128906,9.113275528,-12.0,-2.256109715,0.91804409,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(O)(CC)CC)CC1O,0.9732258319854736,0.8772308826446533,0.5035920739173889,
G2,gmdldr_reinvent,8.180333138,7.772561073,6.543104172,9.393488884,-11.9,-2.164607525,0.932450712,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCC(O)C(C)C)CC1O,0.9769012928009032,0.9118384122848512,0.1436614245176315,
G2,gmdldr_transmol,6.768928528,6.337340832,6.649881363,7.879179001,-10.4,-1.111078978,0.923473001,CCN(CC)CCNC(=O)c1ccc(C(CC)(CC)c2ccc(C#CC(O)(CC)CC)c(C)c2)n1C,0.8687172532081604,0.7833324074745178,0.8037124276161194,
G2,gmdldr_reinvent,8.338042259,8.356227875,7.000209808,9.403202057,-12.0,-1.809449911,0.931571662,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCCC(C)(C)O)CC1O,0.9566227793693542,0.9395636320114136,0.7220024466514587,
G2,gmdldr_reinvent,8.312236786,7.622403145,7.511485577,9.20207119,-11.4,-1.728253722,0.927936971,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCCCC)CC1O,0.9641766548156738,0.9290493726730348,0.3968319296836853,
G2,gmdldr_reinvent,7.09436512,7.491275311,6.253820896,9.496883392,-10.9,-1.918712616,0.92916441,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCCO)CC1O,0.9673488736152648,0.8949938416481018,0.113633245229721,
G2,gmdldr_reinvent,5.425546646,5.677295208,4.20518589,5.945461273,-8.6,0.727076352,0.914960504,C=C1C(O)CC(CCCCCCCC(C)(C)O)CC1O,0.9009184837341307,0.8499289751052856,0.0908919274806976,
G2,gmdldr_reinvent,4.057937622,5.388158798,4.629034996,4.62310648,-6.6,1.68231833,0.897661507,C=C1C(O)CC(O)CC1O,0.8022757172584534,0.9023736715316772,0.0488677285611629,
G2,gmdldr_reinvent,7.385543823,6.948711395,4.866070271,9.134355545,-11.4,0.535039067,0.920879781,C=C1C(O)CC2C(=CC=C3CC(O)CC(O)C3)CCCC12C,0.8841198086738586,0.9605816602706908,0.0704295560717582,
G2,gmdldr_reinvent,8.973767281,7.644874573,7.08929348,9.562887192,-11.7,-2.143639803,0.930616796,C=C1CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC1O,0.9588377475738524,0.8758875727653503,0.2870110273361206,
G2,gmdldr_reinvent,7.741533279,6.80101347,5.981221676,9.269931793,-10.9,-0.375203848,0.921825588,C=C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC12C,0.8685451745986938,0.8325003385543823,0.0194900948554277,
G2,gmdldr_reinvent,7.089962006,7.655617714,4.160745621,9.278621674,-11.3,-1.480329275,0.933024406,CC(C)(O)CCC(C)(C)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.95786452293396,0.8077033162117004,0.1037126332521438,
G2,gmdldr_reinvent,6.573123932,5.901819706,4.906032562,9.422546387,-11.3,-0.096307993,0.91959399,CC(CCC(=O)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.962375819683075,0.961020529270172,0.0446036420762538,
G2,gmdldr_transmol,7.080456257,6.605853558,5.836001396,8.228843689,-10.3,-0.807036102,0.925865769,CCN(CC)CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1C,0.8750903606414795,0.7719020247459412,0.1779037564992904,
G2,gmdldr_reinvent,7.265164375,6.54425621,4.478863239,9.480201721,-11.9,-1.570791125,0.919980466,CC(CCC(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.9841581583023072,0.8556584119796753,0.034598134458065,
G2,gmdldr_reinvent,7.548334599,7.785330772,4.424084663,9.482759476,-11.5,-1.865787387,0.933362126,CC(CCCCC(C)(C)O)C1CCC2C(=CC=C3CC(O)CC(O)C3)CCCC21C,0.9676856398582458,0.8438553214073181,0.0451128482818603,
G2,gmdldr_reinvent,7.575658798,7.764024734,5.327054024,9.631670952,-12.1,-1.931411028,0.920941651,CC1=CC(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C1O,0.9668033719062804,0.94999760389328,0.5945909023284912,
G2,gmdldr_reinvent,4.964912891,6.010601521,4.690382481,5.796052933,-10.7,-0.763674259,0.912861526,CCC(CC)(CC)c1ccc(C(CC)(CC)c2ccc(OCC(=O)C(C)(C)C)c(C)c2)cc1C,0.882042407989502,0.9708654880523682,0.4353275597095489,
G2,gmdldr_reinvent,7.006611347,6.08729887,6.797267914,8.875175476,-11.8,-1.168712854,0.92862457,CCC(CC)(c1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.9234535694122314,0.9333758354187012,0.6765817403793335,
G2,gmdldr_reinvent,6.546867371,6.598643303,7.074642658,7.543693542,-11.5,-1.730470181,0.928957462,CCC(CC)(c1ccc(C(O)(C(F)(F)F)C(F)(F)F)cc1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.8568572998046875,0.9286850690841676,0.8747079968452454,
G2,gmdldr_reinvent,5.089510441,6.189677715,7.360778809,5.553081512,-10.8,-1.960329175,0.921677768,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)O)c(C)c1,0.9199289083480836,0.9438703656196594,0.4384316802024841,
G2,gmdldr_reinvent,6.289546967,6.371225357,5.054211617,7.125274658,-11.1,-1.647877812,0.928534925,CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(O)C(C)(C)C)c(C)c1,0.8756764531135559,0.9073770046234132,0.596026599407196,
