,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,smiles,unimol_similarity,tankbind_affinity,drugban_affinity,moltrans_affinity
G2_0,G2,gmdldr_transmol,7.049849987,6.510340214,4.867858887,8.681260109,-10.3,-1.188944578,0.928448856,C#CCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC,0.9629346,-9.749571,-7.776881561,-6.859706249
G2_1,G2,gmdldr_transmol,8.636537552,8.610342979,7.39586544,9.65712738,-11.6,-2.410215378,0.929768384,C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)C(CC)CCC(C)(C)O)CC(O)CC1O,0.9661081,-9.748633,-8.728996078,-7.141970884
G2_10,G2,gmdldr_transmol,7.661627769,6.319753647,6.45316124,9.390909195,-10.8,-1.865439534,0.931427121,CC(O)CCCC(C)C1CCC2C(=CC=C3CC(O)C(C)C(O)C3)CCCC21C,0.9784448,-9.753206,-7.827882035,-6.943452778
G2_100,G2,gmdldr_reinvent,8.128055573,7.76767683,6.507923603,9.585787773,-10.9,-2.220741749,0.929291904,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(C)CCCC(C)(C)O)CC1O,0.957396,-9.750776,-8.488937543,-6.973393051
G2_101,G2,gmdldr_reinvent,8.295736313,7.907877922,5.651575089,9.564033508,-11.3,-1.397017241,0.930586934,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C(O)CC(C)(C)O)CC1O,0.9580222,-9.749843,-8.766415441,-7.496215155
G2_102,G2,gmdldr_reinvent,8.449114799,6.782324791,6.784894943,9.483369827,-10.8,-1.295207739,0.922784925,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C)CC1O,0.9618722,-9.758242,-6.557887468,-6.640972818
G2_103,G2,gmdldr_reinvent,7.739290237,6.991429329,6.860901833,9.35234642,-12.3,-1.538686514,0.925805986,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)C2CCC(O)CC2)CC1O,0.9706054,-9.747323,-8.236550674,-6.690147985
G2_104,G2,gmdldr_reinvent,8.497812271,7.637043953,6.4211483,9.515161514,-11.6,-1.536302924,0.922231495,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)(C)O)CC1O,0.96345407,-9.750025,-8.237586175,-6.999904647
G2_105,G2,gmdldr_reinvent,8.229234695,8.162086487,6.483257771,9.490831375,-11.0,-1.636808157,0.924878716,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC(C)CCCC(C)(C)O)CC1O,0.95517474,-9.750057,-9.068620057,-7.096413506
G2_106,G2,gmdldr_reinvent,8.40735817,7.64669466,7.562771797,9.749459267,-12.3,-1.677074909,0.923989236,C=C1C(O)CC(=CC=C2CCCC3(C)C2CCC3C(C)CC(O)C(C)(C)O)CC1O,0.97139496,-9.7494955,-8.365870874,-6.674638387
