smiles,source,generator,graphdta_kd,graphdta_ki,graphdta_ic50,mltle_pKd,vina_score,boltz_affinity,boltz_confidence,drugban_affinity,moltrans_affinity,tankbind_affinity,unimol_similarity,MW,cLogP,tPSA,HBD,HBA,RotB,RingCount,AromaticRingCount,FractionCSP3,HeavyAtomCount,FormalCharge,MR,NumStereocenters,BertzCT,LabuteASA,QED,SAScore,meta_score,has_a_ring,is_secosteroidal,c2_modified,pentacyclic,has_o5ring,sidechain_cycle,n_rings,non_steroidal
CCN(CC)CCCNC(=O)c1ccc(C(CC)(CC)c2ccc(OCC(O)C(C)(C)C)c(C)c2)n1CC,G3,transmol-reinvent-gmdldr,6.318788528,6.497165203,6.987641335,7.996265411,-8.352,-0.631650388,0.919133365,-9.026272557,-7.15891619,7.9715471267700195,0.9406897,527.4086925559999,6.170020000000007,66.73000000000002,2.0,5.0,15.0,2.0,2.0,0.65625,38.0,0.0,158.34199999999973,1.0,1013.4424984276128,231.3153526854541,0.2719118238620395,3.53083709605861,0.8451315383761001,False,False,False,False,False,True,2,True
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(C)C1O,G3,transmol-reinvent-gmdldr,8.085056305,8.400465965,7.68940258,9.661903381,-9.119,-2.577069283,0.93301785,-8.341628821,-7.088164144,7.969193458557129,0.9739107,430.3446953319999,5.950700000000008,60.69,3.0,3.0,6.0,3.0,0.0,0.7857142857142857,31.0,0.0,128.5854000000001,7.0,712.2594404805618,189.8890868159856,0.4877749252999072,4.677399729547286,0.8210052460970245,True,True,True,False,False,True,3,False
CCn1c(C(=O)NCCN(C)C)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,6.293224335,6.34513855,6.87438488,8.771047592,-9.259,-0.355738103,0.919028282,-8.530601128,-6.803017881,7.758818626403809,0.9552357,485.361742364,4.999720000000005,66.73,2.0,5.0,12.0,2.0,2.0,0.6206896551724138,35.0,0.0,144.4909999999999,1.0,968.0369923700648,212.22052634226424,0.4440061898499429,3.4849238440196526,0.8108752150220682,False,False,False,False,False,True,2,True
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CC2OC(=O)C(=C)C2CCCC)CC(O)CC1O,G3,transmol-reinvent-gmdldr,7.492416859,8.327297211,7.798940182,9.753009796,-9.525,-2.04647541,0.93376255,-8.224224919,-6.997804314,7.660937309265137,0.96492124,482.33960995199993,6.441600000000008,66.76,2.0,4.0,7.0,4.0,0.0,0.7096774193548387,35.0,0.0,140.54159999999996,8.0,897.6592055675635,211.7693125508165,0.3235557102021788,4.997006863329423,0.8081314893435224,True,True,False,False,True,True,4,False
CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(C(=O)NCCC(=O)OC)n1C,G2,reinvent_transmol,5.119577885,5.356033802,5.029389858,6.017520905,-9.7,-1.664936543,0.917783082,-8.064026778,-6.965845576,7.486200332641602,0.9517779,484.29372238,4.726520000000004,86.63,1.0,6.0,11.0,2.0,2.0,0.5357142857142857,35.0,0.0,136.8772,0.0,1057.7853161630878,208.73810623506267,0.4662656818925343,2.9397651266191165,0.8035948880053274,False,False,False,False,False,True,2,True
C=C1C(=CC=C2CCCC3(C)C2CCC3C(C)CCCC(C)(C)O)CC(O)C(CCCO)C1O,G3,transmol-reinvent-gmdldr,7.030872822,8.628754616,7.724279404,9.618787766,-9.748,-2.509484291,0.923128724,-8.099149835,-7.439020115,7.846187591552734,0.9574146,474.3709100799999,5.7033000000000085,80.92,4.0,4.0,9.0,3.0,0.0,0.8,34.0,0.0,139.23120000000003,7.0,760.2572437299294,207.41320479697475,0.3453222867894547,4.75970866746397,0.8000082102371446,True,True,True,False,False,True,3,False
CCn1c(C(=O)NCCC(=O)O)ccc1C(CC)(CC)c1ccc(C#CC(O)(CC)CC)c(C)c1,G3,transmol-reinvent-gmdldr,6.476652145,6.187590599,6.843382835,7.651802063,-9.86,-1.629853725,0.913940907,-8.737404471,-7.35997125,7.806485176086426,0.9595728,480.29880776,5.029620000000005,91.56,3.0,4.0,11.0,2.0,2.0,0.5172413793103449,35.0,0.0,139.64279999999994,0.0,1095.6155446107289,209.3021286866531,0.3935060312971,3.323200540522121,0.7986245161059713,False,False,False,False,False,True,2,True
CCC(CC)(c1ccc(OCC(=O)C(C)(C)C)c(C)c1)c1ccc(OCC(=O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,4.913414955,6.048495293,4.61330986,5.945410728,-9.909,-1.403735161,0.9174698,-8.308495834,-7.075508659,7.656157493591309,0.9378115,480.32395988799993,7.397540000000008,52.6,0.0,4.0,10.0,2.0,2.0,0.5483870967741935,35.0,0.0,143.6339999999999,0.0,965.1284187027472,211.97253215819788,0.3554696508285746,2.7598644349977643,0.7995390019472279,False,False,False,False,False,True,2,True
CCn1c(C(=O)NCCO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,6.503826618,6.597239494,7.089356422,8.93108654,-9.934,-1.574789524,0.921580434,-8.50634215,-7.372273505,7.97812557220459,0.94519603,458.31445782399993,4.430420000000003,83.72000000000001,3.0,5.0,11.0,2.0,2.0,0.5925925925925926,33.0,0.0,133.02280000000002,1.0,922.687952436235,198.52504219546373,0.4651088945538651,3.4623427334307024,0.8176893220193648,False,False,False,False,False,True,2,True
CCn1c(C(=O)NCCCO)ccc1C(CC)(CC)c1ccc(OCC(O)C(C)(C)C)c(C)c1,G3,transmol-reinvent-gmdldr,6.514671326,6.543441296,6.861738205,9.02781868,-9.969,-1.366306543,0.921628475,-8.412239001,-7.454818899,8.021621704101562,0.94392717,472.33010788799993,4.8205200000000055,83.72000000000001,3.0,5.0,12.0,2.0,2.0,0.6071428571428571,34.0,0.0,137.63979999999992,1.0,938.3681344512588,204.88998430986032,0.3868147092448519,3.4647413539778267,0.7847958349173819,False,False,False,False,False,True,2,True
