fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,27.513023345552767,40,16.284735439665017,6,25.24282305857,46,71
1,fair_bedroc,1.0,24.07389542735867,70,14.927674153026265,11,22.224659432001847,81,142
1,fair_bedroc,5.0,13.219178082191782,193,12.432432432432432,46,13.060109289617486,239,713
1,fair_bedroc,10.0,7.294520547945205,213,7.297297297297297,54,7.295081967213115,267,1426
1,fair_bedroc,20.0,4.263698630136986,249,4.527027027027027,67,4.316939890710382,316,2852
1,fair_bedroc,30.0,3.1963470319634704,280,3.2882882882882885,73,3.214936247723133,353,4278
2,fair_bedroc,0.5,28.790078354083544,42,11.005209338221107,4,25.24282305857,46,71
2,fair_bedroc,1.0,24.33447098976109,71,13.756511672776384,10,22.224659432001847,81,142
2,fair_bedroc,5.0,13.03754266211604,191,12.876712328767123,47,13.005464480874316,238,713
2,fair_bedroc,10.0,7.3720136518771335,216,6.986301369863014,51,7.295081967213115,267,1426
2,fair_bedroc,20.0,4.334470989761092,254,4.315068493150685,63,4.330601092896175,317,2852
2,fair_bedroc,30.0,3.2650739476678043,287,3.0136986301369864,66,3.214936247723133,353,4278
3,fair_bedroc,0.5,24.677210017785896,36,30.264325680108044,11,25.791580081582392,47,71
3,fair_bedroc,1.0,21.935297793587463,64,24.76172101099749,18,22.499037943508043,82,142
3,fair_bedroc,5.0,12.696245733788396,186,14.246575342465754,52,13.005464480874316,238,713
3,fair_bedroc,10.0,8.395904436860068,246,8.904109589041095,65,8.497267759562842,311,1426
3,fair_bedroc,20.0,4.795221843003413,281,4.931506849315069,72,4.8224043715847,353,2852
3,fair_bedroc,30.0,3.310580204778157,291,3.3333333333333335,73,3.31511839708561,364,4278
4,fair_bedroc,0.5,23.30625390568668,34,33.01562801466332,12,25.24282305857,46,71
4,fair_bedroc,1.0,21.59255876556266,63,26.13737217827513,19,22.499037943508043,82,142
4,fair_bedroc,5.0,13.242320819112628,194,11.780821917808218,43,12.950819672131148,237,713
4,fair_bedroc,10.0,7.7815699658703075,228,6.575342465753424,48,7.540983606557377,276,1426
4,fair_bedroc,20.0,4.539249146757679,266,4.2465753424657535,62,4.48087431693989,328,2852
4,fair_bedroc,30.0,3.2195676905574517,283,3.3333333333333335,73,3.242258652094718,356,4278
5,fair_bedroc,0.5,23.99173196173629,35,33.01562801466332,12,25.791580081582392,47,71
5,fair_bedroc,1.0,19.87886362543864,58,33.01562801466332,24,22.499037943508043,82,142
5,fair_bedroc,5.0,12.901023890784982,189,13.698630136986301,50,13.060109289617486,239,713
5,fair_bedroc,10.0,8.771331058020477,257,9.04109589041096,66,8.825136612021858,323,1426
5,fair_bedroc,20.0,4.931740614334471,289,5.0,73,4.945355191256831,362,2852
5,fair_bedroc,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
