fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,train_ef_30,train_hits_30,test_ef_30,test_hits_30,full_ef_30,full_hits_30,test_auroc,test_auprc,test_bedroc
1,Equal Weights,0.0,0,5.428245146555006,2,1.0975140460247825,2,1.0317383754582288,3,4.071183859916254,3,1.6462710690371738,6,1.36986301369863,20,1.3513513513513513,5,1.366120218579235,25,1.6095890410958904,47,1.4864864864864864,11,1.5846994535519126,58,1.678082191780822,98,1.4864864864864864,22,1.639344262295082,120,1.7237442922374429,151,1.5315315315315314,34,1.6848816029143898,185,0.6686817227491131,0.009369099681833415,0.08786021391762788
1,Random (mean of 100),2.6687632645186183,3,4.614008374571755,1,3.0620641884091437,5,2.476172101099749,7,3.7183479253901783,2,2.7273224043715847,9,2.0986301369863014,30,2.0378378378378375,7,2.086338797814208,38,1.9027397260273973,55,1.8054054054054054,13,1.8830601092896173,68,1.7027397260273975,99,1.5918918918918918,23,1.6803278688524592,123,1.6174657534246575,141,1.554954954954955,34,1.6048269581056465,176,,,
1,Best Individual (Boltz_confidence),19.946941925525756,29,18.99885801294252,7,18.108981759408913,33,19.259116341886937,56,16.284735439665017,12,17.56022473639652,64,12.945205479452055,189,11.621621621621621,43,12.78688524590164,234,6.7465753424657535,197,9.594594594594595,71,6.639344262295082,243,3.5616438356164384,208,5.0,74,3.5245901639344264,258,2.545662100456621,223,3.3333333333333335,74,2.5500910746812386,280,0.9564273493851951,0.06502091448121473,0.4997826016421249
2,Equal Weights,1.3709561120992164,2,0.0,0,1.0975140460247825,2,1.7136951401240206,5,1.3756511672776384,1,1.6462710690371738,6,1.4334470989761092,21,1.095890410958904,4,1.366120218579235,25,1.6040955631399318,47,1.5068493150684932,11,1.5846994535519126,58,1.6382252559726962,96,1.643835616438356,24,1.639344262295082,120,1.695108077360637,149,1.643835616438356,36,1.6848816029143898,185,0.6513371782579266,0.007728207978497387,0.06743426424113175
2,Random (mean of 100),3.406825938566553,4,1.6782944240787188,0,3.0620641884091437,5,2.9544104215738116,8,1.8158595408064826,1,2.7273224043715847,9,2.1440273037542665,31,1.854794520547945,6,2.086338797814208,38,1.9290102389078498,56,1.698630136986301,12,1.8830601092896173,68,1.7064846416382256,100,1.5753424657534245,23,1.6803278688524592,123,1.633105802047782,143,1.4913242009132424,32,1.6048269581056465,176,,,
2,Best Individual (UniMol_sim),25.362688073835503,37,19.259116341886937,7,18.108981759408913,33,17.47969042926501,51,19.259116341886937,14,17.56022473639652,64,7.303754266211604,107,11.506849315068493,42,12.78688524590164,234,4.266211604095563,125,6.027397260273973,44,6.639344262295082,243,2.474402730375427,145,3.4246575342465753,50,3.5245901639344264,258,1.8771331058020477,165,2.557077625570776,56,2.5500910746812386,280,0.7605023313838348,0.06342562548625183,0.4534269686490644
3,Equal Weights,1.3709561120992164,2,0.0,0,1.0975140460247825,2,2.0564341681488245,6,0.0,0,1.6462710690371738,6,1.1604095563139931,17,2.191780821917808,8,1.366120218579235,25,1.5358361774744027,45,1.7808219178082192,13,1.5846994535519126,58,1.5187713310580204,89,2.1232876712328768,31,1.639344262295082,120,1.6496018202502845,145,1.82648401826484,40,1.6848816029143898,185,0.7145669728508928,0.009665746996619552,0.09678558825383551
3,Random (mean of 100),2.906426957650339,4,3.6867451283040706,1,3.0620641884091437,5,2.6150987838292554,7,3.1777541964113447,2,2.7273224043715847,9,1.981569965870307,29,2.5068493150684934,9,2.086338797814208,38,1.8034129692832763,52,2.202739726027397,16,1.8830601092896173,68,1.6276450511945395,95,1.8917808219178078,27,1.6803278688524592,123,1.5623435722411834,137,1.7753424657534247,38,1.6048269581056465,176,,,
3,Best Individual (UniMol_sim),16.451473345190596,24,24.76172101099749,9,18.108981759408913,33,16.451473345190596,48,22.010418676442214,16,17.56022473639652,64,12.42320819112628,182,14.246575342465754,52,12.78688524590164,234,6.416382252559727,188,7.534246575342466,55,6.639344262295082,243,3.4470989761092152,202,3.835616438356164,56,3.5245901639344264,258,2.5483503981797497,224,2.557077625570776,56,2.5500910746812386,280,0.7926386398506833,0.08364908935351344,0.5518937682456874
4,Equal Weights,1.3709561120992164,2,0.0,0,1.0975140460247825,2,2.0564341681488245,6,0.0,0,1.6462710690371738,6,1.6382252559726962,24,0.273972602739726,1,1.366120218579235,25,1.6382252559726962,48,1.36986301369863,10,1.5846994535519126,58,1.7406143344709897,102,1.2328767123287672,18,1.639344262295082,120,1.7406143344709897,153,1.461187214611872,32,1.6848816029143898,185,0.6567077133126893,0.007303341841228647,0.04443208600419985
