fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,13.570612866387513,5,12.213551579748763,9,7.027027027027027,26,4.864864864864865,36,3.3783783783783785,50,2.6576576576576576,59
1,fair_bedroc,13.570612866387513,5,12.213551579748763,9,7.027027027027027,26,5.0,37,3.3783783783783785,50,2.7027027027027026,60
1,entropy_bedroc,13.570612866387513,5,12.213551579748763,9,7.027027027027027,26,4.594594594594595,34,3.3783783783783785,50,2.6576576576576576,59
2,unconstrained_bedroc,11.005209338221107,4,13.756511672776384,10,7.945205479452055,29,4.52054794520548,33,3.219178082191781,47,2.6940639269406392,59
2,fair_bedroc,11.005209338221107,4,13.756511672776384,10,8.219178082191782,30,4.657534246575342,34,3.287671232876712,48,2.73972602739726,60
2,entropy_bedroc,11.005209338221107,4,13.756511672776384,10,8.219178082191782,30,4.52054794520548,33,3.1506849315068495,46,2.6484018264840183,58
3,unconstrained_bedroc,30.264325680108044,11,22.010418676442214,16,7.945205479452055,29,5.068493150684931,37,3.6986301369863015,54,2.9680365296803655,65
3,fair_bedroc,30.264325680108044,11,22.010418676442214,16,7.945205479452055,29,5.205479452054795,38,3.904109589041096,57,3.0136986301369864,66
3,entropy_bedroc,30.264325680108044,11,22.010418676442214,16,7.945205479452055,29,5.068493150684931,37,3.6301369863013697,53,2.9680365296803655,65
4,unconstrained_bedroc,16.50781400733166,6,15.132162840054022,11,6.575342465753424,24,4.109589041095891,30,3.0821917808219177,45,2.6484018264840183,58
4,fair_bedroc,22.010418676442214,8,15.132162840054022,11,6.575342465753424,24,3.9726027397260273,29,3.1506849315068495,46,2.6484018264840183,58
4,entropy_bedroc,22.010418676442214,8,16.50781400733166,12,6.575342465753424,24,3.9726027397260273,29,2.8767123287671232,42,2.6027397260273974,57
5,unconstrained_bedroc,27.513023345552767,10,20.634767509164575,15,7.945205479452055,29,4.931506849315069,36,3.5616438356164384,52,2.922374429223744,64
5,fair_bedroc,30.264325680108044,11,19.259116341886937,14,7.945205479452055,29,4.931506849315069,36,3.6986301369863015,54,2.922374429223744,64
5,entropy_bedroc,30.264325680108044,11,19.259116341886937,14,7.945205479452055,29,4.931506849315069,36,3.356164383561644,49,2.922374429223744,64
