fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,23.386069843719852,34,13.570612866387513,5,21.40152389748326,39,71
1,fair_bedroc,1.0,18.22737796642871,53,12.213551579748763,9,17.01146771338413,62,142
1,fair_bedroc,5.0,7.602739726027397,111,7.027027027027027,26,7.4863387978142075,137,713
1,fair_bedroc,10.0,4.657534246575342,136,5.0,37,4.726775956284153,173,1426
1,fair_bedroc,20.0,3.356164383561644,196,3.3783783783783785,50,3.360655737704918,246,2852
1,fair_bedroc,30.0,2.8310502283105023,248,2.7027027027027026,60,2.8051001821493626,308,4278
2,fair_bedroc,0.5,23.30625390568668,34,11.005209338221107,4,20.85276687447087,38,71
2,fair_bedroc,1.0,17.47969042926501,51,13.756511672776384,10,16.737089201877936,61,142
2,fair_bedroc,5.0,7.440273037542662,109,8.219178082191782,30,7.595628415300546,139,713
2,fair_bedroc,10.0,4.812286689419795,141,4.657534246575342,34,4.781420765027322,175,1426
2,fair_bedroc,20.0,3.6177474402730376,212,3.287671232876712,48,3.551912568306011,260,2852
2,fair_bedroc,30.0,2.8668941979522184,252,2.73972602739726,60,2.841530054644809,312,4278
3,fair_bedroc,0.5,18.507907513339422,27,30.264325680108044,11,20.85276687447087,38,71
3,fair_bedroc,1.0,15.423256261116185,45,22.010418676442214,16,16.737089201877936,61,142
3,fair_bedroc,5.0,7.3720136518771335,108,7.945205479452055,29,7.4863387978142075,137,713
3,fair_bedroc,10.0,4.675767918088737,137,5.205479452054795,38,4.781420765027322,175,1426
3,fair_bedroc,20.0,3.3959044368600684,199,3.904109589041096,57,3.4972677595628414,256,2852
3,fair_bedroc,30.0,2.7872582480091013,245,3.0136986301369864,66,2.832422586520947,311,4278
4,fair_bedroc,0.5,20.564341681488248,30,22.010418676442214,8,20.85276687447087,38,71
4,fair_bedroc,1.0,17.136951401240207,50,15.132162840054022,11,16.737089201877936,61,142
4,fair_bedroc,5.0,7.849829351535837,115,6.575342465753424,24,7.595628415300546,139,713
4,fair_bedroc,10.0,4.982935153583618,146,3.9726027397260273,29,4.781420765027322,175,1426
4,fair_bedroc,20.0,3.63481228668942,213,3.1506849315068495,46,3.5382513661202184,259,2852
4,fair_bedroc,30.0,2.889647326507395,254,2.6484018264840183,58,2.841530054644809,312,4278
5,fair_bedroc,0.5,19.19338556938903,28,30.264325680108044,11,21.40152389748326,39,71
5,fair_bedroc,1.0,16.7942123732154,49,19.259116341886937,14,17.285846224890324,63,142
5,fair_bedroc,5.0,7.3720136518771335,108,7.945205479452055,29,7.4863387978142075,137,713
5,fair_bedroc,10.0,4.675767918088737,137,4.931506849315069,36,4.726775956284153,173,1426
5,fair_bedroc,20.0,3.4470989761092152,202,3.6986301369863015,54,3.4972677595628414,256,2852
5,fair_bedroc,30.0,2.7986348122866893,246,2.922374429223744,64,2.8233151183970855,310,4278
