fold,method,column,modality,weight,weight_pct
1,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
1,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
1,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.24275399515693677,24.275399515693678
1,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
1,fair_bedroc,vina_score,Vina,0.03,3.0
1,fair_bedroc,boltz_affinity,Boltz_affinity,0.03230173335679422,3.2301733356794218
1,fair_bedroc,boltz_confidence,Boltz_confidence,0.23040642325058522,23.04064232505852
1,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
1,fair_bedroc,drugban_affinity,DrugBAN,0.06766437355178594,6.766437355178594
1,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
1,fair_bedroc,unimol_similarity,UniMol_sim,0.2468734746830432,24.687347468304317
2,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
2,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
2,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.23940570228190983,23.940570228190982
2,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
2,fair_bedroc,vina_score,Vina,0.03,3.0
2,fair_bedroc,boltz_affinity,Boltz_affinity,0.0331078542049243,3.31078542049243
2,fair_bedroc,boltz_confidence,Boltz_confidence,0.24371157554720416,24.371157554720416
2,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
2,fair_bedroc,drugban_affinity,DrugBAN,0.05772466811143729,5.772466811143729
2,fair_bedroc,moltrans_affinity,MolTrans,0.030418819728970196,3.0418819728970194
2,fair_bedroc,unimol_similarity,UniMol_sim,0.2456313801253067,24.56313801253067
3,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
3,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
3,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.24350077054933164,24.350077054933163
3,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
3,fair_bedroc,vina_score,Vina,0.03,3.0
3,fair_bedroc,boltz_affinity,Boltz_affinity,0.031462695151853744,3.1462695151853746
3,fair_bedroc,boltz_confidence,Boltz_confidence,0.2387544557608228,23.87544557608228
3,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
3,fair_bedroc,drugban_affinity,DrugBAN,0.06224616496500305,6.224616496500305
3,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
3,fair_bedroc,unimol_similarity,UniMol_sim,0.2440359135739444,24.40359135739444
4,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
4,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
4,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.23994802594986173,23.994802594986172
4,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
4,fair_bedroc,vina_score,Vina,0.03,3.0
4,fair_bedroc,boltz_affinity,Boltz_affinity,0.038192270474475244,3.8192270474475243
4,fair_bedroc,boltz_confidence,Boltz_confidence,0.23926034251138928,23.92603425113893
4,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
4,fair_bedroc,drugban_affinity,DrugBAN,0.06019453245797642,6.019453245797642
4,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
4,fair_bedroc,unimol_similarity,UniMol_sim,0.2424048286056954,24.24048286056954
5,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
5,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
5,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.24174331562855533,24.174331562855535
5,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
5,fair_bedroc,vina_score,Vina,0.03,3.0
5,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
5,fair_bedroc,boltz_confidence,Boltz_confidence,0.2374267489840105,23.74267489840105
5,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
5,fair_bedroc,drugban_affinity,DrugBAN,0.06819620641630578,6.819620641630578
5,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
5,fair_bedroc,unimol_similarity,UniMol_sim,0.24263372897119861,24.26337289711986
