fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,train_ef_30,train_hits_30,test_ef_30,test_hits_30,full_ef_30,full_hits_30,test_auroc,test_auprc,test_bedroc
1,Equal Weights,11.005209338221107,16,10.856490293110012,4,10.975140460247825,20,8.59781979548524,25,9.49942900647126,7,8.78011236819826,32,5.616438356164384,82,5.675675675675675,21,5.628415300546448,103,4.041095890410959,118,3.918918918918919,29,4.016393442622951,147,2.671232876712329,156,2.7027027027027026,40,2.6775956284153004,196,2.26027397260274,198,2.1171171171171173,47,2.231329690346084,245,0.7634182540075674,0.045944141190584084,0.23763857943771963
1,Random (mean of 100),9.602045147597916,13,10.992196421773885,4,9.883113984453166,18,8.181685317383756,23,8.291644461362772,6,8.203917494035249,29,4.865753424657534,71,4.637837837837838,17,4.819672131147541,88,3.866095890410959,112,3.7486486486486488,27,3.8423497267759563,140,2.594349315068493,151,2.531756756756757,37,2.581693989071039,188,2.0833333333333335,182,2.0432432432432437,45,2.0752276867030965,227,,,
1,Best Individual (Boltz_confidence),23.386069843719852,34,21.712980586220024,8,20.304009851458478,37,19.259116341886937,56,16.284735439665017,12,17.56022473639652,64,12.945205479452055,189,11.621621621621621,43,12.78688524590164,234,6.7465753424657535,197,9.594594594594595,71,6.639344262295082,243,3.5616438356164384,208,5.0,74,3.5245901639344264,258,2.545662100456621,223,3.3333333333333335,74,2.5500910746812386,280,0.9563654307063302,0.06337016304478521,0.5040923844376112
2,Equal Weights,13.024083064942557,19,2.7513023345552767,1,10.975140460247825,20,9.93943181271932,29,4.126953501832915,3,8.78011236819826,32,5.802047781569966,85,4.931506849315069,18,5.628415300546448,103,4.09556313993174,120,3.6986301369863015,27,4.016393442622951,147,2.7474402730375425,161,2.3972602739726026,35,2.6775956284153004,196,2.2753128555176336,200,2.0547945205479454,45,2.231329690346084,245,0.7414997909527437,0.016269165746753203,0.20631635944510943
2,Random (mean of 100),11.180147094169108,16,4.6772139687439696,1,9.883113984453166,18,8.945488631447388,26,5.227474435655025,3,8.203917494035249,29,4.969283276450512,72,4.219178082191781,15,4.819672131147541,88,3.9320819112627983,115,3.482191780821917,25,3.8423497267759563,140,2.628839590443686,154,2.392465753424658,34,2.581693989071039,188,2.11490329920364,185,1.915981735159817,41,2.0752276867030965,227,,,
2,Best Individual (UniMol_sim),14.395039177041772,21,24.76172101099749,9,20.304009851458478,37,17.136951401240207,50,19.259116341886937,14,17.56022473639652,64,7.303754266211604,107,11.506849315068493,42,12.78688524590164,234,4.266211604095563,125,6.027397260273973,44,6.639344262295082,243,2.474402730375427,145,3.4246575342465753,50,3.5245901639344264,258,1.8771331058020477,165,2.557077625570776,56,2.5500910746812386,280,0.760477226401558,0.05866947529685326,0.45081782845367946
3,Equal Weights,8.911214728644907,13,19.259116341886937,7,10.975140460247825,20,8.225736672595298,24,11.005209338221107,8,8.78011236819826,32,5.392491467576792,79,6.575342465753424,24,5.628415300546448,103,3.7542662116040955,110,5.068493150684931,37,4.016393442622951,147,2.5938566552901023,152,3.0136986301369864,44,2.6775956284153004,196,2.1729237770193404,191,2.4657534246575343,54,2.231329690346084,245,0.818527670035562,0.03393359113073056,0.2951004429393181
3,Random (mean of 100),9.034600778733836,13,13.288790275901983,4,9.883113984453166,18,7.6979185694371,22,10.234844684545628,7,8.203917494035249,29,4.626621160409557,67,5.594520547945205,20,4.819672131147541,88,3.7075085324232084,108,4.383561643835616,32,3.8423497267759563,140,2.5061433447098973,146,2.8849315068493144,42,2.581693989071039,188,2.0222980659840726,177,2.2876712328767126,50,2.0752276867030965,227,,,
3,Best Individual (UniMol_sim),17.822429457289815,26,30.264325680108044,11,20.304009851458478,37,16.451473345190596,48,22.010418676442214,16,17.56022473639652,64,12.42320819112628,182,14.246575342465754,52,12.78688524590164,234,6.416382252559727,188,7.534246575342466,55,6.639344262295082,243,3.4470989761092152,202,3.835616438356164,56,3.5245901639344264,258,2.5483503981797497,224,2.557077625570776,56,2.5500910746812386,280,0.7927221621955658,0.08177063206844071,0.5549193186555746
4,Equal Weights,11.65312695284334,17,8.25390700366583,3,10.975140460247825,20,9.253953756669711,27,6.878255836388192,5,8.78011236819826,32,6.006825938566553,88,4.109589041095891,15,5.628415300546448,103,4.2320819112627985,124,3.1506849315068495,23,4.016393442622951,147,2.7645051194539247,162,2.328767123287671,34,2.6775956284153004,196,2.2525597269624575,198,2.146118721461187,47,2.231329690346084,245,0.7506061404855496,0.015530130326231153,0.1820102722899485
