fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc
1,GraphDTA_Kd,0.0,0,2.714122573277503,2,0.8108108108108109,3,0.9459459459459459,7,1.1486486486486487,17,1.0810810810810811,24,0.5416426930243369,0.0060107643420132355,0.055712218940822594
1,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.13513513513513514,1,0.06756756756756757,1,0.13513513513513514,3,0.12235940649517416,0.00297474102438442,0.003401486421151151
1,GraphDTA_IC50,16.284735439665017,6,13.570612866387513,10,6.756756756756757,25,4.1891891891891895,31,2.5675675675675675,38,2.027027027027027,45,0.6699162859461745,0.02852334975082306,0.28556707025276645
1,MLTLE_pKd,5.428245146555006,2,5.428245146555006,4,2.1621621621621623,8,1.8918918918918919,14,1.6891891891891893,25,1.3963963963963963,31,0.6156826677234121,0.00928053960962663,0.1145324404563842
1,Vina,8.142367719832508,3,4.071183859916254,3,2.972972972972973,11,2.027027027027027,15,1.6891891891891893,25,1.6666666666666667,37,0.678078596713166,0.009701069218878203,0.1211905932495864
1,Boltz_affinity,10.856490293110012,4,6.785306433193757,5,6.486486486486487,24,5.27027027027027,39,3.918918918918919,58,2.8828828828828827,64,0.840447948300761,0.02726298849098097,0.2866473526551586
1,Boltz_confidence,21.712980586220024,8,16.284735439665017,12,11.621621621621621,43,9.594594594594595,71,5.0,74,3.3333333333333335,74,0.9563654307063302,0.06337016304478521,0.5040923844376112
1,TankBind,0.0,0,0.0,0,0.2702702702702703,1,0.13513513513513514,1,0.13513513513513514,2,0.18018018018018017,4,0.3083502577722231,0.003451434764539722,0.0101887242315041
1,DrugBAN,2.714122573277503,1,1.3570612866387515,1,1.3513513513513513,5,1.3513513513513513,10,1.6216216216216217,24,1.3963963963963963,31,0.5849138473028223,0.007101780328762419,0.07897121099899092
1,MolTrans,0.0,0,0.0,0,0.2702702702702703,1,0.2702702702702703,2,0.6756756756756757,10,0.5855855855855856,13,0.2917493836709965,0.003566263594728383,0.02168421971140704
1,UniMol_sim,8.142367719832508,3,10.856490293110012,8,12.162162162162161,45,6.216216216216216,46,3.3783783783783785,50,2.5675675675675675,57,0.766642311986313,0.053365049480864984,0.45282676766743596
2,GraphDTA_Kd,0.0,0,0.0,0,0.547945205479452,2,0.821917808219178,6,0.547945205479452,8,0.867579908675799,19,0.4852947566313362,0.004844259515356348,0.03230295715195094
2,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.136986301369863,1,0.136986301369863,2,0.228310502283105,5,0.11124645271428307,0.0029823664778690874,0.003097730407392446
2,GraphDTA_IC50,13.756511672776384,5,12.380860505498745,9,6.575342465753424,24,4.109589041095891,30,2.6027397260273974,38,1.9634703196347032,43,0.6169945280794399,0.027135254136258904,0.29109501777669916
2,MLTLE_pKd,2.7513023345552767,1,4.126953501832915,3,1.36986301369863,5,2.0547945205479454,15,1.8493150684931507,27,1.461187214611872,32,0.5911624668928046,0.008198978087645017,0.09853522473727663
2,Vina,5.5026046691105535,2,2.7513023345552767,2,1.095890410958904,4,1.5068493150684932,11,1.5753424657534247,23,1.461187214611872,32,0.683239817274352,0.008347027470333819,0.08137467405063027
2,Boltz_affinity,2.7513023345552767,1,1.3756511672776384,1,5.7534246575342465,21,5.205479452054795,38,3.9726027397260273,58,2.922374429223744,64,0.8427771517625146,0.023979137893346734,0.2659912404361217
