fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,21.712980586220024,8,16.284735439665017,12,11.08108108108108,41,9.594594594594595,71,5.0,74,3.3333333333333335,74
1,fair_bedroc,18.99885801294252,7,16.284735439665017,12,10.81081081081081,40,9.594594594594595,71,5.0,74,3.3333333333333335,74
1,entropy_bedroc,21.712980586220024,8,16.284735439665017,12,11.35135135135135,42,9.594594594594595,71,5.0,74,3.3333333333333335,74
2,unconstrained_bedroc,8.25390700366583,3,13.756511672776384,10,11.780821917808218,43,8.767123287671232,64,4.863013698630137,71,3.287671232876712,72
2,fair_bedroc,8.25390700366583,3,12.380860505498745,9,12.32876712328767,45,8.767123287671232,64,4.863013698630137,71,3.287671232876712,72
2,entropy_bedroc,8.25390700366583,3,11.005209338221107,8,12.32876712328767,45,8.767123287671232,64,4.931506849315069,72,3.287671232876712,72
3,unconstrained_bedroc,30.264325680108044,11,24.76172101099749,18,13.150684931506849,48,9.58904109589041,70,5.0,73,3.3333333333333335,73
3,fair_bedroc,30.264325680108044,11,24.76172101099749,18,13.424657534246576,49,9.452054794520548,69,5.0,73,3.3333333333333335,73
3,entropy_bedroc,30.264325680108044,11,24.76172101099749,18,13.698630136986301,50,9.58904109589041,70,5.0,73,3.3333333333333335,73
4,unconstrained_bedroc,30.264325680108044,11,23.386069843719852,17,10.684931506849315,39,8.904109589041095,65,5.0,73,3.3333333333333335,73
4,fair_bedroc,30.264325680108044,11,24.76172101099749,18,11.232876712328768,41,8.63013698630137,63,5.0,73,3.3333333333333335,73
4,entropy_bedroc,30.264325680108044,11,23.386069843719852,17,11.506849315068493,42,9.178082191780822,67,5.0,73,3.3333333333333335,73
5,unconstrained_bedroc,33.01562801466332,12,34.39127918194096,25,13.150684931506849,48,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,fair_bedroc,33.01562801466332,12,34.39127918194096,25,12.876712328767123,47,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,entropy_bedroc,33.01562801466332,12,34.39127918194096,25,13.150684931506849,48,9.452054794520548,69,5.0,73,3.3333333333333335,73
