fold,method,column,modality,weight,weight_pct
1,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
1,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.031025006000629147,3.1025006000629145
1,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
1,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03106792376960874,3.106792376960874
1,fair_bedroc,vina_score,Vina,0.07126406874680424,7.126406874680424
1,fair_bedroc,boltz_affinity,Boltz_affinity,0.03635561760384565,3.6355617603845647
1,fair_bedroc,boltz_confidence,Boltz_confidence,0.24259035930709102,24.259035930709103
1,fair_bedroc,tankbind_affinity,TankBind,0.05472212375703385,5.472212375703385
1,fair_bedroc,drugban_affinity,DrugBAN,0.1979624780890508,19.79624780890508
1,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
1,fair_bedroc,unimol_similarity,UniMol_sim,0.24501242272656024,24.501242272656025
2,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
2,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.031507386648321666,3.1507386648321667
2,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
2,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
2,fair_bedroc,vina_score,Vina,0.1024929415592003,10.24929415592003
2,fair_bedroc,boltz_affinity,Boltz_affinity,0.035743289663587315,3.5743289663587317
2,fair_bedroc,boltz_confidence,Boltz_confidence,0.24031967828557044,24.031967828557043
2,fair_bedroc,tankbind_affinity,TankBind,0.07359506050571057,7.359506050571057
2,fair_bedroc,drugban_affinity,DrugBAN,0.15116820206557252,15.116820206557252
2,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
2,fair_bedroc,unimol_similarity,UniMol_sim,0.24517344127125387,24.517344127125387
3,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
3,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
3,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
3,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
3,fair_bedroc,vina_score,Vina,0.06157949809370017,6.157949809370017
3,fair_bedroc,boltz_affinity,Boltz_affinity,0.0409709510415778,4.0970951041577806
3,fair_bedroc,boltz_confidence,Boltz_confidence,0.23579050134581384,23.579050134581383
3,fair_bedroc,tankbind_affinity,TankBind,0.058655203263748665,5.865520326374867
3,fair_bedroc,drugban_affinity,DrugBAN,0.2069360304274001,20.693603042740012
3,fair_bedroc,moltrans_affinity,MolTrans,0.03239352401957955,3.239352401957955
3,fair_bedroc,unimol_similarity,UniMol_sim,0.24367429180785857,24.36742918078586
4,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03554060693826214,3.5540606938262136
4,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03250185066561355,3.2501850665613548
4,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03004551243369614,3.004551243369614
4,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
4,fair_bedroc,vina_score,Vina,0.08708190571064339,8.708190571064339
4,fair_bedroc,boltz_affinity,Boltz_affinity,0.031197519408534793,3.119751940853479
4,fair_bedroc,boltz_confidence,Boltz_confidence,0.21878343169956357,21.878343169956356
4,fair_bedroc,tankbind_affinity,TankBind,0.10932501668207081,10.932501668207081
4,fair_bedroc,drugban_affinity,DrugBAN,0.14481080422215614,14.481080422215614
4,fair_bedroc,moltrans_affinity,MolTrans,0.03257287324572469,3.257287324572469
4,fair_bedroc,unimol_similarity,UniMol_sim,0.24814047899390612,24.814047899390612
5,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.030768154632131187,3.076815463213119
5,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
5,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03015276780475254,3.015276780475254
5,fair_bedroc,mltle_pKd,MLTLE_pKd,0.030071050691267226,3.0071050691267227
5,fair_bedroc,vina_score,Vina,0.12281035194755019,12.281035194755018
5,fair_bedroc,boltz_affinity,Boltz_affinity,0.046703549856201704,4.67035498562017
5,fair_bedroc,boltz_confidence,Boltz_confidence,0.24261110705391434,24.261110705391435
5,fair_bedroc,tankbind_affinity,TankBind,0.03939648632511479,3.9396486325114792
5,fair_bedroc,drugban_affinity,DrugBAN,0.15414508231687946,15.414508231687945
5,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
5,fair_bedroc,unimol_similarity,UniMol_sim,0.24334144937286484,24.334144937286485
