method,kind,ef_0.5,ef_0.5_std,hits_0.5,hits_0.5_std,ef_1,ef_1_std,hits_1,hits_1_std,ef_5,ef_5_std,hits_5,hits_5_std,ef_10,ef_10_std,hits_10,hits_10_std,ef_20,ef_20_std,hits_20,hits_20_std,ef_30,ef_30_std,hits_30,hits_30_std,auroc,auroc_std,auprc,auprc_std,bedroc,bedroc_std
UniMol_sim,individual,20.33732941894238,7.540583565257096,7.4,2.727636339397171,17.578591132131553,3.784775520020342,12.8,2.7129319932501073,12.788596815994076,1.1046568925722935,46.8,3.9698866482558417,6.640503517215846,0.5504789473163965,48.6,3.9293765408777,3.5249907441688264,0.1830892312375591,51.6,2.5768197453450252,2.5500431938788104,0.04536024653262836,56.0,1.0954451150103321,0.7759252638294052,0.021924411488826987,0.06665324992353472,0.01116768024741861,0.494448885555116,0.04392061536668034
GraphDTA_IC50,individual,14.26215642615411,4.7135726543287495,5.2,1.7204650534085253,16.19550401259836,5.121455097731765,11.8,3.7094473981982814,7.159570529433543,0.8978790574429947,26.2,3.249615361854384,4.235098111810441,0.4982250139902594,31.0,3.63318042491699,2.4998148833765272,0.29693675827886606,36.6,4.363484845854286,1.8939898802912503,0.21933090300346456,41.6,4.882622246293481,0.6554427063666123,0.043088610979184185,0.03410861269175443,0.011271945247761787,0.30761544449947653,0.04111534411380773
Boltz_confidence,individual,16.99858685619828,4.6723822417579575,6.2,1.7204650534085255,13.161635492332,2.7815829118594317,9.6,2.0591260281974,11.365420214735284,0.8295815959493397,41.6,3.0724582991474434,9.644946316179194,0.10905490371565271,70.6,0.8,5.0,0.0,73.2,0.4,3.3333333333333335,0.0,73.2,0.4,0.9556063412629239,0.002865983100058163,0.05974466157989572,0.005672510546489491,0.4889208825235773,0.02505736373329661
MLTLE_pKd,individual,7.1385141653326105,4.47592444041199,2.6,1.624807680927192,5.212602531143917,1.0258919573293839,3.8,0.7483314773547882,2.076268048870789,0.5357949238953752,7.6,1.9595917942265424,2.268789337282488,0.42537463899332323,16.6,3.0724582991474434,1.7624953720844132,0.18233038312294092,25.8,2.6381811916545836,1.6034801925212883,0.17620993723667178,35.2,3.7629775444453557,0.6407770321296303,0.03683316115730513,0.0099649015420277,0.001222013121028648,0.12325548647041736,0.017935779771120566
Boltz_affinity,individual,7.123642260821501,3.2672189882777833,2.6,1.2000000000000002,4.9337543215606114,2.3838461458965274,3.6,1.7435595774162693,7.050721954831543,0.8132115749222243,25.8,2.9257477676655586,5.601999259533507,0.39858218464999984,41.0,2.8284271247461903,3.9892632358385782,0.1380726806995815,58.4,1.9595917942265424,2.9236085400468963,0.048943036635104825,64.2,0.9797958971132712,0.8551015270792248,0.015289969843990567,0.027893570431784177,0.0030630688778245244,0.29850767409656564,0.02513508827238881
DrugBAN,individual,6.5956896506771105,3.3102601186932397,2.4,1.2,3.8481052922496106,2.2052331609217704,2.8,1.6,1.8045168456127356,0.2852439940087839,6.6,1.0198039027185568,1.8319141058867086,0.5619228445728406,13.4,4.079215610874228,1.6804887078859683,0.32658140193173496,24.6,4.758150901348127,1.5121559916080465,0.21493576811006357,33.2,4.66476151587624,0.591941611773274,0.03263738336988125,0.008492097627198486,0.001743462282242805,0.10233358707412635,0.024339241495510634
Vina,individual,4.930036345432834,3.18581743840846,1.8,1.1661903789690602,2.465018172716417,1.59290871920423,1.8,1.1661903789690602,1.6356904850055536,0.7605510111077673,6.0,2.8284271247461903,1.6656793780081451,0.32241428095270386,12.2,2.4,1.6940022213994816,0.17531081796103892,24.8,2.5612496949731396,1.6666666666666667,0.1486650282748832,36.6,3.2619012860600183,0.6895641054302245,0.015330476453578342,0.00883065432854952,0.0008713521522870388,0.08966293445935969,0.022985907489635728
GraphDTA_Kd,individual,0.5502604669110553,1.1005209338221105,0.2,0.4,1.093084981566556,1.3388018519760136,0.8,0.9797958971132713,0.655312847093669,0.2781237887693628,2.4,1.019803902718557,0.8467234357645317,0.18023781915143977,6.2,1.32664991614216,0.9009626064420585,0.2056991397594954,13.2,3.059411708155671,1.0016043440700977,0.0785251440706827,22.0,1.7888543819998317,0.5265031939665674,0.03178907221749702,0.00552949817284587,0.0004604813259924347,0.04173490283060193,0.011272070363776724
TankBind,individual,1.1005209338221107,1.3478573695577125,0.4,0.48989794855663565,0.5502604669110553,0.6739286847788563,0.4,0.48989794855663565,0.38282117734172527,0.13482998212952405,1.4,0.4898979485566356,0.19141058867086264,0.06741499106476202,1.4,0.4898979485566356,0.24620510921880784,0.11165463791188611,3.6,1.624807680927192,0.23694927804516844,0.06751838246507495,5.2,1.469693845669907,0.31532470934939677,0.015307343302003914,0.0035177554326434888,8.178367212943406e-05,0.01675834898359294,0.005706637178482104
MolTrans,individual,0.0,0.0,0.0,0.0,0.2751302334555277,0.5502604669110552,0.2,0.4000000000000001,0.32802665679378007,0.10996862326982286,1.2,0.4000000000000001,0.27323213624583487,0.08665040027439155,2.0,0.6324555320336759,0.5460940392447242,0.09428235156050976,8.0,1.4142135623730951,0.5828705417746514,0.12038597684777132,12.8,2.6381811916545836,0.28667640758291185,0.0375533128849434,0.0034800605325079727,0.0002343256583071376,0.01931771348316664,0.005214358830308103
