fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained,16.284735439665017,6,14.927674153026265,11,12.432432432432432,46,9.594594594594595,71,5.0,74,3.3333333333333335,74
1,fair,16.284735439665017,6,13.570612866387513,10,11.08108108108108,41,9.864864864864865,73,5.0,74,3.3333333333333335,74
1,entropy,16.284735439665017,6,14.927674153026265,11,12.432432432432432,46,8.783783783783784,65,4.9324324324324325,73,3.3333333333333335,74
2,unconstrained,13.756511672776384,5,13.756511672776384,10,12.32876712328767,45,8.904109589041095,65,4.931506849315069,72,3.3333333333333335,73
2,fair,11.005209338221107,4,11.005209338221107,8,11.506849315068493,42,7.534246575342466,55,4.109589041095891,60,2.9680365296803655,65
2,entropy,13.756511672776384,5,12.380860505498745,9,12.32876712328767,45,7.808219178082192,57,4.383561643835616,64,3.105022831050228,68
3,unconstrained,30.264325680108044,11,24.76172101099749,18,14.246575342465754,52,9.452054794520548,69,5.0,73,3.3333333333333335,73
3,fair,24.76172101099749,9,24.76172101099749,18,14.246575342465754,52,9.863013698630137,72,5.0,73,3.3333333333333335,73
3,entropy,30.264325680108044,11,24.76172101099749,18,13.972602739726028,51,9.58904109589041,70,5.0,73,3.3333333333333335,73
4,unconstrained,30.264325680108044,11,26.13737217827513,19,11.506849315068493,42,9.452054794520548,69,5.0,73,3.3333333333333335,73
4,fair,27.513023345552767,10,22.010418676442214,16,10.41095890410959,38,6.575342465753424,48,4.109589041095891,60,3.3333333333333335,73
4,entropy,30.264325680108044,11,26.13737217827513,19,11.506849315068493,42,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,unconstrained,38.518232683773874,14,31.639976847385682,23,13.698630136986301,50,9.315068493150685,68,5.0,73,3.3333333333333335,73
5,fair,27.513023345552767,10,31.639976847385682,23,13.150684931506849,48,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,entropy,38.518232683773874,14,31.639976847385682,23,13.698630136986301,50,8.904109589041095,65,5.0,73,3.3333333333333335,73
