fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair,0.5,25.44954659463631,37,16.284735439665017,6,23.596551989532827,43,71
1,fair,1.0,24.76172101099749,72,13.570612866387513,10,22.499037943508043,82,142
1,fair,5.0,12.945205479452055,189,11.08108108108108,41,12.568306010928962,230,713
1,fair,10.0,9.315068493150685,272,9.864864864864865,73,9.426229508196721,345,1426
1,fair,20.0,4.982876712328767,291,5.0,74,4.9863387978142075,365,2852
1,fair,30.0,3.3219178082191783,291,3.3333333333333335,74,3.324225865209472,365,4278
2,fair,0.5,28.104600298033937,41,11.005209338221107,4,24.694066035557608,45,71
2,fair,1.0,25.70542710186031,75,11.005209338221107,8,22.77341645501424,83,142
2,fair,5.0,11.877133105802049,174,11.506849315068493,42,11.80327868852459,216,713
2,fair,10.0,7.474402730375426,219,7.534246575342466,55,7.4863387978142075,274,1426
2,fair,20.0,4.4709897610921505,262,4.109589041095891,60,4.398907103825136,322,2852
2,fair,30.0,3.242320819112628,285,2.9680365296803655,65,3.1876138433515484,350,4278
3,fair,0.5,24.677210017785896,36,24.76172101099749,9,24.694066035557608,45,71
3,fair,1.0,22.62077584963707,66,24.76172101099749,18,23.047794966520435,84,142
3,fair,5.0,12.218430034129693,179,14.246575342465754,52,12.62295081967213,231,713
3,fair,10.0,9.249146757679181,271,9.863013698630137,72,9.371584699453551,343,1426
3,fair,20.0,4.982935153583618,292,5.0,73,4.9863387978142075,365,2852
3,fair,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
4,fair,0.5,23.30625390568668,34,27.513023345552767,10,24.145309012545216,44,71
4,fair,1.0,22.963514877661876,67,22.010418676442214,16,22.77341645501424,83,142
4,fair,5.0,11.945392491467576,175,10.41095890410959,38,11.639344262295081,213,713
4,fair,10.0,8.054607508532424,236,6.575342465753424,48,7.759562841530054,284,1426
4,fair,20.0,4.590443686006826,269,4.109589041095891,60,4.494535519125683,329,2852
4,fair,30.0,3.2309442548350398,284,3.3333333333333335,73,3.251366120218579,357,4278
5,fair,0.5,23.99173196173629,35,27.513023345552767,10,24.694066035557608,45,71
5,fair,1.0,20.564341681488248,60,31.639976847385682,23,22.77341645501424,83,142
5,fair,5.0,12.013651877133105,176,13.150684931506849,48,12.240437158469945,224,713
5,fair,10.0,9.146757679180887,268,9.452054794520548,69,9.207650273224044,337,1426
5,fair,20.0,4.931740614334471,289,5.0,73,4.945355191256831,362,2852
5,fair,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
