fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained,18.99885801294252,7,14.927674153026265,11,9.18918918918919,34,5.27027027027027,39,3.0405405405405403,45,2.6576576576576576,59
1,fair,16.284735439665017,6,14.927674153026265,11,9.72972972972973,36,8.378378378378379,62,4.9324324324324325,73,3.2882882882882885,73
1,entropy,16.284735439665017,6,14.927674153026265,11,12.162162162162161,45,8.513513513513514,63,4.797297297297297,71,3.3333333333333335,74
2,unconstrained,11.005209338221107,4,9.629558170943469,7,10.41095890410959,38,6.027397260273973,44,3.287671232876712,48,2.5114155251141552,55
2,fair,8.25390700366583,3,13.756511672776384,10,10.41095890410959,38,6.301369863013699,46,3.5616438356164384,52,2.7853881278538815,61
2,entropy,11.005209338221107,4,9.629558170943469,7,11.232876712328768,41,6.712328767123288,49,3.835616438356164,56,2.8767123287671232,63
3,unconstrained,27.513023345552767,10,23.386069843719852,17,11.506849315068493,42,6.986301369863014,51,3.6301369863013697,53,2.7853881278538815,61
3,fair,27.513023345552767,10,23.386069843719852,17,11.780821917808218,43,8.356164383561644,61,4.52054794520548,66,3.287671232876712,72
3,entropy,27.513023345552767,10,23.386069843719852,17,12.32876712328767,45,8.356164383561644,61,4.726027397260274,69,3.287671232876712,72
4,unconstrained,11.005209338221107,4,16.50781400733166,12,8.493150684931507,31,4.931506849315069,36,2.9452054794520546,43,2.328767123287671,51
4,fair,8.25390700366583,3,15.132162840054022,11,7.671232876712328,28,4.794520547945205,35,3.0136986301369864,44,2.4200913242009134,53
4,entropy,8.25390700366583,3,13.756511672776384,10,7.397260273972603,27,4.657534246575342,34,2.73972602739726,40,2.146118721461187,47
5,unconstrained,24.76172101099749,9,31.639976847385682,23,13.698630136986301,50,8.219178082191782,60,4.726027397260274,69,3.3333333333333335,73
5,fair,27.513023345552767,10,31.639976847385682,23,13.424657534246576,49,8.63013698630137,63,4.726027397260274,69,3.287671232876712,72
5,entropy,27.513023345552767,10,30.264325680108044,22,13.424657534246576,49,6.986301369863014,51,4.178082191780822,61,3.1506849315068495,69
