fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair,0.5,29.576500096469225,43,16.284735439665017,6,26.889094127607173,49,71
1,fair,1.0,23.386069843719852,68,14.927674153026265,11,21.675902408989455,79,142
1,fair,5.0,11.506849315068493,168,9.72972972972973,36,11.147540983606557,204,713
1,fair,10.0,8.287671232876713,242,8.378378378378379,62,8.306010928961749,304,1426
1,fair,20.0,4.708904109589041,275,4.9324324324324325,73,4.754098360655738,348,2852
1,fair,30.0,3.2420091324200913,284,3.2882882882882885,73,3.251366120218579,357,4278
2,fair,0.5,31.531990578281977,46,8.25390700366583,3,26.889094127607173,49,71
2,fair,1.0,24.677210017785896,72,13.756511672776384,10,22.499037943508043,82,142
2,fair,5.0,11.399317406143345,167,10.41095890410959,38,11.202185792349727,205,713
2,fair,10.0,6.348122866894198,186,6.301369863013699,46,6.33879781420765,232,1426
2,fair,20.0,3.6860068259385668,216,3.5616438356164384,52,3.66120218579235,268,2852
2,fair,30.0,2.901023890784983,255,2.7853881278538815,61,2.877959927140255,316,4278
3,fair,0.5,28.104600298033937,41,27.513023345552767,10,27.986608173631957,51,71
3,fair,1.0,21.249819737537855,62,23.386069843719852,17,21.675902408989455,79,142
3,fair,5.0,10.98976109215017,161,11.780821917808218,43,11.147540983606557,204,713
3,fair,10.0,7.167235494880546,210,8.356164383561644,61,7.404371584699454,271,1426
3,fair,20.0,4.266211604095563,250,4.52054794520548,66,4.316939890710382,316,2852
3,fair,30.0,3.10580204778157,273,3.287671232876712,72,3.1420765027322406,345,4278
4,fair,0.5,30.84651252223237,45,8.25390700366583,3,26.34033710459478,48,71
4,fair,1.0,21.935297793587463,64,15.132162840054022,11,20.578388362964674,75,142
4,fair,5.0,9.078498293515358,133,7.671232876712328,28,8.797814207650273,161,713
4,fair,10.0,5.90443686006826,173,4.794520547945205,35,5.683060109289618,208,1426
4,fair,20.0,3.361774744027304,197,3.0136986301369864,44,3.2923497267759565,241,2852
4,fair,30.0,2.5483503981797497,224,2.4200913242009134,53,2.522768670309654,277,4278
5,fair,0.5,26.733644185934722,39,27.513023345552767,10,26.889094127607173,49,71
5,fair,1.0,19.87886362543864,58,31.639976847385682,23,22.224659432001847,81,142
5,fair,5.0,12.013651877133105,176,13.424657534246576,49,12.295081967213115,225,713
5,fair,10.0,8.054607508532424,236,8.63013698630137,63,8.169398907103826,299,1426
5,fair,20.0,4.69283276450512,275,4.726027397260274,69,4.699453551912568,344,2852
5,fair,30.0,3.2764505119453924,288,3.287671232876712,72,3.278688524590164,360,4278
