method,kind,ef_0.5,ef_0.5_std,hits_0.5,hits_0.5_std,ef_1,ef_1_std,hits_1,hits_1_std,ef_5,ef_5_std,hits_5,hits_5_std,ef_10,ef_10_std,hits_10,hits_10_std,ef_20,ef_20_std,hits_20,hits_20_std,ef_30,ef_30_std,hits_30,hits_30_std,auroc,auroc_std,auprc,auprc_std,bedroc,bedroc_std
UniMol_sim,individual,18.12885159904261,5.144776251619959,6.6,1.8547236990991407,17.578591132131553,3.683416794680222,12.8,2.6381811916545836,12.788596815994076,1.1046568925722935,46.8,3.9698866482558417,6.640503517215846,0.5504789473163965,48.6,3.9293765408777,3.5249907441688264,0.1830892312375591,51.6,2.5768197453450252,2.5500431938788104,0.04536024653262836,56.0,1.0954451150103321,0.7759194885456114,0.02195280844844836,0.07086027802387215,0.014060235007351762,0.49539758658808586,0.042905412015203426
GraphDTA_IC50,individual,22.493755573053278,7.841669115152524,8.2,2.85657137141714,16.19550401259836,5.121455097731765,11.8,3.7094473981982814,7.159570529433543,0.8978790574429947,26.2,3.249615361854384,4.235098111810441,0.4982250139902594,31.0,3.63318042491699,2.4998148833765272,0.29693675827886606,36.6,4.363484845854286,1.8939898802912503,0.21933090300346456,41.6,4.882622246293481,0.6555924452543135,0.04315101411284108,0.04636873837747883,0.015587640520710662,0.31085097059206757,0.042127431624949016
Boltz_confidence,individual,10.402897205521167,6.761910076357606,3.8,2.4819347291981715,12.886505258876472,3.0375296112818124,9.4,2.244994432064365,11.365420214735284,0.8295815959493397,41.6,3.0724582991474434,9.644946316179194,0.10905490371565271,70.6,0.8,5.0,0.0,73.2,0.4,3.3333333333333335,0.0,73.2,0.4,0.9555586661564807,0.0028331502411547763,0.06096509759572029,0.007097219073804969,0.4880679204535928,0.024896819087384985
MLTLE_pKd,individual,6.0305572792549444,2.6778101992367858,2.2,0.9797958971132712,5.212602531143917,1.0258919573293839,3.8,0.7483314773547882,2.076268048870789,0.5357949238953752,7.6,1.9595917942265424,2.268789337282488,0.42537463899332323,16.6,3.0724582991474434,1.7624953720844132,0.18233038312294092,25.8,2.6381811916545836,1.6034801925212883,0.17620993723667178,35.2,3.7629775444453557,0.6408187846561979,0.03681019327844381,0.011332085830977418,0.0015452219134507355,0.12167076524024076,0.017188385892375892
Boltz_affinity,individual,1.6433454484776113,1.3418546195376546,0.6,0.48989794855663565,4.9337543215606114,2.3838461458965274,3.6,1.7435595774162693,7.050721954831543,0.8132115749222243,25.8,2.9257477676655586,5.601999259533507,0.39858218464999984,41.0,2.8284271247461903,3.9892632358385782,0.1380726806995815,58.4,1.9595917942265424,2.9236085400468963,0.048943036635104825,64.2,0.9797958971132712,0.8550196130716052,0.015303689972487995,0.0277793528931492,0.0030411672265666947,0.2973274976328174,0.023872493797679795
DrugBAN,individual,4.402083735288443,2.805788858338148,1.6,1.019803902718557,3.8481052922496106,2.2052331609217704,2.8,1.6,1.8045168456127356,0.2852439940087839,6.6,1.0198039027185568,1.8319141058867086,0.5619228445728406,13.4,4.079215610874228,1.6804887078859683,0.32658140193173496,24.6,4.758150901348127,1.5121559916080465,0.21493576811006357,33.2,4.66476151587624,0.5919315389298895,0.03262144143131317,0.010413562612479553,0.003947475545596267,0.10247532510789412,0.023360502015438503
Vina,individual,2.186169963133112,2.6776037039520273,0.8,0.9797958971132713,2.465018172716417,1.59290871920423,1.8,1.1661903789690602,1.6356904850055536,0.7605510111077673,6.0,2.8284271247461903,1.6656793780081451,0.32241428095270386,12.2,2.4,1.6940022213994816,0.17531081796103892,24.8,2.5612496949731396,1.6666666666666667,0.1486650282748832,36.6,3.2619012860600183,0.6895742813218242,0.015346211769908321,0.00911550180246658,0.0011762379069246334,0.09092322835503679,0.02427724151781725
GraphDTA_Kd,individual,2.186169963133112,2.6776037039520273,0.8,0.9797958971132713,1.093084981566556,1.3388018519760136,0.8,0.9797958971132713,0.655312847093669,0.2781237887693628,2.4,1.019803902718557,0.8467234357645317,0.18023781915143977,6.2,1.32664991614216,0.9009626064420585,0.2056991397594954,13.2,3.059411708155671,1.0016043440700977,0.0785251440706827,22.0,1.7888543819998317,0.526537911457147,0.03178465785745059,0.009732786874103483,0.005740324679097346,0.042714600982715414,0.012304368413887339
TankBind,individual,1.1005209338221107,1.3478573695577125,0.4,0.48989794855663565,0.5502604669110553,0.6739286847788563,0.4,0.48989794855663565,0.38282117734172527,0.13482998212952405,1.4,0.4898979485566356,0.19141058867086264,0.06741499106476202,1.4,0.4898979485566356,0.24620510921880784,0.11165463791188611,3.6,1.624807680927192,0.23694927804516844,0.06751838246507495,5.2,1.469693845669907,0.3153113512549178,0.015337158165590717,0.004544053832180966,0.0017988279100791917,0.017376162283939983,0.006435556315072734
MolTrans,individual,0.0,0.0,0.0,0.0,0.2751302334555277,0.5502604669110552,0.2,0.4000000000000001,0.32802665679378007,0.10996862326982286,1.2,0.4000000000000001,0.27323213624583487,0.08665040027439155,2.0,0.6324555320336759,0.5460940392447242,0.09428235156050976,8.0,1.4142135623730951,0.5828705417746514,0.12038597684777132,12.8,2.6381811916545836,0.286568299006153,0.03756761421517426,0.0034573027022996887,0.0002513035378626632,0.0189796287469984,0.0047561011840714365
GraphDTA_Ki,individual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1643835616438356,0.2191780821917808,0.6,0.7999999999999999,0.16401332839689003,0.10261273425439471,1.2,0.7483314773547883,0.13680118474639022,0.0969954581190595,2.0,1.4142135623730951,0.18227816857953844,0.08189290130414936,4.0,1.7888543819998317,0.11889394546757374,0.038164792933640765,0.002781002596584635,9.911665529444286e-05,0.0075588740559200925,0.007077677071152312
Equal-weight,baseline,16.46319829379833,7.782369725000919,6.0,2.8284271247461903,12.622528953804277,3.5266331395587622,9.2,2.5612496949731396,6.504257682339874,1.3306213799465814,23.8,4.833218389437829,5.0555349870418365,0.5814123860813148,37.0,4.1952353926806065,3.2245464642724917,0.20723340927349373,47.2,2.9257477676655586,2.5411575959521167,0.16391500650278126,55.8,3.54400902933387,0.8187520505532115,0.026298990545270077,0.04509631322859835,0.017932357587828598,0.30116260560330066,0.04988182828383967
CWRA,cwra,17.563719227620442,8.636646475138976,6.4,3.1368774282716245,19.76847907139244,6.856996352603864,14.4,4.963869458396343,10.603480192521289,1.936169092324055,38.8,7.025667228100119,7.29211403184006,1.5047940740900063,53.4,11.11035552986492,4.150870048130322,0.7373810206147883,60.8,10.979981785048643,3.0138220412193015,0.3549694909226927,66.2,7.934733769950949,0.9024135688352954,0.05630955080926995,0.07831313024520727,0.03288128523763536,0.46910509378610277,0.09034162166674699
