fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,18.99885801294252,7,17.64179672630377,13,11.621621621621621,43,6.351351351351352,47,3.6486486486486487,54,2.972972972972973,66
1,fair_bedroc,18.99885801294252,7,17.64179672630377,13,11.891891891891891,44,6.756756756756757,50,4.1891891891891895,62,3.1531531531531534,70
1,entropy_bedroc,18.99885801294252,7,16.284735439665017,12,12.702702702702704,47,7.027027027027027,52,4.45945945945946,66,3.1981981981981984,71
2,unconstrained_bedroc,11.005209338221107,4,13.756511672776384,10,12.876712328767123,47,6.575342465753424,48,3.835616438356164,56,2.922374429223744,64
2,fair_bedroc,11.005209338221107,4,13.756511672776384,10,12.876712328767123,47,7.260273972602739,53,4.4520547945205475,65,3.105022831050228,68
2,entropy_bedroc,11.005209338221107,4,13.756511672776384,10,12.876712328767123,47,6.986301369863014,51,4.109589041095891,60,2.9680365296803655,65
3,unconstrained_bedroc,30.264325680108044,11,24.76172101099749,18,14.246575342465754,52,7.397260273972603,54,4.109589041095891,60,3.105022831050228,68
3,fair_bedroc,27.513023345552767,10,24.76172101099749,18,14.246575342465754,52,8.082191780821917,59,4.4520547945205475,65,3.287671232876712,72
3,entropy_bedroc,30.264325680108044,11,24.76172101099749,18,14.246575342465754,52,8.082191780821917,59,4.52054794520548,66,3.287671232876712,72
4,unconstrained_bedroc,30.264325680108044,11,23.386069843719852,17,11.506849315068493,42,6.301369863013699,46,3.287671232876712,48,2.6484018264840183,58
4,fair_bedroc,35.7669303492186,13,26.13737217827513,19,11.780821917808218,43,6.575342465753424,48,3.904109589041096,57,3.1963470319634704,70
4,entropy_bedroc,30.264325680108044,11,22.010418676442214,16,10.95890410958904,40,6.164383561643835,45,3.1506849315068495,46,2.557077625570776,56
5,unconstrained_bedroc,35.7669303492186,13,31.639976847385682,23,13.698630136986301,50,7.260273972602739,53,4.109589041095891,60,3.105022831050228,68
5,fair_bedroc,35.7669303492186,13,31.639976847385682,23,13.698630136986301,50,7.397260273972603,54,4.315068493150685,63,3.1506849315068495,69
5,entropy_bedroc,30.264325680108044,11,31.639976847385682,23,13.698630136986301,50,7.397260273972603,54,4.178082191780822,61,3.1506849315068495,69
