fold,method,column,modality,weight,weight_pct
1,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
1,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
1,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
1,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
1,fair_bedroc,vina_score,Vina,0.22278642353061354,22.278642353061354
1,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
1,fair_bedroc,boltz_confidence,Boltz_confidence,0.09792741925478278,9.792741925478278
1,fair_bedroc,tankbind_affinity,TankBind,0.031027721460335073,3.1027721460335074
1,fair_bedroc,drugban_affinity,DrugBAN,0.23437861027544207,23.43786102754421
1,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
1,fair_bedroc,unimol_similarity,UniMol_sim,0.23387982547951527,23.387982547951527
2,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03108559795390634,3.108559795390634
2,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03150665139408956,3.1506651394089564
2,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
2,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
2,fair_bedroc,vina_score,Vina,0.2281068281247819,22.810682812478188
2,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
2,fair_bedroc,boltz_confidence,Boltz_confidence,0.13624775829910576,13.624775829910577
2,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
2,fair_bedroc,drugban_affinity,DrugBAN,0.20040634000037305,20.040634000037304
2,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
2,fair_bedroc,unimol_similarity,UniMol_sim,0.22264682422842047,22.264682422842046
3,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
3,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
3,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
3,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
3,fair_bedroc,vina_score,Vina,0.2206856165480107,22.06856165480107
3,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
3,fair_bedroc,boltz_confidence,Boltz_confidence,0.11737320521526169,11.737320521526168
3,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
3,fair_bedroc,drugban_affinity,DrugBAN,0.22341086563806278,22.34108656380628
3,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
3,fair_bedroc,unimol_similarity,UniMol_sim,0.22853031259786805,22.853031259786803
4,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
4,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03858401306479381,3.858401306479381
4,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
4,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
4,fair_bedroc,vina_score,Vina,0.19357479727553198,19.357479727553198
4,fair_bedroc,boltz_affinity,Boltz_affinity,0.06405470979049425,6.405470979049426
4,fair_bedroc,boltz_confidence,Boltz_confidence,0.11239200397236329,11.23920039723633
4,fair_bedroc,tankbind_affinity,TankBind,0.031098835362674822,3.1098835362674824
4,fair_bedroc,drugban_affinity,DrugBAN,0.20306507845381863,20.306507845381862
4,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
4,fair_bedroc,unimol_similarity,UniMol_sim,0.23723056208044666,23.723056208044664
5,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
5,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
5,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
5,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
5,fair_bedroc,vina_score,Vina,0.23086418383428584,23.086418383428583
5,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
5,fair_bedroc,boltz_confidence,Boltz_confidence,0.09757091869608037,9.757091869608036
5,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
5,fair_bedroc,drugban_affinity,DrugBAN,0.22276870279718797,22.276870279718796
5,fair_bedroc,moltrans_affinity,MolTrans,0.0328355452060747,3.28355452060747
5,fair_bedroc,unimol_similarity,UniMol_sim,0.23596064946694414,23.596064946694415
