fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,train_ef_30,train_hits_30,test_ef_30,test_hits_30,full_ef_30,full_hits_30,test_auroc,test_auprc,test_bedroc
1,Equal Weights,19.936258561643836,29,13.563344594594595,5,18.647745901639343,34,13.749143835616438,40,13.563344594594595,10,13.711577868852459,50,7.131725480818502,104,6.223579564602009,23,6.948111279179101,127,5.139866854436051,150,4.732381914624905,35,5.057479189009754,185,3.2199801197083655,188,2.9061292684774465,43,3.156523936672606,231,2.5231976646636767,221,2.4778375011922864,55,2.514026484071101,276,0.8032902467685076,0.059628686558438684,0.2925053433718792
1,Random (mean of 100),13.446662671232875,19,13.210697635135134,4,13.398953893442622,24,11.556155393835615,33,10.701478885135137,7,11.383351946721312,41,6.21008711098965,90,5.714869582799757,21,6.109961162667101,111,4.610117910638843,134,4.42274892649659,32,4.572234564118278,167,2.8563621519349156,166,2.7621744930854244,40,2.837318745500865,207,2.220413944904035,194,2.1719371987723655,48,2.2106126355768674,242,,,
1,Best Individual (Boltz_confidence),21.31117294520548,31,21.701351351351352,8,19.744672131147542,36,22.34235873287671,65,16.276013513513515,12,20.567366803278688,75,13.029113859187648,190,12.447159129204017,46,12.856741343362904,235,6.7846242478555885,198,10.005607476635515,74,6.670404984423676,244,3.631041411586029,212,5.001245717844908,74,3.5937913218393738,263,2.557449216672686,224,3.333817728876894,74,2.559570442115867,281,0.9606911885297872,0.0642655021329126,0.5276681873903465
2,Equal Weights,21.2384385665529,31,8.249486301369863,3,18.647745901639343,34,14.72988481228669,43,9.624400684931507,7,13.711577868852459,50,7.107385120815708,104,6.308834079185598,23,6.948111279179101,127,5.1564734777200085,151,4.66014594802202,34,5.057479189009754,185,3.2260595244801626,189,2.877429043143646,42,3.156523936672606,231,2.560098938557342,225,2.3291055366126248,51,2.514026484071101,276,0.781148402112122,0.02098181629323743,0.2623586671160334
2,Random (mean of 100),15.017631399317404,21,6.902070205479451,2,13.398953893442622,24,12.33199658703072,36,7.575778253424658,5,11.383351946721312,41,6.287302222260049,91,5.39816759471185,19,6.109961162667101,111,4.674633472616502,136,4.161236205351426,30,4.572234564118278,167,2.8870672379395486,169,2.637643289548342,38,2.837318745500865,207,2.24685661065297,197,2.0651402424631944,45,2.2106126355768674,242,,,
2,Best Individual (UniMol_sim),19.18310580204778,28,21.9986301369863,8,19.744672131147542,36,20.553327645051194,60,20.62371575342466,15,20.567366803278688,75,13.121326376890538,192,11.79477675673829,43,12.856741343362904,235,6.829766195655641,200,6.030777109204967,44,6.670404984423676,244,3.6015796807688587,211,3.5625311962730852,52,3.5937913218393738,263,2.560098938557342,225,2.557449216672686,56,2.559570442115867,281,0.763884152057708,0.06302577522749922,0.46737561736657096
3,Equal Weights,17.127773037542664,25,24.74845890410959,9,18.647745901639343,34,13.017107508532423,38,16.498972602739727,12,13.711577868852459,50,6.492322946898964,95,8.777508284084309,32,6.948111279179101,127,4.883282829893783,143,5.7566508769683775,42,5.057479189009754,185,3.055368544348937,179,3.5625311962730852,52,3.156523936672606,231,2.446316763510349,215,2.7857928967327474,61,2.514026484071101,276,0.8564068902755664,0.05215705778232082,0.36886200328195157
3,Random (mean of 100),12.284038822525597,17,17.873886986301372,6,13.398953893442622,24,10.759667022184301,31,13.886635273972601,10,11.383351946721312,41,5.853341688441012,85,7.139954394834831,26,6.109961162667101,111,4.42500551816529,129,5.163167584176162,37,4.572234564118278,167,2.759390384801392,161,3.150099700089163,45,2.837318745500865,207,2.1594719002168796,189,2.415876135035448,52,2.2106126355768674,242,,,
3,Best Individual (UniMol_sim),18.497994880546074,27,24.74845890410959,9,19.744672131147542,36,19.525661262798636,57,24.74845890410959,18,20.567366803278688,75,12.506264202973794,183,14.263450961637004,52,12.856741343362904,235,6.45412905489458,189,7.53847138650621,55,6.670404984423676,244,3.5333032887163687,207,3.836572057524861,56,3.5937913218393738,263,2.560098938557342,225,2.557449216672686,56,2.559570442115867,281,0.794641372845075,0.08329839460988397,0.5684490855902335
4,Equal Weights,19.18310580204778,28,16.498972602739727,6,18.647745901639343,34,14.72988481228669,43,9.624400684931507,7,13.711577868852459,50,7.380746087000928,108,5.211645543675059,19,6.948111279179101,127,5.190622308698287,152,4.523082831903726,33,5.057479189009754,185,3.174852230440795,186,3.0829596890824775,45,3.156523936672606,231,2.548720721052643,224,2.374774272624637,52,2.514026484071101,276,0.7919078165997988,0.02319340478862443,0.2543307258329309
