fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,18.988682432432434,7,18.988682432432434,14,12.717749545056279,47,8.923920181864107,66,4.866076914659911,72,3.333817728876894,74
1,fair_bedroc,18.988682432432434,7,17.632347972972973,13,12.717749545056279,47,9.194342005556958,68,4.933661316252409,73,3.333817728876894,74
1,entropy_bedroc,16.276013513513515,6,17.632347972972973,13,12.717749545056279,47,8.383076534478404,62,4.663323709882414,69,3.333817728876894,74
2,unconstrained_bedroc,10.99931506849315,4,15.124058219178082,11,13.166262426126465,48,7.812597618742799,57,4.453163995341357,65,3.1968115208408574,70
2,fair_bedroc,10.99931506849315,4,15.124058219178082,11,13.166262426126465,48,8.772039431570862,64,4.727204856593132,69,3.288148992864882,72
2,entropy_bedroc,10.99931506849315,4,13.749143835616438,10,13.440559560004099,49,7.812597618742799,57,4.453163995341357,65,3.1968115208408574,70
3,unconstrained_bedroc,32.99794520547945,12,24.74845890410959,18,14.812045229392274,54,9.86854436051722,72,5.001245717844908,73,3.333817728876894,73
3,fair_bedroc,32.99794520547945,12,24.74845890410959,18,14.537748095514639,53,8.909102547689157,65,4.932735502531965,72,3.333817728876894,73
3,entropy_bedroc,32.99794520547945,12,24.74845890410959,18,14.812045229392274,54,8.909102547689157,65,4.932735502531965,72,3.333817728876894,73
4,unconstrained_bedroc,38.49760273972603,14,26.12337328767123,19,12.617668158371195,46,8.086723850979388,59,4.932735502531965,72,3.333817728876894,73
4,fair_bedroc,38.49760273972603,14,27.498287671232877,20,12.34337102449356,45,7.127282038151325,52,4.384653780028413,64,3.333817728876894,73
4,entropy_bedroc,38.49760273972603,14,27.498287671232877,20,12.617668158371195,46,8.086723850979388,59,4.932735502531965,72,3.333817728876894,73
5,unconstrained_bedroc,38.49760273972603,14,32.99794520547945,24,14.263450961637004,52,9.59441812828063,70,5.001245717844908,73,3.333817728876894,73
5,fair_bedroc,38.49760273972603,14,32.99794520547945,24,13.989153827759369,51,9.046165663807452,66,5.001245717844908,73,3.333817728876894,73
5,entropy_bedroc,38.49760273972603,14,34.3728595890411,25,14.263450961637004,52,8.772039431570862,64,4.932735502531965,72,3.333817728876894,73
