fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,29.56065924657534,43,18.988682432432434,7,27.423155737704917,50,80
1,fair_bedroc,1.0,25.435916095890413,74,17.632347972972973,13,23.858145491803278,87,160
1,fair_bedroc,5.0,13.646282410412326,199,12.717749545056279,47,13.458546257307551,246,802
1,fair_bedroc,10.0,8.84057098963001,258,9.194342005556958,68,8.912098462795567,326,1605
1,fair_bedroc,20.0,4.9156079487037285,287,4.933661316252409,73,4.919258083126139,360,3211
1,fair_bedroc,30.0,3.3224005448738914,291,3.333817728876894,74,3.3247089372679413,365,4817
2,fair_bedroc,0.5,31.5151023890785,46,10.99931506849315,4,27.423155737704917,50,80
2,fair_bedroc,1.0,26.034215017064845,76,15.124058219178082,11,23.858145491803278,87,160
2,fair_bedroc,5.0,13.531367826168367,198,13.166262426126465,48,13.458546257307551,246,802
2,fair_bedroc,10.0,8.878696054352334,260,8.772039431570862,64,8.85742301210357,324,1605
2,fair_bedroc,20.0,4.95003842380554,290,4.727204856593132,69,4.905593477339678,359,3211
2,fair_bedroc,30.0,3.333817728876894,293,3.288148992864882,72,3.3247089372679413,365,4817
3,fair_bedroc,0.5,26.719325938566552,39,32.99794520547945,12,27.971618852459017,51,80
3,fair_bedroc,1.0,23.636326791808873,69,24.74845890410959,18,23.858145491803278,87,160
3,fair_bedroc,5.0,12.984645893797929,190,14.537748095514639,53,13.294417644413556,243,802
3,fair_bedroc,10.0,8.503058913591273,249,8.909102547689157,65,8.584045758643583,314,1605
3,fair_bedroc,20.0,4.796416541687438,281,4.932735502531965,72,4.823605842620909,353,3211
3,fair_bedroc,30.0,3.3110612938674957,291,3.333817728876894,73,3.315600145658988,364,4817
4,fair_bedroc,0.5,26.034215017064845,38,38.49760273972603,14,28.520081967213116,52,80
4,fair_bedroc,1.0,22.608660409556315,66,27.498287671232877,20,23.583913934426228,86,160
4,fair_bedroc,5.0,13.599708067714673,199,12.34337102449356,45,13.349127182044887,244,802
4,fair_bedroc,10.0,8.093272941851934,237,7.127282038151325,52,7.900602624993616,289,1605
4,fair_bedroc,20.0,4.625725561556212,271,4.384653780028413,64,4.577642938464602,335,3211
4,fair_bedroc,30.0,3.2655484238486987,287,3.333817728876894,73,3.2791649792231747,360,4817
5,fair_bedroc,0.5,25.34910409556314,37,38.49760273972603,14,27.971618852459017,51,80
5,fair_bedroc,1.0,21.2384385665529,62,32.99794520547945,24,23.583913934426228,86,160
5,fair_bedroc,5.0,13.326347101529453,195,13.989153827759369,51,13.458546257307551,246,802
5,fair_bedroc,10.0,8.844547223374056,259,9.046165663807452,66,8.884760737449568,325,1605
5,fair_bedroc,20.0,4.898831129766172,287,5.001245717844908,73,4.919258083126139,360,3211
5,fair_bedroc,30.0,3.322439511372195,292,3.333817728876894,73,3.3247089372679413,365,4817
