fold,method,column,modality,weight,weight_pct
1,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
1,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
1,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
1,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
1,fair_bedroc,vina_score,Vina,0.17751741818404898,17.7517418184049
1,fair_bedroc,boltz_affinity,Boltz_affinity,0.03397047486366154,3.3970474863661537
1,fair_bedroc,boltz_confidence,Boltz_confidence,0.18403316684920848,18.40331668492085
1,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
1,fair_bedroc,drugban_affinity,DrugBAN,0.19232458216280096,19.232458216280097
1,fair_bedroc,moltrans_affinity,MolTrans,0.030960696742911485,3.0960696742911487
1,fair_bedroc,unimol_similarity,UniMol_sim,0.23119366119684945,23.119366119684944
2,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
2,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
2,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
2,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
2,fair_bedroc,vina_score,Vina,0.18612642825371983,18.612642825371985
2,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
2,fair_bedroc,boltz_confidence,Boltz_confidence,0.1810809872000008,18.10809872000008
2,fair_bedroc,tankbind_affinity,TankBind,0.0311966607139735,3.11966607139735
2,fair_bedroc,drugban_affinity,DrugBAN,0.19019226305886777,19.01922630588678
2,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
2,fair_bedroc,unimol_similarity,UniMol_sim,0.23140366077368604,23.140366077368604
3,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
3,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
3,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
3,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
3,fair_bedroc,vina_score,Vina,0.18362368085768097,18.362368085768097
3,fair_bedroc,boltz_affinity,Boltz_affinity,0.032720796572225035,3.2720796572225033
3,fair_bedroc,boltz_confidence,Boltz_confidence,0.1651802444482153,16.51802444482153
3,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
3,fair_bedroc,drugban_affinity,DrugBAN,0.21199090514040053,21.19909051404005
3,fair_bedroc,moltrans_affinity,MolTrans,0.030224718159280718,3.0224718159280717
3,fair_bedroc,unimol_similarity,UniMol_sim,0.22625965482220006,22.625965482220007
4,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
4,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
4,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
4,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
4,fair_bedroc,vina_score,Vina,0.20326591234959274,20.326591234959274
4,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
4,fair_bedroc,boltz_confidence,Boltz_confidence,0.1389324333671081,13.893243336710809
4,fair_bedroc,tankbind_affinity,TankBind,0.030937836558422985,3.0937836558422984
4,fair_bedroc,drugban_affinity,DrugBAN,0.21432197307606732,21.43219730760673
4,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
4,fair_bedroc,unimol_similarity,UniMol_sim,0.23254184464868033,23.254184464868032
5,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
5,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
5,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
5,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
5,fair_bedroc,vina_score,Vina,0.16151118524099925,16.151118524099925
5,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
5,fair_bedroc,boltz_confidence,Boltz_confidence,0.18582222129274398,18.5822221292744
5,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
5,fair_bedroc,drugban_affinity,DrugBAN,0.20877910523165533,20.877910523165532
5,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
5,fair_bedroc,unimol_similarity,UniMol_sim,0.2338874882352363,23.38874882352363
