column,modality,weight,weight_std,weight_pct
unimol_similarity,UniMol_sim,0.23105726193533044,0.002888329866340255,23.105726193533044
drugban_affinity,DrugBAN,0.2035217657339584,0.011391476868735954,20.352176573395838
vina_score,Vina,0.18240892497720834,0.0150909886149125,18.240892497720836
boltz_confidence,Boltz_confidence,0.17100981063145532,0.019706508368379238,17.100981063145532
boltz_affinity,Boltz_affinity,0.03133825428717731,0.0018849921713801128,3.1338254287177314
tankbind_affinity,TankBind,0.030426899454479295,0.000591675281194979,3.04268994544793
moltrans_affinity,MolTrans,0.03023708298043844,0.0004160513144082656,3.023708298043844
mltle_pKd,MLTLE_pKd,0.03,0.0,3.0
graphdta_ki,GraphDTA_Ki,0.03,0.0,3.0
graphdta_kd,GraphDTA_Kd,0.03,0.0,3.0
graphdta_ic50,GraphDTA_IC50,0.03,0.0,3.0
