method,kind,ef_0.5,ef_0.5_std,hits_0.5,hits_0.5_std,ef_1,ef_1_std,hits_1,hits_1_std,ef_5,ef_5_std,hits_5,hits_5_std,ef_10,ef_10_std,hits_10,hits_10_std,ef_20,ef_20_std,hits_20,hits_20_std,ef_30,ef_30_std,hits_30,hits_30_std,auroc,auroc_std,auprc,auprc_std,bedroc,bedroc_std
UniMol_sim,individual,19.761607275083303,4.0973278365489145,7.2,1.469693845669907,20.586555905220287,3.8579010079696845,15.0,2.756809750418044,12.858604830020468,1.0461353858872382,47.0,3.7416573867739413,6.671639787271587,0.5703875009278024,48.8,4.069397989875161,3.594194025512311,0.15558122589427825,52.6,2.154065922853802,2.5595475099489136,0.057919123413498176,56.2,1.32664991614216,0.7787430673276043,0.021689006319365663,0.07047492269612884,0.014085837950632032,0.510586939856313,0.043519220168532595
GraphDTA_IC50,individual,23.031673917067753,8.614111288050333,8.4,3.1368774282716245,16.736795631247684,5.048359243390242,12.2,3.655133376499413,6.9486136103650535,0.6669604362105189,25.4,2.416609194718914,4.1559759452193195,0.49955758804389716,30.4,3.6110940170535577,2.4730336100531876,0.2827444196662312,36.2,4.166533331199932,1.8668638707613117,0.228736979834015,41.0,5.0990195135927845,0.649103757021847,0.043358123807303535,0.04333271556476168,0.015272494101089842,0.3054685910467148,0.042387509899057936
Boltz_confidence,individual,12.589756571640134,6.562155643573733,4.6,2.4166091947189146,15.07946640133284,1.705859653308359,11.0,1.2649110640673518,12.254409791884598,0.7913578214169905,44.8,2.925747767665559,10.005607476635515,0.0,73.2,0.4,5.001245717844908,0.0,73.2,0.4,3.3338177288768938,4.440892098500626e-16,73.2,0.4,0.9599121803167009,0.0025546150708321363,0.0602000313145634,0.007067215252784897,0.5166663106966597,0.024143136421724182
MLTLE_pKd,individual,6.569861162532395,3.26045852952979,2.4,1.2000000000000002,5.209810718252498,1.02534250081998,3.8,0.7483314773547882,2.3522832589019864,0.6147504400780267,8.6,2.244994432064365,2.3522994252734364,0.4248489889610953,17.2,3.059411708155671,1.886252874035027,0.1761340590371384,27.6,2.4979991993593593,1.6675260095196904,0.20558843224391848,36.6,4.409081537009721,0.6492355737537822,0.03728488047016847,0.010637002615341548,0.0015053160234557378,0.12768658866552146,0.017839298113709323
DrugBAN,individual,4.39972602739726,2.8042861085200865,1.6,1.019803902718557,4.121027165864494,2.305120962560696,3.0,1.6733200530681511,1.8066543655670153,0.28558187654532796,6.6,1.0198039027185568,1.8329413474414114,0.562237941495031,13.4,4.079215610874228,1.639801261652518,0.3440333750861937,24.0,5.019960159204453,1.4762110343342338,0.220579773579284,32.4,4.758150901348127,0.5836820055729678,0.033335980712623704,0.009366526629792699,0.003799851810600468,0.10112862787604582,0.023144099569471492
Vina,individual,2.184999074416883,2.676169608700349,0.8,0.9797958971132713,2.4636979359496483,1.5920555747201544,1.8,1.1661903789690602,1.911183813882546,0.8355886322700237,7.0,3.0983866769659336,1.8033060790915099,0.2850556214755355,13.2,2.1354156504062622,1.762749323727639,0.20034574684389095,25.8,2.9257477676655586,1.6669088644384469,0.14868663207803706,36.6,3.2619012860600183,0.7085386971019854,0.01479776484556958,0.008688933303133145,0.0011370988877201379,0.09701909824126917,0.02407757892261148
GraphDTA_Kd,individual,2.184999074416883,2.676169608700349,0.8,0.9797958971132713,1.0924995372084414,1.3380848043501745,0.8,0.9797958971132713,0.6560890904910991,0.27845323714758086,2.4,1.019803902718557,0.7653308051362078,0.22219782326556967,5.6,1.624807680927192,0.8739681521002579,0.19726568237124037,12.8,2.9257477676655586,0.9288033472713302,0.06974340152874697,20.4,1.624807680927192,0.5181901918210323,0.03177609818332182,0.008962799724965194,0.005679588887431386,0.03998862910420356,0.012109198469501033
Boltz_affinity,individual,0.0,0.0,0.0,0.0,0.8212326453165495,0.6705679684414529,0.6,0.48989794855663565,4.431752071136486,0.2722013434634165,16.2,0.9797958971132713,4.429361295747162,0.2637414012481602,32.4,1.8547236990991407,3.6347446664678102,0.11487852398560128,53.2,1.7204650534085253,2.8330662099559927,0.11059377610622438,62.2,2.3151673805580453,0.8245166031760522,0.015636297662713006,0.01670373088280063,0.00139159517883622,0.20214703744068369,0.019914270416447902
TankBind,individual,1.099931506849315,1.347135471895721,0.4,0.48989794855663565,0.5499657534246575,0.6735677359478605,0.4,0.48989794855663565,0.3832746438236138,0.13498969345498918,1.4,0.4898979485566356,0.19151792171123883,0.06745279386348993,1.4,0.4898979485566356,0.24626644963842015,0.11168245594686885,3.6,1.624807680927192,0.236983711197469,0.06752819414614732,5.2,1.469693845669907,0.33173253203228464,0.01509486488696389,0.004210287332301639,0.0018009211582240769,0.017637493742923498,0.006459550815348156
MolTrans,individual,0.0,0.0,0.0,0.0,0.27498287671232874,0.5499657534246575,0.2,0.4000000000000001,0.3832746438236138,0.13498969345498918,1.4,0.4898979485566356,0.27338535052784185,0.0866989892838912,2.0,0.6324555320336759,0.5736341811878387,0.10060592399461533,8.4,1.4966629547095764,0.5829552437425239,0.120403471176979,12.8,2.6381811916545836,0.28694655657557927,0.03782961195803252,0.0030847702295508867,0.00022928452546114764,0.01989611928522626,0.00481250259484128
