fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,train_ef_30,train_hits_30,test_ef_30,test_hits_30,full_ef_30,full_hits_30,test_auroc,test_auprc,test_bedroc
1,Equal Weights,14.60958904109589,21,16.47104247104247,6,14.985948477751757,27,12.0669172020851,35,9.52308060272662,7,11.552589583635573,42,8.98524020837353,131,8.390178911305672,31,8.864927268529208,162,5.927784002602379,173,5.40825786208372,40,5.822743198235218,213,3.6475809122384466,213,3.648969408969409,54,3.647861646550171,267,2.8088776116526684,246,2.7934476093913374,62,2.805757884419503,308,0.8510775418844786,0.07678848595867234,0.35014390638279713
1,Random (mean of 100),12.04247553816047,17,12.572895752895752,4,12.149718969555035,21,10.98434234452661,31,10.176091844056446,7,10.820925576671987,39,7.599043989967199,110,7.315694708793301,27,7.54175479104133,137,5.271958651100587,153,5.097283035013905,37,5.236641723257926,191,3.1930889056149327,186,3.103651202851202,45,3.175005872815709,232,2.485628322279144,217,2.457332784132315,54,2.4799073664789653,272,,,
1,Best Individual (Boltz_confidence),18.0880626223092,26,21.961389961389962,8,19.42622950819672,35,16.548915020002426,48,16.325281033245634,12,15.95357609168722,58,7.682037430059811,112,12.449942900647127,46,7.551604710228585,138,4.454404163805255,130,10.005277044854882,74,4.455902071888922,163,2.637218124341412,154,5.000439560439561,74,2.7051558277787784,198,2.0438580995358846,179,3.3341148886283705,74,2.0769896027520995,228,0.9629221328920496,0.08861070949065976,0.5387197866323744
2,Equal Weights,17.33300828863969,25,5.5655577299412915,2,14.985948477751757,27,12.369325561025702,36,8.274457510001213,6,11.552589583635573,42,9.091284910830169,133,7.9563959097048045,29,8.864927268529208,162,5.97584806433312,175,5.20822640691076,38,5.822743198235218,213,3.7033972171173537,217,3.424958603040795,50,3.647861646550171,267,2.856187157152631,251,2.6033499815317414,57,2.805757884419503,308,0.832425383490139,0.03627426946147846,0.3197084713916742
2,Random (mean of 100),13.824807411019014,19,5.426418786692758,1,12.149718969555035,21,11.754295206741368,34,7.074661171051037,5,10.820925576671987,39,7.754250829207324,113,6.688859733744936,24,7.54175479104133,137,5.3359201059011045,156,4.838168214840785,35,5.236641723257926,191,3.227758136743802,189,2.963274183350896,43,3.175005872815709,232,2.5173136370729288,221,2.329769869437441,51,2.4799073664789653,272,,,
2,Best Individual (UniMol_sim),22.1862506094588,32,13.91389432485323,5,19.42622950819672,35,17.17961883475792,50,16.548915020002426,12,15.95357609168722,58,7.587463346632697,111,10.699980706154737,39,7.551604710228585,138,4.507496825668411,132,6.030577944844038,44,4.455902071888922,163,2.679416419757717,157,3.424958603040795,50,2.7051558277787784,198,2.105157864833613,185,2.557677174838202,56,2.0769896027520995,228,0.763179614092028,0.06597936721250897,0.43191073037120653
3,Equal Weights,13.173086299366163,19,22.262230919765166,8,14.985948477751757,27,10.994956054245069,32,13.790762516668687,10,11.552589583635573,42,8.339374128731434,122,10.97433918579973,40,8.864927268529208,162,5.531927922411231,162,6.989988072432863,51,5.822743198235218,213,3.566866444136069,209,3.972951979527322,58,3.647861646550171,267,2.731015608432795,240,3.105750855160674,68,2.805757884419503,308,0.8933402333481596,0.07550122913784103,0.4318337997369545
3,Random (mean of 100),10.885129205265725,15,17.225401174168297,6,12.149718969555035,21,10.12566734120632,29,13.611482603951996,9,10.820925576671987,39,7.257306157765706,106,8.683445880764037,31,7.54175479104133,137,5.077763469521914,148,5.874331152636715,42,5.236641723257926,191,3.0990778832089414,181,3.4797579406894474,50,3.175005872815709,232,2.432993530162566,213,2.668205367036567,58,2.4799073664789653,272,,,
3,Best Individual (GraphDTA_IC50),18.719648951730864,27,22.262230919765166,8,19.42622950819672,35,15.461656951282128,45,17.927991271669292,13,15.95357609168722,58,7.314041244051339,107,8.505112868994791,31,7.551604710228585,138,4.268462903095086,125,5.20822640691076,38,4.455902071888922,163,2.679416419757717,157,2.8084660544934517,41,2.7051558277787784,198,2.0255032429209896,178,2.2836403346769663,50,2.0769896027520995,228,0.7426801467424698,0.059820181765252355,0.36812979523300365
4,Equal Weights,15.946367625548513,23,11.131115459882583,4,14.985948477751757,27,12.369325561025702,36,8.274457510001213,6,11.552589583635573,42,9.227995962120849,135,7.407678950414818,27,8.864927268529208,162,5.941700361108359,174,5.345284996566306,39,5.822743198235218,213,3.686330870494693,216,3.4934577751016107,51,3.647861646550171,267,2.8220494620472216,248,2.740368401612359,60,2.805757884419503,308,0.8463894298882948,0.03817842489347025,0.3151264447599895
4,Random (mean of 100),13.006689419795222,18,8.71009784735812,3,12.149718969555035,21,11.345420278474132,33,8.715761910534608,6,10.820925576671987,39,7.787061481517089,113,6.557167663515339,23,7.54175479104133,137,5.356067250803715,156,4.757303646944012,34,5.236641723257926,191,3.2240035404868177,188,2.9783440012042752,43,3.175005872815709,232,2.504568897566909,220,2.3809234129342047,52,2.4799073664789653,272,,,
4,Best Individual (Boltz_confidence),20.799609946367625,30,13.91389432485323,5,19.42622950819672,35,16.83602645806276,49,16.548915020002426,12,15.95357609168722,58,7.792529923568716,114,13.443565502604669,49,7.551604710228585,138,4.678235341792214,137,10.005277044854882,73,4.455902071888922,163,2.850079885984323,167,5.000439560439561,73,2.7051558277787784,198,2.150674791640826,189,3.3341148886283705,73,2.0769896027520995,228,0.9653365150966102,0.0996882694441594,0.5608363144646477
5,Equal Weights,13.86640663091175,20,19.47945205479452,7,14.985948477751757,27,9.964178924159594,29,17.927991271669292,13,11.552589583635573,42,8.681151756958132,127,9.602546787574763,35,8.864927268529208,162,5.736814141759796,168,6.167636534499584,45,5.822743198235218,213,3.6351318306267113,213,3.6989552912840584,54,3.647861646550171,267,2.8106702303454183,247,2.7860412083058987,61,2.805757884419503,308,0.8765462921105924,0.08302111683648788,0.4237046971486297
5,Random (mean of 100),10.989127254997562,15,16.8079843444227,6,12.149718969555035,21,9.895460448820563,28,14.535463692568797,10,10.820925576671987,39,7.311307023025526,106,8.466702681844492,30,7.54175479104133,137,5.141619674552216,150,5.618031589980843,40,5.236641723257926,191,3.1311626148595435,183,3.3509794972151132,48,3.175005872815709,232,2.459051970759696,216,2.5636146397083617,56,2.4799073664789653,272,,,
5,Best Individual (GraphDTA_IC50),12.479765967820576,18,27.82778864970646,10,19.42622950819672,35,14.430879821196653,42,24.82337253000364,18,15.95357609168722,58,12.44070566745181,182,8.230754389349798,30,7.551604710228585,138,10.005277044854882,293,4.797050637944121,35,4.455902071888922,163,5.000439560439561,293,2.8084660544934517,41,2.7051558277787784,198,3.3341148886283705,293,2.146621914596348,47,2.0769896027520995,228,0.7130044272401921,0.08756425481430855,0.3875185183499839
