fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,22.262230919765166,32,16.47104247104247,6,21.091334894613585,38,56
1,fair_bedroc,1.0,21.720450963753184,63,13.604400861038028,10,20.07950094298564,73,113
1,fair_bedroc,5.0,13.306386262782173,194,12.72059383326989,47,13.18794735626876,241,568
1,fair_bedroc,10.0,9.559836628474356,279,9.870070598302789,73,9.622561529477919,352,1137
1,fair_bedroc,20.0,4.966189974409152,290,5.000439560439561,74,4.9731147540983605,364,2275
1,fair_bedroc,30.0,3.3341148886283705,292,3.3341148886283705,74,3.3341148886283705,366,3412
2,fair_bedroc,0.5,24.959531935641152,36,8.348336594911938,3,21.646370023419205,39,56
2,fair_bedroc,1.0,22.677096861880454,66,12.41168626500182,9,20.629624256492093,75,113
2,fair_bedroc,5.0,13.124260923905206,192,13.169207022959675,48,13.133225583006235,240,568
2,fair_bedroc,10.0,9.663800012607274,283,9.045866917266057,66,9.54055106189714,349,1137
2,fair_bedroc,20.0,5.000439560439561,293,4.863441216317929,71,4.9731147540983605,364,2275
2,fair_bedroc,30.0,3.3341148886283705,293,3.2884420819348312,72,3.325005285107528,365,3412
3,fair_bedroc,0.5,20.10628961482204,29,25.04500978473581,9,21.091334894613585,38,56
3,fair_bedroc,1.0,19.928357848319187,58,23.44429627833677,17,20.629624256492093,75,113
3,fair_bedroc,5.0,12.919194346969187,189,14.540999421184642,53,13.242669129531286,242,568
3,fair_bedroc,10.0,9.595504606157753,281,9.868218455199335,72,9.649898352004845,353,1137
3,fair_bedroc,20.0,4.9833732138169,292,5.000439560439561,73,4.9867771572689605,365,2275
3,fair_bedroc,30.0,3.3341148886283705,293,3.3341148886283705,73,3.3341148886283705,366,3412
4,fair_bedroc,0.5,25.652852267186738,37,8.348336594911938,3,22.201405152224826,40,56
4,fair_bedroc,1.0,20.959134978404663,61,16.548915020002426,12,20.07950094298564,73,113
4,fair_bedroc,5.0,11.757150410998413,172,9.602546787574763,35,11.327407065342877,207,568
4,fair_bedroc,10.0,7.649085522346394,224,7.538222431055048,55,7.626973485012328,279,1137
4,fair_bedroc,20.0,4.386051082023778,257,4.315447839831402,63,4.371969014591966,320,2275
4,fair_bedroc,30.0,3.208943339908534,282,3.105750855160674,68,3.18836123229489,350,3412
5,fair_bedroc,0.5,20.799609946367625,30,25.04500978473581,9,21.646370023419205,39,56
5,fair_bedroc,1.0,18.553988341538556,54,28.960601285004245,21,20.629624256492093,75,113
5,fair_bedroc,5.0,13.192616449550545,193,13.717923982249662,50,13.297390902793811,243,568
5,fair_bedroc,10.0,9.219879870685386,270,9.457042686232697,69,9.267182836627882,339,1137
5,fair_bedroc,20.0,4.949240520571578,290,5.000439560439561,73,4.95945235092776,363,2275
5,fair_bedroc,30.0,3.322735656926567,292,3.3341148886283705,73,3.325005285107528,365,3412
