method,kind,ef_0.5,ef_0.5_std,hits_0.5,hits_0.5_std,ef_1,ef_1_std,hits_1,hits_1_std,ef_5,ef_5_std,hits_5,hits_5_std,ef_10,ef_10_std,hits_10,hits_10_std,ef_20,ef_20_std,hits_20,hits_20_std,ef_30,ef_30_std,hits_30,hits_30_std,auroc,auroc_std,auprc,auprc_std,bedroc,bedroc_std
GraphDTA_IC50,individual,19.411762839160097,7.205768986170937,7.0,2.6076809620810595,15.960012188209543,4.997017350307861,11.6,3.6110940170535577,7.553014793686219,0.7198769442799523,27.6,2.576819745345025,4.455885878288019,0.5516581416826782,32.6,4.029888335921977,2.704421366119996,0.29740065806494503,39.6,4.454211490264018,2.0766314243389514,0.18160103456337642,45.6,4.079215610874228,0.6859530827372394,0.04231287345779819,0.05702010079263151,0.01760847315202405,0.3313732460439278,0.04237456793143836
UniMol_sim,individual,15.004442798963348,5.190596420996583,5.4,1.8547236990991407,14.04048713521377,2.717344662429343,10.2,1.9390719429665315,12.532250444540622,1.202609387197139,45.8,4.354308211415448,6.616596022776672,0.5634188877770985,48.4,4.029888335921977,3.5390004678771803,0.192768068180792,51.8,2.7129319932501073,2.559775655145743,0.05792428603296902,56.2,1.32664991614216,0.7781976874760941,0.02156998772373022,0.0734880307111335,0.014084850582299673,0.4703392568696067,0.04117760992829455
Boltz_confidence,individual,11.627503041201672,7.255289775588303,4.2,2.6381811916545836,13.746035719317328,2.4180983178441426,10.0,1.7888543819998317,12.257150455491185,0.7915348063242837,44.8,2.925747767665559,10.005277044854882,0.0,73.2,0.4,5.000439560439561,0.0,73.2,0.4,3.3341148886283705,0.0,73.2,0.4,0.9620728276454074,0.0023486132080632873,0.08385628970181942,0.009354792724576677,0.5276796057200166,0.02311401230207766
Boltz_affinity,individual,9.980398794097423,4.82223751917462,3.6,1.7435595774162693,10.451161647767297,3.7577164959111347,7.6,2.727636339397171,9.797563760944042,0.6190586643297995,35.8,2.1354156504062622,7.46228456381346,0.3875504886100165,54.6,2.9393876913398134,4.385798340866833,0.07342100897946599,64.2,0.9797958971132712,3.060695248557588,0.07116400013833277,67.2,1.7204650534085253,0.8964213987994253,0.014207732811474399,0.061646603751368566,0.01131449621869862,0.4177919228205014,0.025581177533037316
MLTLE_pKd,individual,7.205140953086159,2.796931187941227,2.6,1.019803902718557,5.225580823883648,1.0284462142599686,3.8,0.7483314773547882,2.4625527321649257,0.6257759493332841,9.0,2.280350850198276,2.5429924810414204,0.41561695059261444,18.6,3.006659275674582,1.9270483296784664,0.2393621599262598,28.2,3.4292856398964493,1.731369693739412,0.21407303760966542,38.0,4.604345773288535,0.6669635711570427,0.036807970007019256,0.017537589468407236,0.0036457345148995985,0.1370178352294387,0.018805182634636996
DrugBAN,individual,4.452446183953033,2.8378887468997807,1.6,1.019803902718557,4.133501521887993,2.3120985675137513,3.0,1.6733200530681511,1.9709319970172756,0.40693668602383254,7.2,1.469693845669907,1.9410459724190883,0.5087968917813279,14.2,3.7094473981982814,1.8039349528664594,0.3045570648914753,26.4,4.409081537009721,1.6490352016729506,0.22385649033898633,36.2,4.874423042781576,0.6188051974435126,0.03070730748094767,0.013808771385411428,0.004593099199600326,0.11257242801943457,0.025023181511739843
Vina,individual,4.986438885069022,3.222265079308705,1.8,1.1661903789690602,2.4711555536625243,1.5968747295689159,1.8,1.1661903789690602,2.5700715958095857,0.5804195354863915,9.4,2.1540659228538015,2.2136814372474185,0.2598455782198611,16.2,1.9390719429665315,2.0631210093127903,0.11901381743940655,30.2,1.7204650534085253,1.8769054750682848,0.1491776576667962,41.2,3.1874754901018454,0.7387731777415993,0.014473254636823663,0.01549473813723783,0.003206117146703124,0.12684167138576857,0.025390987567317214
GraphDTA_Kd,individual,2.2111810440577564,2.7082370783250314,0.8,0.9797958971132713,1.0958065351082686,1.3421351892584223,0.8,0.9797958971132713,1.0937263715577434,0.2972333765157612,4.0,1.0954451150103321,1.0927644310374638,0.18866420956066124,8.0,1.4142135623730951,1.1746682343942618,0.0965251041655917,17.2,1.469693845669907,1.3388304362111554,0.186198291565258,29.4,4.127953488110059,0.5748451665981265,0.03295034616118137,0.012493261776656502,0.005964907108079368,0.059122220537743,0.013655934413079303
TankBind,individual,1.1131115459882583,1.3632776572358822,0.4,0.48989794855663565,0.5516305006667475,0.6756066265947734,0.4,0.48989794855663565,0.3833603620985446,0.13501988351280508,1.4,0.4898979485566356,0.19151159689707414,0.06745056625793604,1.4,0.4898979485566356,0.17791271446065968,0.1027185653178093,2.6,1.4966629547095767,0.17330978539926814,0.08879310870768864,3.8,1.9390719429665317,0.2472734224540627,0.015106157541004925,0.0050447568957125355,0.0017978264838819581,0.015823404643791002,0.006195859340496356
MolTrans,individual,0.0,0.0,0.0,0.0,0.27581525033337373,0.5516305006667475,0.2,0.4000000000000001,0.32848866616954603,0.11012350865470995,1.2,0.4000000000000001,0.2733763220697113,0.08669612607928567,2.0,0.6324555320336759,0.5324422130997474,0.08782873240412994,7.8,1.32664991614216,0.5830072054421249,0.12041420333706741,12.8,2.6381811916545836,0.29072165526903626,0.03744385347931301,0.004336847785639831,0.0003086392097454666,0.01805126251756111,0.0047413396500720255
GraphDTA_Ki,individual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2736169702405474,0.24539816549289295,1.0,0.8944271909999159,0.19151159689707414,0.13992006463409798,1.4,1.019803902718557,0.23252691921185073,0.1197316152489106,3.4,1.7435595774162693,0.23663451467976993,0.10103216720831038,5.2,2.2271057451320084,0.13572684598629997,0.042277187330302037,0.0035920388685202627,0.00020172330317387073,0.012419978539661355,0.009956425164473603
Equal-weight,baseline,14.981879727085206,5.9823871724452,5.4,2.1540659228538015,11.558149882213405,3.7753467831528957,8.4,2.727636339397171,8.866227948959956,1.2781299328357008,32.4,4.63033476111609,5.823878774498647,0.672131070122224,42.6,4.841487374764082,3.647858611584639,0.1906944333445297,53.4,2.8,2.8057916112004024,0.16479126834154742,61.6,3.6110940170535577,0.8599557761443328,0.021957042227160353,0.06195270525759,0.020357501450664176,0.36810346388400905,0.050247862457452254
