fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,train_ef_30,train_hits_30,test_ef_30,test_hits_30,full_ef_30,full_hits_30,test_auroc,test_auprc,test_bedroc
1,Equal Weights,22.698244260081033,33,24.427103159497527,9,23.047794966520435,42,19.603029133706347,57,16.284735439665017,12,18.9321172939275,69,13.219178082191782,193,12.432432432432432,46,13.060109289617486,239,9.315068493150685,272,9.45945945945946,70,9.344262295081966,342,4.88013698630137,285,5.0,74,4.904371584699454,359,3.3219178082191783,291,3.3333333333333335,74,3.324225865209472,365,0.9573847074199534,0.08692352085156863,0.5370493108539643
1,Random (mean of 100),21.515184256222266,31,20.328778073848497,7,21.275309782190412,38,19.348533667759984,56,16.47472401979444,12,18.767490187023782,68,11.695205479452056,170,11.002702702702702,40,11.555191256830604,211,7.715410958904108,225,7.512162162162164,55,7.67431693989071,280,4.29195205479452,250,4.256756756756757,63,4.284836065573771,313,3.024657534246576,264,3.026126126126126,67,3.0249544626593803,332,,,
1,Best Individual (Boltz_confidence),19.946941925525756,29,18.99885801294252,7,18.108981759408913,33,19.259116341886937,56,16.284735439665017,12,17.56022473639652,64,12.945205479452055,189,11.621621621621621,43,12.78688524590164,234,6.7465753424657535,197,9.594594594594595,71,6.639344262295082,243,3.5616438356164384,208,5.0,74,3.5245901639344264,258,2.545662100456621,223,3.3333333333333335,74,2.5500910746812386,280,0.9564273493851951,0.06502091448121473,0.4997826016421249
2,Equal Weights,26.048166129885114,38,11.005209338221107,4,23.047794966520435,42,21.59255876556266,63,8.25390700366583,6,18.9321172939275,69,13.10580204778157,192,12.876712328767123,47,13.060109289617486,239,9.453924914675769,277,8.904109589041095,65,9.344262295081966,342,4.948805460750854,290,4.726027397260274,69,4.904371584699454,359,3.3333333333333335,293,3.287671232876712,72,3.324225865209472,365,0.9458475876525972,0.06371612515999361,0.5105242960036748
2,Random (mean of 100),23.525606883622558,34,12.243295388770985,4,21.275309782190412,38,20.4683747536413,59,11.940652131969905,8,18.767490187023782,68,11.733788395904439,171,10.83835616438356,39,11.555191256830604,211,7.746075085324232,226,7.386301369863013,53,7.67431693989071,280,4.312798634812287,252,4.1726027397260275,60,4.284836065573771,313,3.0433447098976107,267,2.9511415525114155,64,3.0249544626593803,332,,,
2,Best Individual (UniMol_sim),25.362688073835503,37,19.259116341886937,7,18.108981759408913,33,17.47969042926501,51,19.259116341886937,14,17.56022473639652,64,7.303754266211604,107,11.506849315068493,42,12.78688524590164,234,4.266211604095563,125,6.027397260273973,44,6.639344262295082,243,2.474402730375427,145,3.4246575342465753,50,3.5245901639344264,258,1.8771331058020477,165,2.557077625570776,56,2.5500910746812386,280,0.7605023313838348,0.06342562548625183,0.4534269686490644
3,Equal Weights,21.935297793587463,32,27.513023345552767,10,23.047794966520435,42,18.850646541364227,55,19.259116341886937,14,18.9321172939275,69,12.764505119453926,187,14.246575342465754,52,13.060109289617486,239,9.249146757679181,271,9.726027397260275,71,9.344262295081966,342,4.897610921501706,287,4.931506849315069,72,4.904371584699454,359,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,0.9657017663286184,0.11429368602550591,0.6046435956646334
3,Random (mean of 100),20.009104456088064,29,26.357476365039552,9,21.275309782190412,38,18.31940104792578,53,20.565984950800694,14,18.767490187023782,68,11.241638225255972,164,12.813698630136987,46,11.555191256830604,211,7.552559726962458,221,8.163013698630136,59,7.67431693989071,280,4.244027303754266,248,4.448630136986301,64,4.284836065573771,313,3.0071672354948804,264,3.09634703196347,67,3.0249544626593803,332,,,
3,Best Individual (UniMol_sim),16.451473345190596,24,24.76172101099749,9,18.108981759408913,33,16.451473345190596,48,22.010418676442214,16,17.56022473639652,64,12.42320819112628,182,14.246575342465754,52,12.78688524590164,234,6.416382252559727,188,7.534246575342466,55,6.639344262295082,243,3.4470989761092152,202,3.835616438356164,56,3.5245901639344264,258,2.5483503981797497,224,2.557077625570776,56,2.5500910746812386,280,0.7926386398506833,0.08364908935351344,0.5518937682456874
4,Equal Weights,23.99173196173629,35,19.259116341886937,7,23.047794966520435,42,18.507907513339422,54,20.634767509164575,15,18.9321172939275,69,13.378839590443686,196,11.780821917808218,43,13.060109289617486,239,9.38566552901024,275,9.178082191780822,67,9.344262295081966,342,4.897610921501706,287,4.931506849315069,72,4.904371584699454,359,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,0.9537363455449761,0.07201678124902315,0.5238456911100341
4,Random (mean of 100),22.367148968898714,32,16.892996334169396,6,21.275309782190412,38,18.97403259145316,55,17.938491221300406,13,18.767490187023782,68,11.789761092150172,172,10.613698630136987,38,11.555191256830604,211,7.761092150170649,227,7.3260273972602725,53,7.67431693989071,280,4.321160409556315,253,4.139041095890411,60,4.284836065573771,313,3.041410693970421,267,2.958904109589041,64,3.0249544626593803,332,,,
4,Best Individual (UniMol_sim),19.19338556938903,28,13.756511672776384,5,18.108981759408913,33,17.47969042926501,51,17.8834651746093,13,17.56022473639652,64,12.969283276450511,190,12.054794520547945,44,12.78688524590164,234,6.689419795221843,196,6.438356164383562,47,6.639344262295082,243,3.5665529010238908,209,3.356164383561644,49,3.5245901639344264,258,2.5711035267349263,226,2.4657534246575343,54,2.5500910746812386,280,0.7501248007292032,0.06272906406336343,0.47282712465422205
5,Equal Weights,20.564341681488248,30,33.01562801466332,12,23.047794966520435,42,16.108734317165794,47,30.264325680108044,22,18.9321172939275,69,12.832764505119455,188,13.972602739726028,51,13.060109289617486,239,9.31740614334471,273,9.452054794520548,69,9.344262295081966,342,4.897610921501706,287,4.931506849315069,72,4.904371584699454,359,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,0.9649901366386939,0.12312502914748845,0.6120690229730932
5,Random (mean of 100),18.960323030332162,27,30.566968936909124,11,21.275309782190412,38,16.729091957890688,48,26.949006366968934,19,18.767490187023782,68,11.3160409556314,165,12.515068493150686,45,11.555191256830604,211,7.596587030716722,222,7.986301369863014,58,7.67431693989071,280,4.2542662116040955,249,4.407534246575343,64,4.284836065573771,313,3.008191126279863,264,3.092237442922374,67,3.0249544626593803,332,,,
5,Best Individual (GraphDTA_IC50),17.136951401240207,25,33.01562801466332,12,18.108981759408913,33,17.47969042926501,51,24.76172101099749,18,17.56022473639652,64,12.491467576791809,183,8.219178082191782,30,12.78688524590164,234,6.552901023890785,192,4.52054794520548,33,6.639344262295082,243,3.4982935153583616,205,2.73972602739726,40,3.5245901639344264,258,2.5369738339021617,223,1.9634703196347032,43,2.5500910746812386,280,0.6846698356878911,0.07363372175563795,0.37129804904191105
