fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,21.712980586220024,8,20.35591929958127,15,12.972972972972974,48,9.18918918918919,68,5.0,74,3.3333333333333335,74
1,fair_bedroc,21.712980586220024,8,20.35591929958127,15,13.243243243243244,49,9.18918918918919,68,5.0,74,3.3333333333333335,74
1,entropy_bedroc,21.712980586220024,8,20.35591929958127,15,12.972972972972974,48,9.18918918918919,68,5.0,74,3.3333333333333335,74
2,unconstrained_bedroc,13.756511672776384,5,13.756511672776384,10,13.698630136986301,50,9.04109589041096,66,5.0,73,3.3333333333333335,73
2,fair_bedroc,13.756511672776384,5,15.132162840054022,11,13.698630136986301,50,9.04109589041096,66,5.0,73,3.3333333333333335,73
2,entropy_bedroc,11.005209338221107,4,13.756511672776384,10,13.698630136986301,50,8.63013698630137,63,4.863013698630137,71,3.3333333333333335,73
3,unconstrained_bedroc,33.01562801466332,12,20.634767509164575,15,15.068493150684931,55,9.315068493150685,68,5.0,73,3.3333333333333335,73
3,fair_bedroc,33.01562801466332,12,20.634767509164575,15,15.068493150684931,55,9.452054794520548,69,5.0,73,3.3333333333333335,73
3,entropy_bedroc,30.264325680108044,11,17.8834651746093,13,15.068493150684931,55,9.178082191780822,67,5.0,73,3.3333333333333335,73
4,unconstrained_bedroc,33.01562801466332,12,28.888674512830406,21,12.602739726027398,46,9.315068493150685,68,5.0,73,3.3333333333333335,73
4,fair_bedroc,33.01562801466332,12,28.888674512830406,21,12.602739726027398,46,9.863013698630137,72,5.0,73,3.3333333333333335,73
4,entropy_bedroc,33.01562801466332,12,27.513023345552767,20,12.602739726027398,46,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,unconstrained_bedroc,27.513023345552767,10,34.39127918194096,25,14.520547945205479,53,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,fair_bedroc,27.513023345552767,10,34.39127918194096,25,14.520547945205479,53,9.452054794520548,69,5.0,73,3.3333333333333335,73
5,entropy_bedroc,27.513023345552767,10,34.39127918194096,25,14.520547945205479,53,8.904109589041095,65,5.0,73,3.3333333333333335,73
