fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,26.825197761913948,39,21.712980586220024,8,25.791580081582392,47,71
1,fair_bedroc,1.0,24.76172101099749,72,20.35591929958127,15,23.87093050103902,87,142
1,fair_bedroc,5.0,13.904109589041095,203,13.243243243243244,49,13.770491803278688,252,713
1,fair_bedroc,10.0,9.178082191780822,268,9.18918918918919,68,9.180327868852459,336,1426
1,fair_bedroc,20.0,4.965753424657534,290,5.0,74,4.972677595628415,364,2852
1,fair_bedroc,30.0,3.3333333333333335,292,3.3333333333333335,74,3.3333333333333335,366,4278
2,fair_bedroc,0.5,29.475556410133155,43,13.756511672776384,5,26.34033710459478,48,71
2,fair_bedroc,1.0,26.048166129885114,76,15.132162840054022,11,23.87093050103902,87,142
2,fair_bedroc,5.0,13.788395904436861,202,13.698630136986301,50,13.770491803278688,252,713
2,fair_bedroc,10.0,9.62457337883959,282,9.04109589041096,66,9.508196721311476,348,1426
2,fair_bedroc,20.0,5.0,293,5.0,73,5.0,366,2852
2,fair_bedroc,30.0,3.3333333333333335,293,3.3333333333333335,73,3.3333333333333335,366,4278
3,fair_bedroc,0.5,24.677210017785896,36,33.01562801466332,12,26.34033710459478,48,71
3,fair_bedroc,1.0,25.0199490458107,73,20.634767509164575,15,24.145309012545216,88,142
3,fair_bedroc,5.0,13.378839590443686,196,15.068493150684931,55,13.71584699453552,251,713
3,fair_bedroc,10.0,9.522184300341298,279,9.452054794520548,69,9.508196721311476,348,1426
3,fair_bedroc,20.0,5.0,293,5.0,73,5.0,366,2852
3,fair_bedroc,30.0,3.3333333333333335,293,3.3333333333333335,73,3.3333333333333335,366,4278
4,fair_bedroc,0.5,23.99173196173629,35,33.01562801466332,12,25.791580081582392,47,71
4,fair_bedroc,1.0,22.278036821612268,65,28.888674512830406,21,23.596551989532827,86,142
4,fair_bedroc,5.0,13.993174061433447,205,12.602739726027398,46,13.71584699453552,251,713
4,fair_bedroc,10.0,9.38566552901024,275,9.863013698630137,72,9.480874316939891,347,1426
4,fair_bedroc,20.0,5.0,293,5.0,73,5.0,366,2852
4,fair_bedroc,30.0,3.3333333333333335,293,3.3333333333333335,73,3.3333333333333335,366,4278
5,fair_bedroc,0.5,26.048166129885114,38,27.513023345552767,10,26.34033710459478,48,71
5,fair_bedroc,1.0,21.249819737537855,62,34.39127918194096,25,23.87093050103902,87,142
5,fair_bedroc,5.0,13.515358361774744,198,14.520547945205479,53,13.71584699453552,251,713
5,fair_bedroc,10.0,9.31740614334471,273,9.452054794520548,69,9.344262295081966,342,1426
5,fair_bedroc,20.0,5.0,293,5.0,73,5.0,366,2852
5,fair_bedroc,30.0,3.3333333333333335,293,3.3333333333333335,73,3.3333333333333335,366,4278
