fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,train_ef_30,train_hits_30,test_ef_30,test_hits_30,full_ef_30,full_hits_30,test_auroc,test_auprc,test_bedroc
1,Equal Weights,16.50781400733166,24,16.284735439665017,6,16.46271069037174,30,12.724773297318155,37,12.213551579748763,9,12.621411529285,46,6.6438356164383565,97,5.945945945945946,22,6.502732240437158,119,5.136986301369863,150,4.72972972972973,35,5.054644808743169,185,3.2705479452054793,191,3.0405405405405403,45,3.2240437158469946,236,2.557077625570776,224,2.4774774774774775,55,2.540983606557377,279,0.8086941445886885,0.06104006896891897,0.2852198150912069
1,Random (mean of 100),12.263930156280146,17,12.674952417205937,4,12.347033017778804,22,10.64410090681073,30,9.947259231062047,7,10.50320942045717,38,5.949315068493149,86,5.508108108108108,20,5.860109289617487,107,4.560273972602739,133,4.3999999999999995,32,4.527868852459015,165,2.8875,168,2.797972972972973,41,2.8693989071038244,210,2.2423515981735163,196,2.1945945945945944,48,2.232695810564663,245,,,
1,Best Individual (Boltz_confidence),19.946941925525756,29,18.99885801294252,7,18.108981759408913,33,19.259116341886937,56,16.284735439665017,12,17.56022473639652,64,12.945205479452055,189,11.621621621621621,43,12.78688524590164,234,6.7465753424657535,197,9.594594594594595,71,6.639344262295082,243,3.5616438356164384,208,5.0,74,3.5245901639344264,258,2.545662100456621,223,3.3333333333333335,74,2.5500910746812386,280,0.9564273493851951,0.06502091448121473,0.4997826016421249
2,Equal Weights,19.19338556938903,28,5.5026046691105535,2,16.46271069037174,30,13.709561120992165,40,8.25390700366583,6,12.621411529285,46,6.757679180887372,99,5.47945205479452,20,6.502732240437158,119,5.15358361774744,151,4.657534246575342,34,5.054644808743169,185,3.2764505119453924,192,3.0136986301369864,44,3.2240437158469946,236,2.5824800910125143,227,2.374429223744292,52,2.540983606557377,279,0.7878503472694952,0.022215334942395467,0.25344098809659377
2,Random (mean of 100),13.990607123972506,20,5.750221879220527,2,12.347033017778804,22,11.47147526799019,33,6.616882114605442,4,10.50320942045717,38,6.032764505119454,88,5.167123287671233,18,5.860109289617487,107,4.633105802047781,135,4.105479452054794,29,4.527868852459015,165,2.9203071672354945,171,2.665068493150685,38,2.8693989071038244,210,2.269852104664391,199,2.083561643835617,45,2.232695810564663,245,,,
2,Best Individual (UniMol_sim),25.362688073835503,37,19.259116341886937,7,18.108981759408913,33,17.47969042926501,51,19.259116341886937,14,17.56022473639652,64,7.303754266211604,107,11.506849315068493,42,12.78688524590164,234,4.266211604095563,125,6.027397260273973,44,6.639344262295082,243,2.474402730375427,145,3.4246575342465753,50,3.5245901639344264,258,1.8771331058020477,165,2.557077625570776,56,2.5500910746812386,280,0.7605023313838348,0.06342562548625183,0.4534269686490644
3,Equal Weights,15.080517233091381,22,22.010418676442214,8,16.46271069037174,30,11.995865980868144,35,15.132162840054022,11,12.621411529285,46,6.075085324232082,89,8.219178082191782,30,6.502732240437158,119,4.84641638225256,142,5.7534246575342465,42,5.027322404371585,184,3.10580204778157,182,3.5616438356164384,52,3.19672131147541,234,2.4687144482366326,217,2.8310502283105023,62,2.540983606557377,279,0.8579125593467298,0.0541559623924878,0.3547895787464577
3,Random (mean of 100),11.180147094169108,16,16.837970287478296,6,12.308620026167935,22,9.85031966543287,28,12.986147019100907,9,10.47577156930655,38,5.591126279863481,81,6.808219178082192,24,5.833879781420766,106,4.361774744027304,127,5.124657534246575,37,4.5139344262295085,165,2.7837883959044363,163,3.1684931506849314,46,2.8605191256830604,209,2.1772468714448237,191,2.4333333333333336,53,2.22832422586521,244,,,
3,Best Individual (UniMol_sim),16.451473345190596,24,24.76172101099749,9,18.108981759408913,33,16.451473345190596,48,22.010418676442214,16,17.56022473639652,64,12.42320819112628,182,14.246575342465754,52,12.78688524590164,234,6.416382252559727,188,7.534246575342466,55,6.639344262295082,243,3.4470989761092152,202,3.835616438356164,56,3.5245901639344264,258,2.5483503981797497,224,2.557077625570776,56,2.5500910746812386,280,0.7926386398506833,0.08364908935351344,0.5518937682456874
4,Equal Weights,17.822429457289815,26,11.005209338221107,4,16.46271069037174,30,13.366822092967361,39,9.629558170943469,7,12.621411529285,46,6.8941979522184305,101,4.931506849315069,18,6.502732240437158,119,5.187713310580205,152,4.383561643835616,32,5.027322404371585,184,3.2252559726962455,189,3.1506849315068495,46,3.210382513661202,235,2.5711035267349263,226,2.4200913242009134,53,2.540983606557377,279,0.7975176965985645,0.023990812188487576,0.2457626017242016
4,Random (mean of 100),13.133759553910496,19,9.079297704032411,3,12.325082736858308,22,10.960794116233238,31,8.652845842176344,6,10.500465635342106,38,6.063481228668941,88,4.972602739726027,18,5.8459016393442615,106,4.634129692832763,135,4.00958904109589,29,4.509562841530054,165,2.9199658703071676,171,2.628082191780822,38,2.8617486338797806,209,2.2612059158134246,198,2.0986301369863014,45,2.2287795992714026,244,,,
4,Best Individual (UniMol_sim),19.19338556938903,28,13.756511672776384,5,18.108981759408913,33,17.47969042926501,51,17.8834651746093,13,17.56022473639652,64,12.969283276450511,190,12.054794520547945,44,12.78688524590164,234,6.689419795221843,196,6.438356164383562,47,6.639344262295082,243,3.5665529010238908,209,3.356164383561644,49,3.5245901639344264,258,2.5711035267349263,226,2.4657534246575343,54,2.5500910746812386,280,0.7501248007292032,0.06272906406336343,0.47282712465422205
5,Equal Weights,13.709561120992165,20,27.513023345552767,10,16.46271069037174,30,11.310387924818535,33,17.8834651746093,13,12.621411529285,46,6.143344709897611,90,7.945205479452055,29,6.502732240437158,119,4.8805460750853245,143,5.7534246575342465,42,5.054644808743169,185,3.1911262798634814,187,3.356164383561644,49,3.2240437158469946,236,2.525597269624573,222,2.6027397260273974,57,2.540983606557377,279,0.8389148467968457,0.06282768802536806,0.36378991503273717
