fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,18.99885801294252,7,16.284735439665017,12,12.702702702702704,47,7.4324324324324325,55,4.527027027027027,67,3.2882882882882885,73
1,fair_bedroc,16.284735439665017,6,14.927674153026265,11,12.432432432432432,46,7.297297297297297,54,4.527027027027027,67,3.2882882882882885,73
1,entropy_bedroc,18.99885801294252,7,16.284735439665017,12,12.702702702702704,47,8.378378378378379,62,4.797297297297297,71,3.3333333333333335,74
2,unconstrained_bedroc,11.005209338221107,4,13.756511672776384,10,12.876712328767123,47,6.8493150684931505,50,4.041095890410959,59,2.9680365296803655,65
2,fair_bedroc,11.005209338221107,4,13.756511672776384,10,12.876712328767123,47,6.986301369863014,51,4.315068493150685,63,3.0136986301369864,66
2,entropy_bedroc,11.005209338221107,4,13.756511672776384,10,13.424657534246576,49,6.986301369863014,51,4.383561643835616,64,3.0593607305936072,67
3,unconstrained_bedroc,30.264325680108044,11,24.76172101099749,18,14.246575342465754,52,9.452054794520548,69,5.0,73,3.3333333333333335,73
3,fair_bedroc,30.264325680108044,11,24.76172101099749,18,14.246575342465754,52,8.082191780821917,59,4.4520547945205475,65,3.287671232876712,72
3,entropy_bedroc,27.513023345552767,10,24.76172101099749,18,14.246575342465754,52,8.63013698630137,63,4.931506849315069,72,3.3333333333333335,73
4,unconstrained_bedroc,35.7669303492186,13,26.13737217827513,19,12.054794520547945,44,6.438356164383562,47,3.767123287671233,55,3.1506849315068495,69
4,fair_bedroc,33.01562801466332,12,26.13737217827513,19,11.780821917808218,43,7.945205479452055,58,5.0,73,3.3333333333333335,73
4,entropy_bedroc,35.7669303492186,13,26.13737217827513,19,11.780821917808218,43,6.575342465753424,48,4.041095890410959,59,3.287671232876712,72
5,unconstrained_bedroc,35.7669303492186,13,33.01562801466332,24,13.698630136986301,50,8.767123287671232,64,5.0,73,3.3333333333333335,73
5,fair_bedroc,33.01562801466332,12,33.01562801466332,24,13.698630136986301,50,9.04109589041096,66,5.0,73,3.3333333333333335,73
5,entropy_bedroc,33.01562801466332,12,33.01562801466332,24,13.698630136986301,50,8.493150684931507,62,4.726027397260274,69,3.3333333333333335,73
