fold,method,column,modality,weight,weight_pct
1,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
1,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
1,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
1,fair_bedroc,mltle_pKd,MLTLE_pKd,0.031197279311617452,3.119727931161745
1,fair_bedroc,vina_score,Vina,0.21772485628810476,21.772485628810475
1,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
1,fair_bedroc,boltz_confidence,Boltz_confidence,0.11606942805443952,11.606942805443952
1,fair_bedroc,tankbind_affinity,TankBind,0.05881970021282387,5.881970021282387
1,fair_bedroc,drugban_affinity,DrugBAN,0.19298681888535169,19.298681888535167
1,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
1,fair_bedroc,unimol_similarity,UniMol_sim,0.23320191724778472,23.32019172477847
2,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.032662281442299185,3.2662281442299186
2,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
2,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
2,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
2,fair_bedroc,vina_score,Vina,0.2219578770108789,22.19578770108789
2,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
2,fair_bedroc,boltz_confidence,Boltz_confidence,0.11699005813595731,11.69900581359573
2,fair_bedroc,tankbind_affinity,TankBind,0.04699385745065718,4.699385745065718
2,fair_bedroc,drugban_affinity,DrugBAN,0.19941352449042857,19.941352449042856
2,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
2,fair_bedroc,unimol_similarity,UniMol_sim,0.23198240146996252,23.198240146996252
3,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
3,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
3,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
3,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
3,fair_bedroc,vina_score,Vina,0.22992657682269885,22.992657682269886
3,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
3,fair_bedroc,boltz_confidence,Boltz_confidence,0.1314552316516765,13.14552316516765
3,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
3,fair_bedroc,drugban_affinity,DrugBAN,0.18607586254838615,18.607586254838616
3,fair_bedroc,moltrans_affinity,MolTrans,0.037940996399192906,3.7940996399192906
3,fair_bedroc,unimol_similarity,UniMol_sim,0.23460133257792576,23.460133257792577
4,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
4,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
4,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
4,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
4,fair_bedroc,vina_score,Vina,0.15245871112694326,15.245871112694326
4,fair_bedroc,boltz_affinity,Boltz_affinity,0.03,3.0
4,fair_bedroc,boltz_confidence,Boltz_confidence,0.18816795290104688,18.816795290104686
4,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
4,fair_bedroc,drugban_affinity,DrugBAN,0.21851193984044293,21.851193984044293
4,fair_bedroc,moltrans_affinity,MolTrans,0.03,3.0
4,fair_bedroc,unimol_similarity,UniMol_sim,0.23086139613166318,23.086139613166317
5,fair_bedroc,graphdta_kd,GraphDTA_Kd,0.03,3.0
5,fair_bedroc,graphdta_ki,GraphDTA_Ki,0.03,3.0
5,fair_bedroc,graphdta_ic50,GraphDTA_IC50,0.03,3.0
5,fair_bedroc,mltle_pKd,MLTLE_pKd,0.03,3.0
5,fair_bedroc,vina_score,Vina,0.15302533203028754,15.302533203028753
5,fair_bedroc,boltz_affinity,Boltz_affinity,0.03262784497289915,3.2627844972899154
5,fair_bedroc,boltz_confidence,Boltz_confidence,0.19297513407924974,19.297513407924974
5,fair_bedroc,tankbind_affinity,TankBind,0.03,3.0
5,fair_bedroc,drugban_affinity,DrugBAN,0.20239456903896383,20.239456903896382
5,fair_bedroc,moltrans_affinity,MolTrans,0.03372026277216977,3.3720262772169773
5,fair_bedroc,unimol_similarity,UniMol_sim,0.2352568571060827,23.525685710608272
