fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,26.825197761913948,39,18.99885801294252,7,25.24282305857,46,71
1,fair_bedroc,1.0,24.07389542735867,70,16.284735439665017,12,22.499037943508043,82,142
1,fair_bedroc,5.0,13.150684931506849,192,12.702702702702704,47,13.060109289617486,239,713
1,fair_bedroc,10.0,8.082191780821917,236,8.378378378378379,62,8.142076502732241,298,1426
1,fair_bedroc,20.0,4.726027397260274,276,4.797297297297297,71,4.740437158469946,347,2852
1,fair_bedroc,30.0,3.287671232876712,288,3.3333333333333335,74,3.296903460837887,362,4278
2,fair_bedroc,0.5,28.790078354083544,42,11.005209338221107,4,25.24282305857,46,71
2,fair_bedroc,1.0,24.677210017785896,72,13.756511672776384,10,22.499037943508043,82,142
2,fair_bedroc,5.0,13.174061433447099,193,12.876712328767123,47,13.114754098360656,240,713
2,fair_bedroc,10.0,8.771331058020477,257,8.63013698630137,63,8.743169398907105,320,1426
2,fair_bedroc,20.0,4.965870307167235,291,4.794520547945205,70,4.9316939890710385,361,2852
2,fair_bedroc,30.0,3.3333333333333335,293,3.287671232876712,72,3.324225865209472,365,4278
3,fair_bedroc,0.5,24.677210017785896,36,27.513023345552767,10,25.24282305857,46,71
3,fair_bedroc,1.0,21.935297793587463,64,24.76172101099749,18,22.499037943508043,82,142
3,fair_bedroc,5.0,12.627986348122867,185,14.246575342465754,52,12.950819672131148,237,713
3,fair_bedroc,10.0,9.249146757679181,271,9.452054794520548,69,9.289617486338798,340,1426
3,fair_bedroc,20.0,4.982935153583618,292,5.0,73,4.9863387978142075,365,2852
3,fair_bedroc,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
4,fair_bedroc,0.5,22.62077584963707,33,35.7669303492186,13,25.24282305857,46,71
4,fair_bedroc,1.0,21.59255876556266,63,26.13737217827513,19,22.499037943508043,82,142
4,fair_bedroc,5.0,13.378839590443686,196,11.780821917808218,43,13.060109289617486,239,713
4,fair_bedroc,10.0,7.7815699658703075,228,6.575342465753424,48,7.540983606557377,276,1426
4,fair_bedroc,20.0,4.607508532423208,270,4.2465753424657535,62,4.53551912568306,332,2852
4,fair_bedroc,30.0,3.2195676905574517,283,3.3333333333333335,73,3.242258652094718,356,4278
5,fair_bedroc,0.5,23.99173196173629,35,33.01562801466332,12,25.791580081582392,47,71
5,fair_bedroc,1.0,19.87886362543864,58,33.01562801466332,24,22.499037943508043,82,142
5,fair_bedroc,5.0,12.901023890784982,189,13.698630136986301,50,13.060109289617486,239,713
5,fair_bedroc,10.0,8.771331058020477,257,9.04109589041096,66,8.825136612021858,323,1426
5,fair_bedroc,20.0,4.931740614334471,289,5.0,73,4.945355191256831,362,2852
5,fair_bedroc,30.0,3.321956769055745,292,3.3333333333333335,73,3.324225865209472,365,4278
