fold,baseline,train_ef_0.5,train_hits_0.5,test_ef_0.5,test_hits_0.5,full_ef_0.5,full_hits_0.5,train_ef_1,train_hits_1,test_ef_1,test_hits_1,full_ef_1,full_hits_1,train_ef_5,train_hits_5,test_ef_5,test_hits_5,full_ef_5,full_hits_5,train_ef_10,train_hits_10,test_ef_10,test_hits_10,full_ef_10,full_hits_10,train_ef_20,train_hits_20,test_ef_20,test_hits_20,full_ef_20,full_hits_20,train_ef_30,train_hits_30,test_ef_30,test_hits_30,full_ef_30,full_hits_30,test_auroc,test_auprc,test_bedroc
1,Equal Weights,17.19563959097048,25,13.570612866387513,5,16.46271069037174,30,13.412598880956974,39,9.49942900647126,7,12.621411529285,46,6.6438356164383565,97,5.945945945945946,22,6.502732240437158,119,4.931506849315069,144,5.54054054054054,41,5.054644808743169,185,3.1678082191780823,185,3.445945945945946,51,3.2240437158469946,236,2.5342465753424657,222,2.5675675675675675,57,2.540983606557377,279,0.8251597501914716,0.03731951639352967,0.30043048179373144
1,Random (mean of 100),12.979268763264518,18,10.802207841644458,3,12.539097975833142,22,10.70600520933822,31,9.960829843928435,7,10.555341337643346,38,5.9383561643835625,86,5.862162162162163,21,5.922950819672131,108,4.75513698630137,138,4.816216216216216,35,4.767486338797815,174,2.9806506849315064,174,3.031081081081081,44,2.9908469945355187,218,2.2886986301369863,200,2.324774774774775,51,2.295992714025501,252,,,
1,Best Individual (Boltz_confidence),19.946941925525756,29,10.856490293110012,4,18.108981759408913,33,17.53955238278989,51,17.64179672630377,13,17.56022473639652,64,13.082191780821917,191,12.162162162162161,45,12.78688524590164,234,6.780821917808219,198,9.594594594594595,71,6.639344262295082,243,3.613013698630137,211,5.0,74,3.5245901639344264,258,2.557077625570776,224,3.3333333333333335,74,2.5500910746812386,280,0.9583392076695334,0.07212588609191536,0.5198350065908343
2,Equal Weights,19.19338556938903,28,5.5026046691105535,2,16.46271069037174,30,14.052300149016968,41,6.878255836388192,5,12.621411529285,46,6.348122866894198,93,7.123287671232877,26,6.502732240437158,119,5.1194539249146755,150,4.794520547945205,35,5.054644808743169,185,3.242320819112628,190,3.1506849315068495,46,3.2240437158469946,236,2.5483503981797497,224,2.5114155251141552,55,2.540983606557377,279,0.8263063522364192,0.025371293608421372,0.2780065296415144
2,Random (mean of 100),13.997461904532999,20,6.685664672969323,2,12.539097975833142,22,11.396072681824736,33,7.1808990931892716,5,10.555341337643346,38,6.0320819112627975,88,5.484931506849315,20,5.922950819672131,108,4.805802047781571,140,4.613698630136986,33,4.767486338797815,174,3.006143344709899,176,2.9294520547945213,42,2.9908469945355187,218,2.300796359499431,202,2.276712328767123,49,2.295992714025501,252,,,
2,Best Individual (UniMol_sim),16.451473345190596,24,24.76172101099749,9,18.108981759408913,33,17.136951401240207,50,19.259116341886937,14,17.56022473639652,64,12.35494880546075,181,14.520547945205479,53,12.78688524590164,234,6.484641638225256,190,7.260273972602739,53,6.639344262295082,243,3.4129692832764507,200,3.9726027397260273,58,3.5245901639344264,258,2.491467576791809,219,2.7853881278538815,61,2.5500910746812386,280,0.8376233885739501,0.09215179898328543,0.5698097525607712
3,Equal Weights,15.765995289140989,23,19.259116341886937,7,16.46271069037174,30,12.681344036917752,37,12.380860505498745,9,12.621411529285,46,6.416382252559727,94,6.8493150684931505,25,6.502732240437158,119,4.982935153583618,146,5.342465753424658,39,5.054644808743169,185,3.2081911262798637,188,3.287671232876712,48,3.2240437158469946,236,2.5597269624573378,225,2.4657534246575343,54,2.540983606557377,279,0.7944365428122022,0.049335108519091404,0.3061926018050111
3,Random (mean of 100),12.208364178243523,17,13.866563766158597,5,12.539097975833142,22,10.42954862279479,30,11.060235384912211,8,10.555341337643346,38,5.871672354948807,86,6.12876712328767,22,5.922950819672131,108,4.7709897610921495,139,4.753424657534247,34,4.767486338797815,174,2.999317406143344,175,2.9568493150684936,43,2.9908469945355187,218,2.30773606370876,202,2.2488584474885847,49,2.295992714025501,252,,,
3,Best Individual (GraphDTA_IC50),19.87886362543864,29,19.259116341886937,7,18.108981759408913,33,19.536124597413835,57,12.380860505498745,9,17.56022473639652,64,12.627986348122867,185,7.397260273972603,27,12.78688524590164,234,6.621160409556314,194,4.2465753424657535,31,6.639344262295082,243,3.515358361774744,206,2.4657534246575343,36,3.5245901639344264,258,2.5597269624573378,225,1.7808219178082192,39,2.5500910746812386,280,0.6274618573245235,0.03195147504613659,0.30170803179022665
4,Equal Weights,15.080517233091381,22,22.010418676442214,8,16.46271069037174,30,10.967648896793731,32,19.259116341886937,14,12.621411529285,46,6.484641638225256,95,6.575342465753424,24,6.502732240437158,119,5.1194539249146755,150,4.794520547945205,35,5.054644808743169,185,3.25938566552901,191,3.0821917808219177,45,3.2240437158469946,236,2.5369738339021617,223,2.557077625570776,56,2.540983606557377,279,0.8316344019365597,0.05339312129539496,0.3181453639555535
4,Random (mean of 100),11.509176561072923,16,16.672892147404976,6,12.539097975833142,22,9.925722251598328,28,13.08244260081034,9,10.555341337643346,38,5.860068259385667,85,6.175342465753424,22,5.922950819672131,108,4.739931740614335,138,4.878082191780822,35,4.767486338797815,174,2.9752559726962464,174,3.0534246575342467,44,2.9908469945355187,218,2.2854379977246873,200,2.3383561643835615,51,2.295992714025501,252,,,
4,Best Individual (GraphDTA_IC50),17.136951401240207,25,24.76172101099749,9,18.108981759408913,33,17.47969042926501,51,20.634767509164575,15,17.56022473639652,64,13.174061433447099,193,7.397260273972603,27,12.78688524590164,234,6.757679180887372,198,4.2465753424657535,31,6.639344262295082,243,3.6006825938566553,211,2.4657534246575343,36,3.5245901639344264,258,2.627986348122867,231,2.0547945205479454,45,2.5500910746812386,280,0.6924340342451271,0.06221166242558144,0.33020574087886945
5,Equal Weights,15.080517233091381,22,22.010418676442214,8,16.46271069037174,30,11.995865980868144,35,15.132162840054022,11,12.621411529285,46,6.621160409556314,97,6.027397260273973,22,6.502732240437158,119,5.1194539249146755,150,4.794520547945205,35,5.054644808743169,185,3.242320819112628,190,3.1506849315068495,46,3.2240437158469946,236,2.525597269624573,222,2.6027397260273974,57,2.540983606557377,279,0.8159988258592904,0.04914809897613657,0.3028403089067703
5,Random (mean of 100),12.002720761428641,17,14.691954466525177,5,12.539097975833142,22,10.319872133826852,30,11.500443758441056,8,10.555341337643346,38,5.912627986348124,86,5.964383561643834,21,5.922950819672131,108,4.765529010238908,139,4.7753424657534245,34,4.767486338797815,174,2.9928327645051187,175,2.982876712328768,43,2.9908469945355187,218,2.2972696245733792,201,2.2908675799086757,50,2.295992714025501,252,,,
5,Best Individual (UniMol_sim),17.136951401240207,25,22.010418676442214,8,18.108981759408913,33,16.108734317165794,47,23.386069843719852,17,17.56022473639652,64,12.696245733788396,186,13.150684931506849,48,12.78688524590164,234,6.552901023890785,192,6.986301369863014,51,6.639344262295082,243,3.4812286689419794,204,3.6986301369863015,54,3.5245901639344264,258,2.514220705346985,221,2.6940639269406392,59,2.5500910746812386,280,0.800262347064793,0.07168728008303958,0.5141927353258169
