fold,method,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30
1,unconstrained_bedroc,24.427103159497527,9,17.64179672630377,13,12.432432432432432,46,8.513513513513514,63,4.9324324324324325,73,3.3333333333333335,74
1,fair_bedroc,24.427103159497527,9,17.64179672630377,13,12.432432432432432,46,8.64864864864865,64,4.9324324324324325,73,3.3333333333333335,74
1,entropy_bedroc,24.427103159497527,9,17.64179672630377,13,12.432432432432432,46,7.5675675675675675,56,4.45945945945946,66,3.2882882882882885,73
2,unconstrained_bedroc,22.010418676442214,8,27.513023345552767,20,15.342465753424657,56,7.945205479452055,58,4.2465753424657535,62,3.1963470319634704,70
2,fair_bedroc,19.259116341886937,7,26.13737217827513,19,15.342465753424657,56,8.356164383561644,61,4.794520547945205,70,3.3333333333333335,73
2,entropy_bedroc,22.010418676442214,8,27.513023345552767,20,15.342465753424657,56,8.356164383561644,61,4.726027397260274,69,3.287671232876712,72
3,unconstrained_bedroc,24.76172101099749,9,20.634767509164575,15,12.876712328767123,47,7.123287671232877,52,4.4520547945205475,65,3.0136986301369864,66
3,fair_bedroc,27.513023345552767,10,22.010418676442214,16,12.602739726027398,46,8.082191780821917,59,4.52054794520548,66,3.2420091324200913,71
3,entropy_bedroc,24.76172101099749,9,22.010418676442214,16,12.876712328767123,47,7.260273972602739,53,4.52054794520548,66,3.105022831050228,68
4,unconstrained_bedroc,27.513023345552767,10,23.386069843719852,17,11.506849315068493,42,8.493150684931507,62,5.0,73,3.3333333333333335,73
4,fair_bedroc,27.513023345552767,10,23.386069843719852,17,11.506849315068493,42,7.671232876712328,56,4.863013698630137,71,3.3333333333333335,73
4,entropy_bedroc,27.513023345552767,10,23.386069843719852,17,11.780821917808218,43,7.671232876712328,56,4.794520547945205,70,3.3333333333333335,73
5,unconstrained_bedroc,22.010418676442214,8,22.010418676442214,16,13.424657534246576,49,7.534246575342466,55,4.383561643835616,64,3.287671232876712,72
5,fair_bedroc,24.76172101099749,9,22.010418676442214,16,13.424657534246576,49,8.767123287671232,64,4.931506849315069,72,3.3333333333333335,73
5,entropy_bedroc,24.76172101099749,9,22.010418676442214,16,13.698630136986301,50,7.945205479452055,58,4.726027397260274,69,3.287671232876712,72
