method,kind,ef_0.5,ef_0.5_std,hits_0.5,hits_0.5_std,ef_1,ef_1_std,hits_1,hits_1_std,ef_5,ef_5_std,hits_5,hits_5_std,ef_10,ef_10_std,hits_10,hits_10_std,ef_20,ef_20_std,hits_20,hits_20_std,ef_30,ef_30_std,hits_30,hits_30_std,auroc,auroc_std,auprc,auprc_std,bedroc,bedroc_std
UniMol_sim,individual,18.12885159904261,5.96257663452537,6.6,2.1540659228538015,17.560001251492665,4.468407192609685,12.8,3.249615361854384,12.790077748981858,1.2097455049796701,46.8,4.308131845707603,6.640873750462791,0.45792869042498296,48.6,3.1999999999999997,3.525546094039245,0.29912921811546805,51.6,4.223742416388575,2.5501666049611256,0.18766861604361362,56.0,4.09878030638384,0.7759436179666318,0.043627922265290595,0.07071550905580817,0.012277154396412748,0.495426711631546,0.04419646871442378
GraphDTA_IC50,individual,22.508627477564385,4.44217091107293,8.2,1.6,16.188068060342804,2.9347622655682613,11.8,2.1354156504062622,7.155868196964088,0.6466032238370311,26.2,2.481934729198171,4.233246945575713,0.3536500842949606,31.0,2.756809750418044,2.4998148833765272,0.04302677430838869,36.6,0.7999999999999999,1.8943601135381958,0.10611630924283408,41.6,2.33238075793812,0.6556139485822241,0.02427487866576005,0.04605543603653771,0.01420844751925073,0.3106942016627997,0.030019876213241783
Boltz_confidence,individual,10.425205062287834,4.730434664929093,3.8,1.7204650534085253,12.882787282748694,3.134542744298237,9.4,2.33238075793812,11.3639392817475,0.7489100229216199,41.6,2.8705400188814645,9.644946316179192,0.1392805468456678,70.6,1.019803902718557,5.0,0.0,73.2,0.4,3.3333333333333335,0.0,73.2,0.4,0.9555534555100434,0.0028186506930158403,0.061270791670486255,0.006451433741791759,0.4880157833446696,0.027376294618128183
MLTLE_pKd,individual,6.045429183766054,4.049666294684532,2.2,1.469693845669907,5.220038483399471,3.0697606736331693,3.8,2.2271057451320084,2.079229914846353,0.6665086945583609,7.6,2.4166091947189146,2.268419104035543,0.19257681539119695,16.6,1.3564659966250536,1.7623102554609407,0.06681658808391555,25.8,0.9797958971132712,1.6029865481920276,0.04642356833966185,35.2,0.9797958971132712,0.6407772929043112,0.009731000574801975,0.011782773966531365,0.0029917668633412044,0.12171570521894655,0.020562476047860972
Boltz_affinity,individual,1.6433454484776113,2.197371073448058,0.6,0.7999999999999999,4.937472297688389,1.3973656040308466,3.6,1.019803902718557,7.047019622362089,0.9038169330895965,25.8,3.370459909270543,5.601999259533506,0.3589475770911048,41.0,2.5298221281347035,3.989818585708997,0.14592732978413545,58.4,1.8547236990991407,2.923361717882266,0.08225661092790605,64.2,1.9390719429665317,0.8549813653170893,0.020912763820841687,0.02776895940614634,0.002250286543456798,0.2972683084690583,0.02293528797389875
DrugBAN,individual,4.387211830777334,1.3359904559410696,1.6,0.4898979485566356,3.844387316121833,1.8295465043777834,2.8,1.32664991614216,1.804516845612736,0.4488448678566468,6.6,1.624807680927192,1.8311736393928175,0.19055470387276727,13.4,1.3564659966250536,1.6806738245094408,0.20381029192249736,24.6,2.939387691339814,1.5121559916080465,0.13967474167238692,33.2,2.993325909419153,0.5919059763863813,0.017117494700296252,0.010181093509422926,0.001969226874512056,0.10245028484576493,0.014340131726234233
Vina,individual,2.193605915388667,1.0968974784383172,0.8,0.4,2.465018172716417,1.0116448391065895,1.8,0.7483314773547883,1.638652350981118,0.48730121903553153,6.0,1.7888543819998317,1.6656793780081451,0.36602645175320453,12.2,2.7129319932501073,1.6938171047760087,0.15635507155704312,24.8,2.315167380558045,1.666913488831297,0.17434609922574323,36.6,3.7735924528226414,0.6895129841806268,0.01921506316033769,0.009028571033933022,0.0008999770836518506,0.09095805139880755,0.018223454062067893
GraphDTA_Kd,individual,2.193605915388667,2.0569516019236,0.8,0.7483314773547883,1.0968029576943334,1.0284758009618,0.8,0.7483314773547883,0.6567937800814512,0.3296331955500982,2.4,1.2,0.848204368752314,0.2941907952524417,6.2,2.1354156504062622,0.9018881895594225,0.21046514544377204,13.2,3.059411708155671,1.001851166234728,0.17093820434627494,22.0,3.7416573867739413,0.5265957335359348,0.027041129627785796,0.009720733385614992,0.005674863564189965,0.04278502823021986,0.013854896574536615
TankBind,individual,1.1005209338221107,1.3478573695577125,0.4,0.48989794855663565,0.5502604669110553,0.6739286847788563,0.4,0.48989794855663565,0.3835616438356164,0.3716345196233023,1.4,1.3564659966250538,0.1917808219178082,0.18581725981165115,1.4,1.3564659966250538,0.24583487597186227,0.0695743042680155,3.6,1.019803902718557,0.23657904479822287,0.0721016508509247,5.2,1.6,0.31530265256488893,0.01941781161049642,0.004586757301891177,0.0018341225066156105,0.017395835179094783,0.014572318806238271
MolTrans,individual,0.0,0.0,0.0,0.0,0.2714122573277503,0.5428245146555006,0.2,0.4000000000000001,0.32802665679378007,0.20522546850878942,1.2,0.7483314773547883,0.27286190299888935,0.1929536909281283,2.0,1.4142135623730951,0.5457238059977787,0.13944283669836052,8.0,2.0976176963403033,0.5825003085277058,0.14929986905161818,12.8,3.3105890714493698,0.2864805591973107,0.031376465157375626,0.0034621421832384132,0.00024487084198431295,0.01896488318294725,0.008107558249761018
GraphDTA_Ki,individual,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16364309514994446,0.21881254728585148,0.6,0.7999999999999999,0.16364309514994446,0.15925022679459228,1.2,1.1661903789690602,0.13643095149944465,0.09647684546406415,2.0,1.4142135623730951,0.18215475749722326,0.050030067365814154,4.0,1.0954451150103321,0.11888222216214905,0.01715139420451899,0.002776620871129916,8.134698797298682e-05,0.007533028537570263,0.00799996671983994
Equal-weight,baseline,16.470634246053883,6.29065739445971,6.0,2.280350850198276,12.629964906059831,4.31627405300331,9.2,3.1240998703626617,6.5042576823398734,0.45747647599605096,23.8,1.5999999999999999,5.0533135875601625,0.3230853109610892,37.0,2.5298221281347035,3.223435764531655,0.12974760619936876,47.2,2.1354156504062622,2.5409107737874863,0.04756756859215106,55.8,1.16619037896906,0.8187071746071887,0.013136933884318431,0.0429134277585148,0.010285440199706697,0.3011230572205161,0.013063396727209634
CWRA,cwra,24.6947974406975,3.0168713098841273,9.0,1.0954451150103321,22.237215220236635,2.7477931407647564,16.2,1.9390719429665315,13.061828952239912,1.2928892734977022,47.8,4.664761515876241,8.305072195483154,0.3963771849902703,60.8,3.059411708155671,4.808404294705665,0.15269148061892568,70.4,2.416609194718914,3.3150684931506853,0.03652968036529689,72.8,0.9797958971132711,0.9502614363765172,0.007354648526681676,0.09455952688041118,0.00660948209345059,0.5511697078984914,0.036950609672736764
