Variant,Description,EF@0.5%,EF@1%,EF@5%,EF@10%,AUROC,BEDROC,N_eff,Gap%
V00,Best config (reference),24.72 ± 9.25,22.52 ± 7.25,13.01 ± 0.88,7.76 ± 1.02,0.938 ± 0.020,0.537 ± 0.060,6.2,—
V01,Rank normalization,21.42 ± 8.09,16.47 ± 3.63,7.54 ± 0.63,4.75 ± 0.43,0.851 ± 0.021,0.332 ± 0.030,5.4,—
V02,Robust normalization,24.16 ± 9.30,22.52 ± 7.65,12.13 ± 0.98,9.18 ± 0.40,0.957 ± 0.006,0.542 ± 0.043,6.1,—
V03,Default EF objective (no BEDROC),21.42 ± 6.64,20.60 ± 7.52,12.08 ± 1.41,8.66 ± 1.35,0.942 ± 0.025,0.527 ± 0.067,7.0,—
V04,Sharp EF objective (no BEDROC),17.56 ± 8.64,19.77 ± 6.86,10.60 ± 1.94,7.29 ± 1.50,0.902 ± 0.056,0.469 ± 0.090,8.2,—
V05,BEDROC alpha=160 (top ~0.6%),25.81 ± 9.66,22.79 ± 6.35,12.90 ± 0.97,7.21 ± 0.53,0.925 ± 0.011,0.521 ± 0.047,5.9,—
V06,"BEDROC alpha=20 (standard, top ~5%)",23.07 ± 9.66,21.42 ± 6.70,13.34 ± 1.04,9.59 ± 0.31,0.961 ± 0.005,0.569 ± 0.041,6.5,—
V07,No drug-likeness filter,28.00 ± 11.10,23.60 ± 6.52,13.35 ± 0.81,8.61 ± 0.75,0.953 ± 0.012,0.574 ± 0.047,6.1,—
V08,Stricter filter (MW<500),16.65 ± 7.47,18.99 ± 6.28,12.75 ± 1.69,9.16 ± 0.86,0.954 ± 0.020,0.552 ± 0.069,6.9,—
V09,Drop 4 dead modalities (manual),25.80 ± 7.33,23.88 ± 6.86,13.83 ± 0.88,9.40 ± 0.28,0.964 ± 0.004,0.592 ± 0.039,4.9,—
V10,Auto-prune at 3% threshold,24.72 ± 9.25,22.52 ± 7.25,13.01 ± 0.88,7.76 ± 1.02,0.938 ± 0.020,0.537 ± 0.060,6.2,—
V12,Strict CV (per-fold normalization),24.72 ± 9.25,22.52 ± 7.25,13.01 ± 0.88,7.87 ± 0.71,0.941 ± 0.018,0.542 ± 0.054,6.2,—
V13,Multi-seed DE (3 seeds),25.26 ± 9.14,22.79 ± 6.98,13.06 ± 0.85,8.42 ± 0.99,0.949 ± 0.014,0.551 ± 0.052,6.1,—
V14,Different seed (seed=7),24.69 ± 3.02,22.24 ± 2.75,13.06 ± 1.29,8.31 ± 0.40,0.950 ± 0.007,0.551 ± 0.037,6.1,—
