step,key,value
A,N,16059
A,n_pos,366
A,n_rn,2727
A,bottom_q,0.2
A,sim_max,0.35
A,neg_pos_ratio,10
A,seed,42
A,used_modality_keys,"['graphdta_kd', 'graphdta_ki', 'graphdta_ic50', 'mltle_pKd', 'vina_score', 'boltz_affinity', 'tankbind_affinity', 'drugban_affinity', 'moltrans_affinity', 'boltz_confidence', 'unimol_similarity']"
E,mode,pval_cutoff
E,alpha,0.1
E,q,0.1
E,pval_column,pval_unweighted
E,select_over,unlabeled
E,n_universe,2000
E,n_selected,2000
E,top_k,2000
E,pval_type,unweighted
E,n_pos_selected,0
E,meta_score_threshold,0.5888552168163516
DL_filter,n_unlabeled_before,12966
DL_filter,n_excluded,1623
DL_filter,n_unlabeled_after,11343
DL_filter,max_mw,600.0
DL_filter,max_rotb,15
DL_filter,min_qed,0.0
DL_filter,filters_applied,"['MW>600: 1174', 'RotB>15: 1023']"
