fold,modality,test_ef_0.5,test_hits_0.5,test_ef_1,test_hits_1,test_ef_5,test_hits_5,test_ef_10,test_hits_10,test_ef_20,test_hits_20,test_ef_30,test_hits_30,test_auroc,test_auprc,test_bedroc,test_mean_rank
1,GraphDTA_Kd,5.428245146555006,2,2.714122573277503,2,0.8108108108108109,3,0.9459459459459459,7,1.1486486486486487,17,1.0810810810810811,24,0.5419065618558077,0.013180943178218005,0.030976053254845277,6536.013513513513
1,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.13513513513513514,1,0.06756756756756757,1,0.13513513513513514,3,0.12225128695592535,0.002781274591204635,3.913326454024294e-05,12489.243243243243
1,GraphDTA_IC50,24.427103159497527,9,13.570612866387513,10,6.756756756756757,25,4.1891891891891895,31,2.5675675675675675,38,2.027027027027027,45,0.6702077800343696,0.04543635093257542,0.1860904286847768,4715.9324324324325
1,MLTLE_pKd,8.142367719832508,3,5.428245146555006,4,2.1621621621621623,8,1.8918918918918919,14,1.6891891891891893,25,1.3963963963963963,31,0.6158098391638501,0.011478763767310248,0.06343625907837512,5487.621621621622
1,Vina,5.428245146555006,2,4.071183859916254,3,2.972972972972973,11,2.027027027027027,15,1.6891891891891893,25,1.6666666666666667,37,0.6781357524167337,0.010333966726775713,0.0514600230244779,4603.466216216216
1,Boltz_affinity,2.714122573277503,1,6.785306433193757,5,6.486486486486487,24,5.27027027027027,39,3.918918918918919,58,2.8828828828828827,64,0.8403183953726743,0.026894167807028364,0.09604123137898245,2302.7432432432433
1,Boltz_confidence,18.99885801294252,7,16.284735439665017,12,11.621621621621621,43,9.594594594594595,71,5.0,74,3.3333333333333335,74,0.9564273493851951,0.06502091448121473,0.19950667814551887,655.6216216216217
1,TankBind,0.0,0,0.0,0,0.2702702702702703,1,0.13513513513513514,1,0.13513513513513514,2,0.18018018018018017,4,0.30822070484413644,0.0034489649534095233,0.003254306945733077,9851.081081081082
1,DrugBAN,0.0,0,1.3570612866387515,1,1.3513513513513513,5,1.3513513513513513,10,1.6216216216216217,24,1.3963963963963963,31,0.584854310111606,0.0071715662092900374,0.019251593119052446,5926.756756756757
1,MolTrans,0.0,0,0.0,0,0.2702702702702703,1,0.2702702702702703,2,0.6756756756756757,10,0.5855855855855856,13,0.29152361864190424,0.003525741881950645,0.005863068228750037,10087.945945945947
1,UniMol_sim,10.856490293110012,4,10.856490293110012,8,12.162162162162161,45,6.216216216216216,46,3.3783783783783785,50,2.5675675675675675,57,0.7666356438208968,0.05354518790252883,0.21449463804734048,3348.0067567567567
2,GraphDTA_Kd,0.0,0,0.0,0,0.547945205479452,2,0.821917808219178,6,0.547945205479452,8,0.867579908675799,19,0.4852329597518855,0.004831557334234471,0.002449946431954272,7340.0
2,GraphDTA_Ki,0.0,0,0.0,0,0.0,0,0.136986301369863,1,0.136986301369863,2,0.228310502283105,5,0.11111754828605389,0.00272337661715513,9.985890655452414e-06,12647.575342465754
2,GraphDTA_IC50,11.005209338221107,4,11.005209338221107,8,6.575342465753424,24,4.109589041095891,30,2.6027397260273974,38,1.9634703196347032,43,0.6169510771485761,0.02617741502360468,0.15207932591648277,5471.315068493151
2,MLTLE_pKd,8.25390700366583,3,4.126953501832915,3,1.36986301369863,5,2.0547945205479454,15,1.8493150684931507,27,1.461187214611872,32,0.5912121940692376,0.009051382413961324,0.04565274872974996,5836.472602739726
2,Vina,0.0,0,2.7513023345552767,2,1.095890410958904,4,1.5068493150684932,11,1.5753424657534247,23,1.461187214611872,32,0.683208436046506,0.00837817823090967,0.025377284732127654,4531.321917808219
2,Boltz_affinity,0.0,0,1.3756511672776384,1,5.7534246575342465,21,5.205479452054795,38,3.9726027397260273,58,2.922374429223744,64,0.842731769679168,0.02399845781597044,0.06174373588837588,2268.1643835616437
2,Boltz_confidence,0.0,0,9.629558170943469,7,12.054794520547945,44,9.726027397260275,71,5.0,73,3.3333333333333335,73,0.9573688433651877,0.058692829738481486,0.16625172468420715,641.8082191780821
2,TankBind,0.0,0,0.0,0,0.273972602739726,1,0.136986301369863,1,0.3424657534246575,5,0.228310502283105,5,0.3319931135102462,0.003586692594171518,0.007136865416604208,9514.013698630137
2,DrugBAN,2.7513023345552767,1,1.3756511672776384,1,1.643835616438356,6,1.2328767123287672,9,1.36986301369863,20,1.3242009132420092,29,0.5418929735982488,0.006534119434571632,0.022728203059887226,6536.164383561644
