method,test_mean_rank_mean,test_mean_rank_std
Boltz_affinity,2093.9048130322103,242.81335452249078
Boltz_confidence,667.5804887078859,44.90730901143755
DrugBAN,5826.2842280636805,517.4306833526023
GraphDTA_IC50,4923.144020733062,684.4290034035955
GraphDTA_Kd,6754.015031469826,504.14935199562575
GraphDTA_Ki,12537.176045908924,605.3601566687307
MLTLE_pKd,5132.727064050351,583.8842506329198
MolTrans,10158.413846723435,595.886679769951
TankBind,9750.639503887449,243.25126212192342
UniMol_sim,3216.083543132173,348.2307627541407
Vina,4441.045298037764,243.44437852575172
CWRA,918.3838208071086,315.27580606689804
