fold,method,cutoff_pct,train_ef,train_hits,test_ef,test_hits,full_ef,full_hits,top_k
1,fair_bedroc,0.5,26.410279131590606,56,18.54800853485064,7,25.222341625920155,63,74
1,fair_bedroc,1.0,22.01700642849284,94,23.68738961497704,18,22.26939036919423,112,149
1,fair_bedroc,2.5,14.259927979652993,152,15.812818336162987,30,14.494559524572992,182,372
1,fair_bedroc,5.0,9.884230545557424,211,9.211762628046626,35,9.782625055038894,246,745
1,fair_bedroc,10.0,7.401461735535891,316,7.106216884493112,54,7.35685217553738,370,1490
1,fair_bedroc,20.0,4.415112459330746,377,4.474284705051218,68,4.424052997451533,445,2980
2,fair_bedroc,0.5,24.99544274954111,53,21.197724039829303,8,24.421632367954434,61,74
2,fair_bedroc,1.0,21.080112537918676,90,30.267220063581775,23,22.46822421177632,113,149
2,fair_bedroc,2.5,14.447558610964217,154,16.86700622524052,32,14.813121272365805,186,372
2,fair_bedroc,5.0,9.603162378385175,205,10.001342281879195,38,9.66332474948964,243,745
2,fair_bedroc,10.0,6.815903053927039,291,7.501006711409396,57,6.919417721856779,348,1490
2,fair_bedroc,20.0,3.9817990349401944,340,4.013696573648887,61,3.9866185437709314,401,2980
3,fair_bedroc,0.5,26.410279131590606,56,18.54800853485064,7,25.222341625920155,63,74
3,fair_bedroc,1.0,22.25122990113638,95,22.371423525256095,17,22.26939036919423,112,149
3,fair_bedroc,2.5,14.353743295308604,153,13.704442558007923,26,14.255638213728382,179,372
3,fair_bedroc,5.0,9.603162378385175,205,10.001342281879195,38,9.66332474948964,243,745
3,fair_bedroc,10.0,7.284349999214121,311,7.89579653832568,60,7.376735559795589,371,1490
3,fair_bedroc,20.0,4.719602973767349,403,4.605881314023313,70,4.70242037706646,473,2980
4,fair_bedroc,0.5,25.938667004240774,55,21.197724039829303,8,25.222341625920155,63,74
4,fair_bedroc,1.0,23.188123791710545,99,19.7394913458142,15,22.667058054358414,114,149
4,fair_bedroc,2.5,14.63518924227544,156,14.231536502546689,27,14.574199961521195,183,372
4,fair_bedroc,5.0,9.696851767442592,207,9.738149063935005,37,9.703091518006058,244,745
4,fair_bedroc,10.0,7.307772346478475,312,7.3694101024373015,56,7.317085407020961,368,1490
4,fair_bedroc,20.0,4.450245980227276,380,4.540083009537266,69,4.46381976596795,449,2980
5,fair_bedroc,0.5,26.88189125894044,57,13.248577524893314,5,24.821986996937294,62,74
5,fair_bedroc,1.0,24.125017682284707,103,10.527728717767573,8,22.07055652661214,111,149
5,fair_bedroc,2.5,15.66715771448717,167,10.01478494623656,19,14.813121272365805,186,372
5,fair_bedroc,5.0,9.884230545557424,211,8.422182974214058,32,9.66332474948964,243,745
5,fair_bedroc,10.0,6.113232635996416,261,5.790250794772166,44,6.064432198753786,305,1490
5,fair_bedroc,20.0,3.5133520896531127,300,3.2899152243023666,50,3.4795922451865984,350,2980
