method,test_mean_rank_mean,test_mean_rank_std
Boltz_affinity,2216.573684210526,379.37822290041925
Boltz_confidence,718.2486842105263,41.66803061017823
DrugBAN,6576.690789473684,236.2796714153255
GraphDTA_IC50,4681.748684210526,623.1635321441087
GraphDTA_Kd,6523.056578947368,432.52321082218316
GraphDTA_Ki,12335.303947368422,373.96924852189056
MLTLE_pKd,5881.184210526316,380.44048741561073
MolTrans,10084.611842105263,637.5807123115774
TankBind,9632.390789473684,90.50644021406157
UniMol_sim,4800.5644736842105,347.3136586306869
Vina,4425.111842105263,331.05768639324566
CWRA,1572.7157894736843,682.0240743566735
