method,kind,ef_0.5,ef_0.5_std,hits_0.5,hits_0.5_std,ef_1,ef_1_std,hits_1,hits_1_std,ef_2.5,ef_2.5_std,hits_2.5,hits_2.5_std,ef_5,ef_5_std,hits_5,hits_5_std,ef_10,ef_10_std,hits_10,hits_10_std,ef_20,ef_20_std,hits_20,hits_20_std,auroc,auroc_std,auprc,auprc_std,bedroc,bedroc_std
GraphDTA_IC50,individual,19.607894736842105,4.305278104761205,7.4,1.624807680927192,16.31797951253974,3.956661650132693,12.4,3.006659275674582,12.228579513299376,1.3500192046721036,23.2,2.5612496949731396,8.316905687036384,0.7555066648069868,31.6,2.870540018881465,4.605881314023313,0.5457690728493282,35.0,4.147288270665544,2.72404980572236,0.2376038636618339,41.4,3.6110940170535577,0.6868171668548141,0.03759438874876845,0.04454623117063759,0.01015298811462092,0.20253478387607218,0.03131195401072526
Boltz_confidence,individual,9.009032716927454,4.305278104761205,3.4,1.624807680927192,12.896467679265276,3.1583186153302716,9.8,2.4,11.806904357668364,1.5130442615086155,22.4,2.8705400188814645,11.054115153655951,0.7807572578926149,42.0,2.9664793948382653,9.238081949841046,0.25517529224732655,70.2,1.9390719429665317,5.000671140939597,0.0,76.0,0.0,0.9541515793733625,0.00251376093168494,0.05886706210965087,0.005922205124800046,0.17807880778411686,0.02604825264253502
GraphDTA_Kd,individual,20.13783783783784,5.192360760591027,7.6,1.9595917942265424,10.790921935711761,2.1055457435535145,8.2,1.6,4.427589134125637,0.8564262896567988,8.4,1.624807680927192,2.5792935358530555,0.3868134526346336,9.8,1.469693845669907,1.7897138820204872,0.17850632534180982,13.6,1.3564659966250536,1.3028064288237373,0.11320368344177785,19.8,1.7204650534085253,0.5626226508196838,0.02609338462821732,0.026679303936849523,0.009278985931776878,0.111884167347273,0.02329131815413698
DrugBAN,individual,3.7096017069701275,2.1197724039829304,1.4,0.8,3.158318615330272,1.0527728717767573,2.4,0.8,2.002956989247312,0.6992691373213945,3.8,1.32664991614216,1.684436594842812,0.4881506987632532,6.4,1.8547236990991407,1.3422854115153657,0.21055457435535146,10.2,1.5999999999999999,1.4080837160014128,0.16955037020987088,21.4,2.576819745345025,0.5590050728805015,0.014254347955914848,0.00916354207535524,0.003347606900784511,0.03809679800552047,0.014163551917932832
Vina,individual,2.1197724039829304,1.9828655184105715,0.8,0.7483314773547883,3.158318615330272,1.0527728717767573,2.4,0.8,1.4758630447085455,0.6146918869339606,2.8,1.16619037896906,1.7370752384316497,0.5908673088418079,6.6,2.244994432064365,2.0792264217590954,0.2264073668835557,15.8,1.7204650534085253,1.8818315083009538,0.23020004893231535,28.6,3.4985711369071804,0.7041270847089395,0.01997214329553765,0.009856563984459868,0.0009057263290153146,0.03212606562610212,0.012668187130751149
MLTLE_pKd,individual,3.179658605974395,3.0900727289112613,1.2,1.16619037896906,2.8951253973860824,1.934067263173168,2.2,1.469693845669907,1.8975382003395584,0.5375324617399525,3.6,1.019803902718557,1.5791593076651358,0.4404064894175484,6.0,1.6733200530681511,1.7370752384316497,0.2412205687256514,13.2,1.8330302779823362,1.408083716001413,0.13548700137847783,21.4,2.0591260281974,0.6059163489460194,0.022951323114918654,0.008131207022159526,0.0014638965599597024,0.034270857033378996,0.014705650645230092
UniMol_sim,individual,3.1796586059743954,3.0900727289112617,1.2,1.1661903789690602,2.8951253973860824,1.5346669928821028,2.2,1.16619037896906,3.90049518958687,1.3166802514450047,7.4,2.4979991993593593,3.0004026845637584,0.8256048646433017,11.4,3.1368774282716245,2.421377605086542,0.4043250933759732,18.4,3.0724582991474434,1.8160332038149065,0.24122056872565137,27.6,3.6660605559646715,0.6788031516468224,0.02095283826284564,0.011571786728937512,0.00246384503499961,0.052929991096013575,0.019272727111810592
Boltz_affinity,individual,0.0,0.0,0.0,0.0,1.0527728717767573,0.9847788480696799,0.8,0.7483314773547883,4.427589134125637,1.2737800728530442,8.4,2.4166091947189146,5.474418933239138,0.990390168974297,20.8,3.7629775444453557,5.421780289650301,0.7369410102437304,41.2,5.6,4.0400158954433065,0.2871099045077736,61.4,4.363484845854286,0.8530909426540856,0.022887238515807495,0.023828467215614497,0.0034390419647035444,0.05481033283869365,0.01191420260550457
MolTrans,individual,0.0,0.0,0.0,0.0,0.2631932179441893,0.5263864358883786,0.2,0.4000000000000001,0.421675155631013,0.2108375778155065,0.8,0.4,0.6316637230660544,0.26840547082854,2.4,1.019803902718557,0.5263864358883786,0.3000864391527261,4.0,2.280350850198276,0.5790250794772165,0.20556047451494341,8.8,3.1240998703626617,0.32239903938316045,0.03846415253936123,0.0037232869377567916,0.0003821127555672404,0.005840885839731211,0.0026319250076625405
TankBind,individual,0.5299431009957326,1.0598862019914652,0.2,0.4000000000000001,0.2631932179441893,0.5263864358883786,0.2,0.4000000000000001,0.5270939445387662,0.5774024866965185,1.0,1.0954451150103321,0.3158318615330272,0.2578756350897557,1.2,0.9797958971132712,0.1579159307665136,0.12893781754487785,1.2,0.9797958971132712,0.2237142352525609,0.15346669928821027,3.4,2.33238075793812,0.35290093150723834,0.005460098549039905,0.003812033593398731,0.00042676671608838995,0.007526924501229095,0.009803996555220209
