index,source,pu_label
0,newRef_137,1
1,newRef_137,1
2,G2,0
3,newRef_137,1
4,newRef_137,1
5,newRef_137,1
6,newRef_137,1
7,newRef_137,1
8,G3,-1
9,G2,-1
10,initial_370,1
11,G3,-1
12,initial_370,1
13,initial_370,1
14,G3,-1
15,G3,-1
16,initial_370,1
17,initial_370,1
18,initial_370,1
19,newRef_137,1
20,newRef_137,1
21,G3,-1
22,G2,-1
23,initial_370,1
24,initial_370,1
25,initial_370,1
26,G3,-1
27,G2,-1
28,initial_370,1
29,initial_370,1
30,initial_370,1
31,initial_370,1
32,newRef_137,1
33,G3,-1
34,G3,-1
35,G2,-1
36,G2,-1
37,initial_370,1
38,initial_370,1
39,initial_370,1
40,initial_370,1
41,initial_370,1
42,initial_370,1
43,initial_370,1
44,initial_370,1
45,initial_370,1
46,initial_370,1
47,initial_370,1
48,newRef_137,1
49,G3,-1
50,G2,-1
51,G2,-1
52,initial_370,1
53,initial_370,1
54,initial_370,1
55,initial_370,1
56,initial_370,1
57,initial_370,1
58,initial_370,1
59,initial_370,1
60,initial_370,1
61,newRef_137,1
62,newRef_137,1
63,G3,-1
64,G3,-1
65,G3,-1
66,G2,-1
67,G2,-1
68,initial_370,1
69,initial_370,1
70,initial_370,1
71,initial_370,1
72,initial_370,1
73,initial_370,1
74,initial_370,1
75,initial_370,1
76,newRef_137,1
77,newRef_137,1
78,newRef_137,1
79,G3,-1
80,G2,-1
81,G2,-2
82,G2,-1
83,initial_370,1
84,initial_370,1
85,initial_370,1
86,initial_370,1
87,initial_370,1
88,initial_370,1
89,initial_370,1
90,initial_370,1
91,initial_370,1
92,initial_370,1
93,initial_370,1
94,initial_370,1
95,newRef_137,1
96,newRef_137,1
97,G2,-1
98,G2,-1
99,G2,-1
100,initial_370,1
101,initial_370,1
102,initial_370,1
103,initial_370,1
104,initial_370,1
105,initial_370,1
106,initial_370,1
107,initial_370,1
108,initial_370,1
109,initial_370,1
110,initial_370,1
111,initial_370,1
112,initial_370,1
113,newRef_137,1
114,newRef_137,1
115,newRef_137,1
116,G3,-1
117,G2,-1
118,G2,-1
119,G2,-1
120,G2,-1
121,G2,-1
122,G2,-1
123,G2,-1
124,G2,-1
125,G2,-1
126,G2,-1
127,G2,-1
128,initial_370,1
129,initial_370,1
130,initial_370,1
131,initial_370,1
132,initial_370,1
133,initial_370,1
134,initial_370,1
135,initial_370,1
136,initial_370,1
137,initial_370,1
138,initial_370,1
139,initial_370,1
140,initial_370,1
141,initial_370,1
142,initial_370,1
143,initial_370,1
144,initial_370,1
145,initial_370,1
146,initial_370,1
147,initial_370,1
148,initial_370,1
149,initial_370,1
150,initial_370,1
151,initial_370,1
152,initial_370,1
153,newRef_137,1
154,newRef_137,1
155,newRef_137,1
156,newRef_137,1
157,G2,-1
158,G2,-1
159,G2,-1
160,G2,-1
161,G2,-1
162,G2,-1
163,G2,-1
164,G2,-1
165,G2,-1
166,initial_370,1
167,initial_370,1
168,initial_370,1
169,initial_370,1
170,initial_370,1
171,initial_370,1
172,initial_370,1
173,initial_370,1
174,initial_370,1
175,initial_370,1
176,initial_370,1
177,initial_370,1
178,initial_370,1
179,initial_370,1
180,initial_370,1
181,newRef_137,1
182,G3,-1
183,G2,-1
184,G2,-1
185,G2,-1
186,G2,-1
187,G2,-1
188,initial_370,1
189,initial_370,1
190,initial_370,1
191,initial_370,1
192,initial_370,1
193,initial_370,1
194,initial_370,1
195,initial_370,1
196,initial_370,1
197,initial_370,1
198,initial_370,1
199,initial_370,1
200,initial_370,1
201,newRef_137,1
202,newRef_137,1
203,G3,-1
204,G2,-1
205,G2,-1
206,G2,-1
207,G2,-1
208,G2,-1
209,G3,-1
210,initial_370,1
211,initial_370,1
212,initial_370,1
213,initial_370,1
214,initial_370,1
215,initial_370,1
216,initial_370,1
217,initial_370,1
218,initial_370,1
219,initial_370,1
220,initial_370,1
221,initial_370,1
222,initial_370,1
223,initial_370,1
224,initial_370,1
225,newRef_137,1
226,newRef_137,1
227,newRef_137,1
228,G3,-1
229,G2,-1
230,G2,-1
231,G2,-1
232,G2,-1
233,G3,-1
234,initial_370,1
235,initial_370,1
236,initial_370,1
237,initial_370,1
238,initial_370,1
239,initial_370,1
240,initial_370,1
241,initial_370,1
242,initial_370,1
243,initial_370,1
244,initial_370,1
245,initial_370,1
246,newRef_137,1
247,newRef_137,1
248,newRef_137,1
249,newRef_137,1
250,newRef_137,1
251,newRef_137,1
252,newRef_137,1
253,G2,-1
254,G2,-1
255,G2,-2
256,G2,-1
257,G2,-1
258,G2,-1
259,G2,-1
260,initial_370,1
261,initial_370,1
262,initial_370,1
263,initial_370,1
264,initial_370,1
265,initial_370,1
266,initial_370,1
267,initial_370,1
268,initial_370,1
269,initial_370,1
270,initial_370,1
271,initial_370,1
272,initial_370,1
273,initial_370,1
274,newRef_137,1
275,G3,-1
276,G2,-1
277,G2,-1
278,G2,-1
279,G2,-1
280,G2,-1
281,G2,-1
282,G2,-1
283,G2,-1
284,G2,-1
285,initial_370,1
286,initial_370,1
287,initial_370,1
288,initial_370,1
289,initial_370,1
290,initial_370,1
291,initial_370,1
292,initial_370,1
293,initial_370,1
294,initial_370,1
295,newRef_137,1
296,newRef_137,1
297,newRef_137,1
298,G3,-1
299,G3,-1
300,G2,-1
301,G2,-1
302,G3,-1
303,G3,-1
304,initial_370,1
305,initial_370,1
306,initial_370,1
307,initial_370,1
308,initial_370,1
309,initial_370,1
310,initial_370,1
311,initial_370,1
312,initial_370,1
313,initial_370,1
314,initial_370,1
315,initial_370,1
316,initial_370,1
317,newRef_137,1
318,newRef_137,1
319,newRef_137,1
320,newRef_137,1
321,G2,-1
322,G2,-1
323,G2,-1
324,G2,-1
325,G2,-1
326,G2,-1
327,initial_370,1
328,initial_370,1
329,initial_370,1
330,initial_370,1
331,initial_370,1
332,initial_370,1
333,initial_370,1
334,initial_370,1
335,initial_370,1
336,initial_370,1
337,initial_370,1
338,initial_370,1
339,initial_370,1
340,initial_370,1
341,initial_370,1
342,initial_370,1
343,initial_370,1
344,initial_370,1
345,initial_370,1
346,newRef_137,1
347,newRef_137,1
348,newRef_137,1
349,newRef_137,1
350,newRef_137,1
351,G2,-1
352,G2,-1
353,G2,-1
354,G2,-1
355,G2,-1
356,G2,-1
357,G2,-1
358,G2,-1
359,G2,-1
360,G2,-1
361,initial_370,1
362,initial_370,1
363,initial_370,1
364,initial_370,1
365,initial_370,1
366,initial_370,1
367,initial_370,1
368,initial_370,1
369,initial_370,1
370,initial_370,1
371,initial_370,1
372,initial_370,1
373,initial_370,1
374,newRef_137,1
375,newRef_137,1
